page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;엉뚱한 마공학자,skip_disable,,,,
2,로비,,,,,,,,,,,0.3,skip_disable,,,bgm_everyday,,
3,,,고니,,left,thought,,,장소를 잘못 알려준 것 아니야? 벌써 3시간이나 지났다고…,,,,,,,,,
4,,,데데,,right,thought,,,"그러게요. 그렇게 자세히 설명했는데, 설마? 길을 잃은 건가?",,,,,,,,,
5,,,케사스,,left,fury,,,대체? 얼마나 잘난 녀석이길래. 이렇게 사람을 기다리게 하는 거야?,,,,,,,,,
6,,,누리,,right,idle,,,아니면? 도중에 피치 못 할 사정이 생긴 게 아닐까?,,,,,,,,,
7,,,모코지,???,left,sorrow,appear_side,모코지 좌측 등장,"죄, 죄송합니다. 길을 잃어버려서 그만…",,,,,,,,,
8,,,모코지,,left,idle,,,"제 이름은 모, 모코지. 마하임 공국의 마공학자로...",,,,,,,,,
9,,,모코지,,left,idle,,,여러분을 돕기 위해서…,,,,,,,,,
10,,,데데,,right,happy,,,"저기, 숨 넘어가겠어요. 괜찮으니까 천천히…",,,,,,,,,
11,,,케사스,,left,fury,,,마하임 공국은 손님맞이 방식이 참 인상적이군요.,,,,,,,,,
12,,,모코지,,right,idle,,,네? 무슨?,,,,,,,,,
13,,,케사스,,left,fury,,,"3시간. 자그마치 3시간을 기다렸지요. 고작 당신 하나 때문에, 우리 모두가…",,,,,,,,,
14,,,케사스,,left,fury,,,게다가 이리 탁 트인 장소를 찾지 못했다고요? 정말 대단하군요!,,,,,,,,,
15,,,케사스,,left,fury,,,미하일 공국에서는 우리가 우스운가 봐요?,,,,,,,,,
16,,,데데,,right,fury,shaking,,"케사스, 그만해요.",,,,shaking,,,,,
17,,,케사스,,left,fury,,케사스 페이드아웃. 1초 대기,쳇!,,,,,,,,,
18,,,케사스,,left,fury,disappear_side,,,,,0.5,clear_text,skip_disable,,,,
19,,,데데,,right,happy,,,미안해요. 원래 말이 좀 험한 사람이니까.,,,,,,,,,
20,,,모코지,,left,sorrow,,,제가 일처리가 엉망이라서요. 죄송합니다…,,,,,,,,,
21,,,고니,,right,happy,,,"자, 우울한 이야기는 이쯤하고, 저희가 할 일은 뭔가요?",,,,,,,,,
22,,,모코지,,left,idle,,,"아, 네? 우선 여러분은 빛의 순례길에 대해 자세히 알고 계신가요?",,,,,,,,,
23,,,데데,,right,thought,,,"음? 수뇌부에게 기록의 내용은 간략히 들었지만, 자세한 내용은 저도 잘?",,,,,,,,,
24,,,모코지,,left,happy,,,빛의 순례길은? 위대한 빛의 존재. 빛의 수호자를 깨우는 의식을 말합니다.,,,,,,,,,
25,사대신룡과다크닉스,,,,,,,2초 대기,,,,3,clear_char,clear_text,skip_disable,bgm_dungeon_ready,,
26,,,모코지,,right,thought,,"[컷씬]04 출력 후, 1-2초 대기",본래 잠이 든 빛의 신과 어둠의 신은 서로 세상에 직접 관여할 수 없습니다.,,,,,,,,,
27,,,모코지,,right,thought,,"[컷씬]04 출력 후, 1-2초 대기","하지만, 그 섭리에 벗어나는 존재가 있습니다. 바로 빛의 첫 번째 자손이죠.",,,,,,,,,
28,,,고니,,left,idle,,,빛의 수호자 고대신룡과 어둠의 수호자 다크닉스군요.,,,,,,,,,
29,,,모코지,,right,thought,,,"역사적으로 어둠의 수호자는 생명을 증오해왔고, 항상 그들을 파멸로 인도했죠.",,,,,,,,,
30,,,모코지,,right,thought,,,"빛의 신은 어둠의 수호자로부터 생명을 구하고자, 선지자에게 예지를 전했죠.",,,,,,,,,
31,,,모코지,,right,thought,,,"빛의 수호자를 따르는 세 마리의 드래곤을 강림시켜, 세상을 구하라고요.",,,,,,,,,
32,,,모코지,,right,thought,,,"초월적인 힘을 지닌 어둠의 수호자를 막을 수 있는 건, 오직 빛의 수호자뿐.",,,,,,,,,
33,,,모코지,,right,thought,,,"저희는 어둠의 수호자가 강림하기 전에, 빛의 수호자를 강림시켜야 합니다.",,,,,,,,,
34,,,모코지,,right,thought,,,그리고 그 방법은 빛의 수호자를 따르는 세 마리의 드래곤을 부활시키는 것이죠.,,,,,,,,,
35,,,모코지,,right,thought,,,빛의 순례길은 그 세 마리의 드래곤을 이용해 빛의 수호자를 강림시키는 의식입니다.,,,,,,,,,
36,,,누리,,left,thought,,,호오..,,,,,,,,,
37,로비,,,,,,,2초 대기,,,,1,clear_char,clear_text,skip_disable,bgm_everyday,,
38,,,모코지,,right,sorrow,,,"왜, 왜 그러시죠? 제가 혹시 말하는 도중에 무슨 잘못이라도?",,,,,,,,,
39,,,누리,,left,thought,,,아니? 그렇게 말을 똑 부러지게 잘하시면서 아까는 왜?,,,,,,,,,
40,,,모코지,,right,thought,,,"긴, 긴장하면, 저도 모르게 말을 더듬어서?",,,,,,,,,
41,,,고니,,left,happy,,,"뭐, 서로 친해지면 금방 익숙해지겠죠? 설명 감사합니다!",,,,,,,,,
42,,,데데,,right,thought,,,"그럼 우선은, 이곳에 잠든 수호자인 빙하고룡을 찾아야겠군요.",,,,,,,,,
43,,,데데,,right,idle,,,고니는 아까 사라진 케사스를 데려 와주세요. 저희는 모험 준비를 하고 있을게요.,,,,,,,,,
44,,,고니,,left,happy,,,"그래, 알았어!",,,,,,,,,
45,,,모코지,,right,happy,,,"아, 아무쪼록? 부족하지만, 잘 부탁드릴게요.",,,,,,,,,
46,,,,,,,,,,,,1,black_in,skip_disable,,,,
