page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;단편,skip_disable,,,,
2,챕터8,,,,,,,,,,,0.3,skip_disable,,,bgm_dungeon_special,,
3,,,고니,,left,thought,,,이상한데?  생각보다 몬스터의 숫자가 적어.,,,,,,,,,
4,,,고니,,left,happy,,,"아하, 이 녀석들! 이 고니 님의 무용담을 듣고 겁이 나서 도망친 건가?",,,,,,,,,
5,,,케사스,,right,idle,,,"고니, 정신 차려. 녀석들이 매복하고 있을지 모르는 일이야.",,,,,,,,,
6,,,고니,,left,idle,,,"뭐, 어때? 가끔은 이런 여흥이 있어야 여행이 즐거운 법이라고.",,,,,,,,,
7,,,케사스,,right,fury,,,그거 철저하게 주관적인 기준으로 즐겁단 소리는 아니겠지?,,,,,,,,,
8,,,,,left,,,,[캬아아아아아!!],,italic,,shaking,,,,,efx_story_fury
9,,,모코지,,left,sorrow,,,뭐죠? 이 무서운 소리는?,,,,,,,,,
10,,,누리,,right,fury,,,응? 꽤 가까운 곳에 녀석이 있어요.,,,,,,,,,
11,,,데데,,left,fury,,,케사스 님의 말이 맞을지도 몰라요. 설마 매복을 하고 있던 건가?,,,,,,,,,
12,,,두른,,right,idle,,,지긋지긋한 놈들이군. 아주 발목을 잡으려고 난리군! 응? 저건 뭐야?,,,,,,,,,
13,,,밤사냥꾼,,right,,appear_side,,캬캬!! 나는 밤사냥꾼! 네놈들을 기다리고 있었다!,,,,,,,,,
14,,,고니,,left,fury,,,"뭐, 뭐야? 저 녀석 모습이 이상하게 변했잖아!",,,,,,,,,
15,,,누리,,left,thought,,,억지로 몸에 방대한 마력을 주입한 거야. 그 부작용으로 몸이 변한 게 틀림없어.,,,,,,,,,
16,,,밤사냥꾼,,right,,,,캬캬!! 그 비열한 놈이 꼼수를 부린건 알고있다.,,,,,,,,,
17,,,밤사냥꾼,,right,,,,하지만 이 엄청난 힘이라면 네놈들을 이길 수 있겠지.,,,,,,,,,
18,,,고니,,left,fury,,,웃기는 소리! 이 고니 님이 너 따위에게 질 것 같아?,,,,,,,,,
19,,,데데,,left,fury,,,그쪽이야 말로 순순히 물러나요!,,,,,,,,,
20,,,밤사냥꾼,,right,,,,"흥, 그럼 이 넘치는 힘을 시험해봐야겠다.",,,,,,,,,
21,,,밤사냥꾼,,right,,,,성지에서 기다리겠다. 어리석은 빛의 종자들아!,,,,,,,,,
22,,,밤사냥꾼,,right,,disappear_side,,,,,1,skip_disable,clear_text,,,,
23,,,두른,,left,thought,,,"이거 꽤 힘든 싸움이 되겠는데, 다들 긴장하라고!",,,,,,,,,
24,,,,,,,,,,,,1,black_in,skip_disable,,,,
