page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;시련의 시작,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,바위들 사이에서 짙은 색의 알이 발견됐다.,,narrate,5,,,,,,
4,,,,,,,,,알은 곧 금이 가며 갈라졌고 그 사이에서 파워드래곤이 모습을 드러냈다.,,narrate,5,,,,,,
5,파워드래곤스토리1_1,,,,,,,,"두껍고 강한 턱, 거대한 앞발, 커다랗고 작은 돌기들은 파워드래곤의 엄청난 힘을 자랑했다.",,bold,5,,,,,,
6,,,,,,,,,파워드래곤의 능력은 자신도 모르는 사이 주변의 생명들에게 자신의 힘을 불어넣어 주는 것이었다.,,bold,5,,,,,,
7,,,,,,,,,그로 인해 파워드래곤의 힘을 받은 주변의 생명들은 활력이 넘쳐났다.,,bold,5,,,,,,
8,,,,,,,,,탐욕에 가득 찬 몬스터들은 파워드래곤의 능력으로 자신의 힘을 강화하는 것에 혈안이 되어 갔다.,,bold,5,,,,,,
9,,,,,,,,,몬스터들은 자신만이 파워드래곤의 힘을 부여받기 위해 파워드래곤 주변의 죄 없는 생명들을 무참히 희생시켰다.,,bold,5,,,,,,
10,,,,,,,,,파워드래곤의 능력으로 힘을 전달받은 몬스터들은 힘이 강화되거나 모습이 변형되어 갔다.,,bold,5,,,,,,
11,,,,,,,,,변화한 몬스터들은 자만에 빠져 자신의 힘을 시험하고자 파워드래곤을 공격하기 시작했다.,,bold,5,,,,,,
