page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;드래곤 테이머와 번개고룡,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,빛과 어둠의 전쟁 이후 수천 년의 시간이 지났다.,,narrate,5,,,,,,
4,,,,,,,,,참혹했던 대지는 터를 잡았고 살아가는 생명의 수도 많아졌다.,,narrate,5,,,,,,
5,,,,,,,,,빛의 결계로 인해 생명들의 삶에는 많은 변화가 일어났다.,,narrate,5,,,,,,
6,,,,,,,,,새로운 길이 생겨났고 이를 중심으로 시장이 생기며 크고 작은 거래가 오갔다.,,narrate,5,,,,,,
7,,,,,,,,,시장은 점점 커지며 마을을 이루었고 번성해 갔다.,,narrate,5,,,,,,
8,,,,,,,,,시간이 흘러 이름도 모를 소년에 의해 멸종된 줄 알았던 드래곤의 알이 발견된다.,,narrate,5,,,,,,
9,,,,,,,,,소년은 그저 큰 새의 알일 거로 생각했으나 그것은 틀림없는 드래곤의 알이었다.,,narrate,5,,,,,,
10,,,,,,,,,소문은 빠르게 퍼져나갔고 드래곤 알을 가지려는 자들은 소년을 찾기 시작했다.,,narrate,5,,,,,,
11,,,,,,,,,힘에 대한 욕망에 사로잡힌 자들은 소년의 가족들을 위협하며 드래곤 알을 빼앗으려 했다.,,narrate,5,,,,,,
12,,,,,,,,,위험에 처한 순간 드래곤과 함께 한 남자가 나타났다.,,narrate,5,,,,,,
