page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;자신의 한계를 뛰어넘어 전율의 번개를 깨닫다.,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,챕터5,,검은로브 보스,검은 사도,right,idle,,,말도 안 돼! 어떻게 궁극의 번개고룡을...,,bold_italic,5,,,,,,
4,챕터5,,전율의 번개고룡,,left,idle,,,위대한 힘은 믿음에서 비롯되는 것.,,bold,5,,,,,,
5,챕터5,,로버트 테일러,,left,idle,,,파괴만을 일삼는 너희들이 그걸 알 리가 없지.,,bold,5,,,,,,
6,챕터5,,검은로브 보스,검은 사도,right,idle,,,"크큭, 허나 그 힘 또한 우리는 뛰어넘을 것이다!",,bold_italic,5,,,,,,
7,,,,,,,,,"""다시 만날 날을 기대하지""",,narrate,5,,,,,,
8,,,,,,,,,검은 사도는 그림자 속으로 사라지며 세상엔 다시 평화가 찾아왔다.,,narrate,5,clear_char,,,,,
9,챕터5,,로버트 테일러,,left,idle,,,역시 믿고 있었다고 번개고룡!,,bold,5,,,,,,
10,챕터5,,전율의 번개고룡,,right,idle,,,나 혼자만의 힘은 아니야. 테일러 너가 있었기에 가능한 거지.,,bold,5,,,,,,
11,챕터5,,전율의 번개고룡,,right,idle,,,우리의 믿음이 있는 한 언제나 전율을 일으킬 수 있다고!,,bold,5,,,,,,
12,,,,,,,,,,,,1,clear_all,white_in,skip_disable,,,
13,,,,,,,,,,,,1,fadeout,skip_disable,,,,
14,번개고룡스토리5_1,,,,,,,,불의 앞에서 두려워하지 않는 용기,,bold,5,,,,,,
15,번개고룡스토리5_1,,,,,,,,서로에 대한 진심 어린 신뢰,,bold,5,,,,,,
16,번개고룡스토리5_1,,,,,,,,정의를 실현하고자 하는 열정,,bold,5,,,,,,
17,번개고룡스토리5_1,,,,,,,,전율의 번개고룡은 위대한 힘을 증명해 냈다.,,bold,5,,,,,,
18,,,,,,,,,- END -,,narrate,5,,,,,,
