page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;어둠 속에서 깨어난 작은 용,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,"깊고 깊은 어둠 속에서, 작은 용이 태어났다.",,narrate,,,,,,,
4,,,,,,,,,작은 용은 스스로를 자각하기 시작했다.,,narrate,,,,,,,
5,,,작은 용,,left,idle,,,"""......""",,,,,,,,,
6,,,,,,,,,"자신의 이름조차 모르는 작은 용은 자신의 날개를 펼치고, 자신의 꼬리를 휘둘렀다.",,narrate,,,,,,,
7,,,,,,,,,작은 용의 움직임이 주변의 어둠들을 자극 했다.,,narrate,,,,,,,
8,,,,,,,,,아직 너무나도 작은 용은 주변 어둠들에게 좋은 먹잇감이였다.,,narrate,,,,,,,
9,,,,,,,,,작은 용은 두려움에 사로잡혔다.,,narrate,,,,,,,
10,,,,,,,,,자그마한 날개를 열심히 날갯짓하여 도망쳤지만 어둠들은 금새 작은 용을 따라잡았다.,,narrate,,,,,,,
11,,,,,,,,,작은 용은 두려움에 비명을 질렀다.,,narrate,,,,,,,
12,,,,,,,,,어둠들이 작은 용의 온몸을 사로잡기 직전이였다.,,narrate,,,,,,,
13,,,,,,,,,작은 용은 모든것을 포기하고 싶어졌다.,,narrate,,,,,,,
14,,,,,,,,,"하지만 그때, 갑자기 주변이 밝아졌다.",,narrate,,,,,,,
15,,,,,,,,,,,,1,clear_all,white_in,skip_disable,,,
16,,,,,,,,,,,,1,fadeout,skip_disable,,,,
17,,,거대한 빛,,right,idle,,,[드디어 너를 찾았구나. 아이야],,bold_italic,,,,,,,
18,,,,,,,,,엄청나게 밝은 빛이었다.,,,,,,,,,
19,,,,,,,,,작은 용을 먹어치우려고 다가오던 어둠들이 순식간에 겁에 질려 뒷걸음을 치고 있었다.,,,,,,,,,
20,,,거대한 빛,,right,idle,,,[하지만 아직 너무나 미약하구나],,bold_italic,,,,,,,
21,,,,,,,,,밝은 광채를 내뿜으며 거대한 빛은 날갯짓을 했다.,,,,,,,,,
22,,,,,,,,,,,,1,black_in,skip_disable,,,,
