page,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound,char,t_char_name,char_pos,char_effect,char_ani,t_text,t_text_mono
1,title;1.빛의 기둥 B,skip_disable,,3,스테이지1,,,,,,,,,,
2,,,,,,,,,다크닉스,다크닉스,right,,,"감히 내게 맞선 그 용기만은 인정해 주마, 필멸자여. 상으로 그 목숨을 거두어 가지.",
3,,,,,,,,,누리,누리,left,,,"칫, 역시 어둠의 첫 번째 자손이라는 이름이 괜이 붙은 게 아니었구나.",
4,,,,,,,,,스마트드래곤,스마트드래곤,right,,,내가 이럴 줄 알았다니까! 왜 또 괜한 오지랖을 부리냐고!,
5,,,,,,,,,고니,고니,right,,,크으윽…,
6,,,,,,,,,누리,누리,left,,,"일어나, 일어나라고! 당장 안 일어나면 나한테 죽을 줄 알아! 야!",
7,,,,,,,,,고니,고니,right,,,누… 누구?,
8,black;0,flash,skip_disable,0.3,,,,,,,,shaking,,,
9,black;0,flash,skip_disable,0.3,,,,,,,,shaking,,,
10,black;0,flash,skip_disable,1,,,,,,,,shaking,,,
11,shaking,skip_disable,,0.5,,,,,,,,,,,
12,,,,,,,,,고니,고니,right,,,크아아악!,
13,,,,,,,,,누리,누리,left,,,정신이 들어?,
14,,,,,,,,,누리,누리,left,,,그보다… 여긴 대체 어디지? 처음 보는 풍경인데….,
15,,,,,,,,,고니,고니,right,,,당신은… 누…구? 그리고 여긴?,
16,,,,,,,,,누리,누리,left,,,"하아, 전혀 기억 안 나?",
17,,,,,,,,,스마트드래곤,스마트드래곤,right,,,"누리야, 저쪽 마을이 있는 거 같은데?",
18,,,,,,,,,누리,누리,left,,,"그래. 그럼 가보자. 너, 걸을 수 있지?",
19,black;0.5,skip_disable,,1,,,,,,,,,,,
20,clear_char,skip_disable,,0,,,,,,,,,,,
21,black;0,fadein,skip_enable,2,스테이지6,,,,,,,,,,
22,blend_black_40,,,,,bgm_dungeon_boss,,,검은 로브,검은 로브,left,,,기다리고 있었습니다.\\n위대한 어둠의 하인이시여.,
23,,,,,,,,,검은 로브 간부,검은 로브[간부],right,,,"...길고 긴 기다림 끝에,\\n드디어 이곳에 도착했군.",
24,,,,,,,,,검은 로브 간부,검은 로브[간부],right,,,"자, 어서 움직여라. \\n추악한 빛의 종이 우리를\\n막아서기 전에!",
25,,,,,,,,,검은 로브,검은 로브,left,,,알겠습니다.,
26,black;0.5,skip_disable,,0.5,,,,,,,,,,,
