page,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound,char,t_char_name,char_pos,char_effect,char_ani,t_text,t_text_mono
1,title;2.위대한 존재 B,skip_disable,,3,로비,,off,,,,,,,,
2,,,,,,,,,검은 로브,수뇌부,left,silhouette,,"그럼 그대가 조직한 원정대를 통해, \\n빛의 순례길을 순례하시오",
3,,,,,,,,,검은 로브,수뇌부,left,silhouette,,"유타칸, 마하임 공국. 그리고 \\n신성 왕국 바이델은 최선을 다해 \\n 그대를 지원하겠소",
4,,,,,,,,,검은 로브,수뇌부,left,silhouette,,"그럼 그대가 조직한 원정대를 통해, \\n빛의 순례길을 순례하시오",
5,skip_disable,,,2,,,,,,,,,,,
6,,,,0,,,,,,,left,clear_char,,,
7,,,,0,,,,,,,left,clear_text,,,
8,,,,,,bgm_everyday,,,누리,누리,right,,,"…오자마자,\\n이 나라 높은 분들은,\\n상당히 어려운 부탁을 하는걸. ",
9,,,,,,,,,누리,누리,right,,,"""부디~ 그 뛰어난 실력과 혜안으로""\\n라니! 제일 부담 가는 단어잖아!",
10,,,,,,,,,데데,데데,left,,,"그만큼, 누리 님을\\n저희 모두가 믿고 있다는\\n뜻이에요.",
11,,,,,,,,,데데,데데,left,,,위대한 선지자의 예지대로라면…\\n이 세상을 구할 방법을 아는 건….,
12,,,,,,,,,데데,데데,left,,,이세계에서 이노로 찾아온\\n위대한 존재. 오직\\n누리 님 뿐이니까요!,
13,,,,,,,,,누리,누리,right,,,"위대한 이라는 접두어가\\n엄청~ 나게 부담이 가는 건,\\n그냥 기분 탓일까?",
14,,,,,,,,,데데,데데,left,,,"하지만, 그만한 자격은 있다고\\n생각해요. 홀로 엘피스에\\n방문하셨을 때.",
15,,,,,,,,,데데,데데,left,,,수많은 몬스터 무리를\\n홀로 물리치고 오셨다고\\n들었어요.,
16,,,,,,,,,누리,누리,right,,,뭐… 이노와 달리\\n알리티아 행성에서는\\n테이머가 직접 전투를 하니까.,
17,,,,,,,,,데데,데데,left,,,자! 그러면 잡담은 이만하고…!\\n세상을 구할 원정대에\\n참가할 분들을 선발하죠!,
18,,,,,,,,,누리,누리,right,,,정말… 내가 원정대를\\n조직해도 되는 거야?,
19,,,,,,,,,데데,데데,left,,,그럼요! 수뇌부는 누리 님께\\n권한을 위임했으니 당연하죠!,
20,,,,,,,,,누리,누리,right,,,그럼! 이 녀석도 원정대에\\n참가할 수 있을까?!,
21,,,,,,,,,고니,고니,left,,,......엣!?,
22,,,,,,,,,데데,데데,left,,,…정말로 이 분을 원정대에\\n참가시킬 생각인가요?,
23,,,,,,,,,누리,누리,right,,,응! 그리고… 여기 눈매가 날카로워\\n보이는 이 녀석이 좋겠어!,
24,,,,,,,,,케사스,케사스,left,,,....훗,
25,,,,,,,,,누리,누리,right,,,"내 뛰어난 혜안과 경험에 따르면,\\n이 두 녀석이 맘에 들거든!",
26,black;0.5,skip_disable,,0.5,,,,,,,,,,,
