page,char,t_char_name,char_pos,char_effect,char_ani,t_text,text_type,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound
1,,,,,,,,hide_all,,,,,,,
2,,,,,,,,show_all,,,0,,,,
3,스마트드래곤,,left,,,-기본공격-\\n\\n전투에서 드래곤들은 자동으로 공격을 하게 될거야. 드래곤의 공격은 기본 공격 외에도\\n 정해진 시간 혹은 조건에 따라 스킬 공격을 하기도 해.,,overlay;black;50,skip_disable,,,,,,
4,,,,,,,,hide_all,,,,,,,
5,,,,,,,,show_all,,,0,,,,
6,스마트드래곤,,left,,,"-인게임 드랍 아이템-\\n\\n몬스터를 물리치고 나면 이렇게 아이템을 남기기도 하는데, 이 아이템들은 직접 터치해야만 \\n 획득할 수 있어. 그럼 손가락이 표시하는 방향을 터치해봐.",,overlay;black;50,skip_disable,,,,,,
7,,,,,,,,hide_all,,,,,,,
8,,,,,,,,show_all,,,0,,,,
9,다크닉스,,right,,,어리석구나. 필멸자여. 나의 공격을 받아보아라,,overlay;black;50,skip_disable,,,,,,
10,,,,,,,,hide_all,,,,,,,
11,,,,,,,,clear_char,skip_disable,,0,,,,
12,,,,,,,,show_all,,,0,,,,
13,스마트드래곤,,left,,,-드래그 스킬 안내-\\n\\n마나가 충전되면 액티브 스킬을 사용할 수 있어. 드래곤을 직접 터치하거나 \\n화면 하단의 드래곤 아이콘을 터치해도 되지만...,,overlay;black;50,skip_disable,,,,,,
14,스마트드래곤,,left,,,-드래그 스킬 안내-\\n\\n드래곤을 누른 채로 스킬을 사용하고 싶은 곳으로 손가락을 이동하면\\n 더 많은 적을 공격할 수 있어. 직접 빙하고룡의 드래그 스킬을 사용해 봐!,,overlay;black;50,skip_disable,,,,,,
15,,,,,,,,hide_all,,,,,,,
16,,,,,,,,show_all,,,0,,,,
17,스마트드래곤,,left,,,-드래그 스킬 안내-\\n\\n잘하는데?! 드래곤의 종류에 따라 드래그 스킬로 공격할 있는 \\n  범위가 달라. 이번엔 원형 범위의 적들에게 피해를 줄 수 있는 \\n파워드래곤의 드래그 스킬을 써보자.,,overlay;black;50,skip_disable,,,,,,
18,,,,,,,,hide_all,,,,,,,
19,,,,,,,,show_all,,,0,,,,
20,번개고룡,,left,,,이번엔 내 차례다. 모든 것을 뚫어버리는 뇌룡포를 받아 보거라!,,overlay;black;50,skip_disable,,,,,,
21,,,,,,,,hide_all,,,,,,,
22,,,,,,,,clear_char,skip_disable,,0,,,,
23,,,,,,,,show_all,,,0,,,,
24,다크닉스,,right,,,생각보다는 제법이구나. 이제는 봐주지 않겠다!,,overlay;black;50,skip_disable,,,,,,
25,,,,,,,,hide_all,,,,,,,
26,,,,,,,,show_all,,,0,,,,
27,다크닉스,,right,,,고작 이정도였나… 실망스럽군…,,overlay;black;50,skip_disable,,,,,,
28,,,,,,,,hide_all,,,,,,,
