page,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound,char,t_char_name,char_pos,char_effect,char_ani,t_text,t_text_mono
1,title;1.빛의 기둥 A,skip_disable,,3,스테이지1,bgm_everyday,,,,,,,,,
2,,,,,,,,,고니,고니,left,,,"응? 여긴 어디지? 어라, 번개고룡!",
3,,,,,,,,,번개고룡,번개고룡,right,,,너는 고니? 이런! 네가 여기 있는 거지?,
4,,,,,,,,,고니,고니,left,,,"응? 글쎄… 잘은 모르겠지만 어쨌든 난, \\n번개고룡 너의 테이머잖아! 근데 너 언제 이렇게 컸냐?",
5,,,,,,,off,,번개고룡,번개고룡,right,,,설명할 시간이 없다! 어서 여길 벗어나야…,
6,skip_disable,,,0,,,,,고니,고니,left,clear_text ,,,
7,skip_disable,,,0,,,,,고니,고니,left,clear_char,,,
8,skip_disable,,,0,,,,,번개고룡,번개고룡,right,clear_text ,,,
9,skip_disable,,,0,,,,,번개고룡,번개고룡,right,clear_char,,,
10,black;0,skip_disable,,0.5,,,,,,,,,,,
11,black;0,flash,skip_disable,0.3,,,,,,,,,,,
12,black;0,flash,skip_disable,0.3,,,,,,,,,,,
13,black;0,flash,skip_disable,0.3,,,,,,,,,,,
14,,,,,,bgm_dungeon_boss,,,다크닉스,다크닉스,right,,,"나는 아직 대답을 듣지 못했다. \\n말하라, 마이아는 어디에 있지?",
15,,,,,,,,,고니,고니,left,,,"우와, 저 드래곤은 뭐야! 엄청 쎄 보이는데! 거기 너, 이 고니님의 드래곤이 되어라!",
16,,,,,,,,,다크닉스,다크닉스,right,,,인간… 인가?,
17,,,,,,,,,고니,고니,left,,,"헤헤, 이 몸으로 말씀 드릴 거 같으면 장차 최고의 드래곤테이머가 되실 고니님이시다!",
18,shaking,,,,,,,,다크닉스,다크닉스,right,,,꺼져라. 하등한 존재에게 볼일은 없다.,
19,,,,,,,,,고니,고니,left,,,"뭐? 하등해? 이 시커먼 자식이 날 뭘로 보고! 흥, 이 고니님이 실력으로 제압해주지!",
20,black;1,skip_disable,,0.3,,,,,,,,,,,
