page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;악몽,skip_disable,,,,
2,챕터1,,,,,,,,,,,0.3,skip_disable,,,bgm_everyday,,
3,,,누리,,left,idle,,,그러니까 이쪽에서 저쪽으로 가면…,,,,,,,,,
4,,,스마트 드래곤,,right,,,,"누리님, 정말 이 길이 맞습니까?",,,,,,,,,
5,,,누리,,left,idle,,,당연하지. 내가 언제 틀린 거 봤어?,,,,,,,,,
6,,,스마트 드래곤,,right,,,,네. 그것도 아주 많이 봤습니다만. 저를 포함해서 여기 드래곤들 모두가…,,,,,,,,,
7,,,누리,,left,fury,,,"잠깐, 저기 저건… 설마?",,,,shaking,flash,,bgm_dungeon_special,,
8,,,스마트 드래곤,,right,,,,"거대한 몸집, 검붉은 피부와 불꽃 같은 눈동자. 분명 다크닉스군요.",,,,,,,,,
9,,,누리,,left,fury,,,누가 그걸 몰라? 저기 저 아이는 뭐하고 있는거야! 어서 가보자!,,,,,,,,,
10,,,스마트 드래곤,,right,,,,전혀 스마트하지 못한 선택인 거 같습니다만.,,,,,,,,,
11,,,스마트 드래곤,,right,,disappear_side,,,,,0.5,skip_disable,clear_text,,,,
12,,,누리,,left,fury,disappear_side,,,,,0.5,skip_disable,,,,,
13,,,,,,,,,,,,0.1,clear_char,,,,,
14,,,다크닉스,,right,,appear_side,,[어리석구나 필멸자여.],,italic,,,,,,,
15,,,고니,???,left,fury,appear_side,,덤벼라 날도마뱀 녀석아!!,,,,shaking,,,,,
16,,,,,,,,,,,,1,black_in,skip_disable,,,,
