page,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound,char,t_char_name,char_pos,char_effect,char_ani,t_text,t_text_mono
1,title;프롤로그,skip_disable,,3,프롤로그,bgm_dungeon_special,,,,,,,,,
2,vrp;scene_1_appear,next_disable,,,,,,,,,,,,,
3,vrp;scene_1_idle,next_disable,,,,,,,,,,,,,
4,next_disable,,,3,,,,,,,,,,"하늘 아래 가장 고귀한 존재여,",
5,next_disable,,,3,,,,,,,,,,"빛과 어둠의 싸움, 태초부터 시작된 이 잔혹한 인과의 굴레 속에서…",
6,clear_text,next_disable,,0.1,,,,,,,,,,,
7,vrp;scene_1_disappear,next_disable,,,,,,,,,,,,,
8,vrp;scene_2_appear,next_disable,,,,,,,,,,,,,
9,vrp;scene_2_idle,next_disable,,,,,,,,,,,,,
10,next_disable,,,3,,,,,,,,,,저 한없이 가녀린 영혼이…,
11,next_disable,,,3,,,,,,,,,,미로 같은 어둠 속의 마지막 희망이었음을 기억하느냐.,
12,clear_text,next_disable,,0.1,,,,,,,,,,,
13,vrp;scene_2_disappear,next_disable,,,,,,,,,,,,,
14,vrp;scene_3_appear,next_disable,,,,,,,,,,,,,
15,vrp;scene_3_idle,next_disable,,,,,,,,,,,,,
16,next_disable,,,3,,,,,,,,,,이 또한 신의 뜻이라면…,
17,clear_text,,,0.1,,,,,,,,,,,
18,vrp;scene_3_disappear,next_disable,,,,,,,,,,,,,
19,vrp;scene_4_appear,next_disable,,,,,,,,,,,,,
20,vrp;scene_4_idle,next_disable,,,,,,,,,,,,,
21,next_disable,,,3,,,,,,,,,,차라리 이 세상 모두를 무(無)로 돌릴 것이다.,
22,clear_text,next_disable,,0.1,,,,,,,,,,,
23,vrp;scene_4_disappear,next_disable,,,,,,,,,,,,,
24,black;0.5,skip_disable,,1,,,,,,,,,,,
