page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,t_text,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,3,title;불과 얼음B,skip_disable,,,,
2,스테이지1,,퀸즈 스네이크,,right,idle,,오호호호! 뭐야? 신성왕국도 별 거 아니었잖아? 너 진짜 사제 맞아?,,,,,,bgm_dungeon_boss,,
3,,,데데,,left,fury,,뭐야! 어디서 감히!,,,,,,,,
4,,,누리,,left,fury,,"데데, 잠깐! 함정이야, 일부러 널 도발하는 거라고!",,,,,,,,
5,,,퀸즈 스네이크,,right,,,둘이니 저승길도 그리 외롭진 않겠구나.,,,,,,,,
6,,,데데,,left,fury,,"누리 님, 어서 피하세요!",bold,,,,,,,
7,,,퀸즈 스네이크,,right,,,"자, 그럼 사이좋게 죽어?",,1,,,,,,
8,,,퀸즈 스네이크,,right,,shaking,키아아아악!,,,flash,,,,,
9,,,고니,,left,idle,,다행히 별로 늦지는 않은 거 같군. 어디 다친 사람은 없고?,,,,,,,,
10,,,데데,,left,happy,,고? 고니?,,,,,,,,
11,,,퀸즈 스네이크,,right,,,"응? 네놈은 ? 두 놈이서 사이좋게 죽었을 텐데, 용케도 살아남았구나.",,,,,,,,
12,,,,,,,,,,1,clear_char,,,,,
13,,,고니,,left,sorrow,,"그래, 살아남았다. 왜냐하면…",,,,,,,,
14,,,고니,,left,fury,,이 몸은 친구를 죽인 놈을 절대 용서할 수 없거든!,,,,,,,,
15,,,퀸즈 스네이크,,right,,,"그래, 그럼 이번에는 확실히 네 친구 곁으로 보내?",,1,,,,,,
16,,,퀸즈 스네이크,,right,,shaking,커억!,,,flash,,,,,
17,,,케사스,,right,fury,,"이런이런, 솔직히 쉽게 통할 줄은 몰랐는데? 완전 바보잖아.",,,,,,,,
18,,,고니,,left,fury,,이 고니 님을 깔보니까 그런 험한 꼴을 당하는 거라고. 반성해.,,,,,,,,
19,,,퀸즈 스네이크,,right,,,"이, 이 고약한 꼬맹이들이? 감히 나를 속여??",,,,,,,,
20,,,고니,,left,fury,,"자, 그럼 이걸로? 마무리!",,,,,,,,
21,,,퀸즈 스네이크,,right,,shaking,키아아아악!,,,flash,,,,,
22,막,,,,,,,,,2,clear_char,,,,volume_down,
23,로비,,데데,,left,happy,,"고니, 정말 대단했어요. 나도 깜빡 속았다니까!",,,,,,bgm_everyday,,
24,,,고니,,left,happy,,나야 뭐? 모두 케사스가 생각한 거야.,,,,,,,,
25,,,케사스,,right,thought,,당연히 이 머리 속에 나왔지. 물론 고니 네 손을 빌린 덕에 성공한 거지만.,,,,,,,,
26,,,누리,,left,idle,,어째 둘 사이의 말투가 좀 부드러워진 거 같네?,,,,,,,,
27,,,누리,,left,idle,,무슨 일인지는 모르겠지만 어쨌든 좋은 징조겠지?,,,,,,,,
28,,,케사스,,right,thought,,"미안하지만, 난 점쟁이는 아니라서 모르겠네.",,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,고니,,left,fury,,"케사스, 그게 무슨 소리야? 아까는 분명…",,,,,,,,
31,,,케사스,,right,thought,,"그렇다면 재잘거리지는 거 말고, 행동으로 증명하라고.",,,,,,,,
32,,,고니,,left,thought,,그? 그래. 알았어.,,,,,,,,
33,,,고니,,left,happy,,일단은 네 말대로 하겠다고 했으니까.,,,,,,,,
34,,,케사스,,right,thought,,"사람은 말이야?그리 쉽게 변하지 않더라고. 고니 너 뿐만 아니라, 나조차도…",,,,,,,,
35,,,데데,,left,happy,,"에휴? 둘이 화해한 줄 알았더니, 어째 반나절을 못 넘기네요.",,,,,,,,
