page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,effect_4,bgm,bgm_action,sound
1,로비,,나르비,,right,idle,,"어머나, 이제 몰라보게 성장하셨네요",,,,black_layer;on,,,skip_disable,,,
2,,,고니,,left,happy,,그럼! 이 고니님이 해결못할 문제는 없다고 봐야지,,,,black_layer;on,,,skip_disable,,,
3,,,케사스,,left,idle,,...너와 함께하는 사람들이 얼마나 고생하는지 아직도 모르는 거냐,,,,black_layer;on,,,skip_disable,,,
4,,,나르비,,right,idle,,케사스 님이 엄격해서 그렇지 분명 많이 강해지셨어요,,,,black_layer;on,,,skip_disable,,,
5,,,나르비,,right,idle,,검은 로브의 위협이 현실이 되어가고 있어요. 이미 대륙의 동쪽은 폐허가 되어가고 있어요,,,,black_layer;on,,,skip_disable,,,
6,,,나르비,,right,idle,,현재의 위협은 고니님 혼자만의 힘으론 해결할 수가 없어요.,,,,black_layer;on,,,skip_disable,,,
7,,,나르비,,right,idle,,반드시 다른 테이머 분들과 힘을 합해야 해요.,,,,black_layer;on,,,skip_disable,,,
8,,,고니,,left,idle,,위협이라니? 무슨 말이지?,,,,black_layer;on,,,skip_disable,,,
9,,,나르비,,right,idle,,그건 차차 알려주도록 하지요. 일단은 테이머분들을 모아서 함께 힘을 길러야 해요,,,,black_layer;on,,,skip_disable,,,
10,,,나르비,,right,idle,,"자, 이제 여러 테이머들이 기다리는 클랜으로 가보시죠",,,,,,,,,,
11,clear,,고니,,left,idle,clear,,,,0.5,skip_disable,clear_text,,,,,
12,,,나르비,,right,idle,clear,,,,0.5,skip_disable,,,,,,
13,,,,,,,,클랜은 다른 테이머들과 함께 게임을 플레이할 수 있는 콘텐츠랍니다,bot,,,black_layer;off,,,skip_disable,,,
14,,,,,,,,추천 클랜탭에서 현재 모집중인 클랜들을 보실 수 있습니다,bot,,,black_layer;on,stencil;stc_joinTabBtn,,skip_disable,,,
15,,,,,,,,마음에 드는 클랜의 가입 버튼을 누르시면 가입 요청이 됩니다,bot,,,black_layer;on,stencil;stc_requestBtn,,skip_disable,,,
16,,,,,,,,가입 신청한 내역은 가입 대기에서 확인 가능합니다.,bot,,,black_layer;on,stencil;stc_requestTabBtn,,skip_disable,,,
17,,,,,,,,,,,0,stencil;release,,,skip_disable,,,
18,,,,,,,,클랜 창설 탭을 누르면 자신만의 클랜을 만들 수 있습니다,bot,,,pointing;foundTabBtn,activate;foundTabBtn,next_disable,skip_disable,,,
19,,,,,,,,,,,0,pointing;release,activate;release,next_enable,skip_disable,,,
20,,,,,,,,"창설시엔 1,000,000 골드가 필요하니 확인을 부탁드려요",top,,,black_layer;on,,,skip_disable,,,
21,,,,,,,,클랜 이름은 최대 10자를 넘을 수 없습니다. 유의하세요.,top,,,black_layer;on,,,skip_disable,,,
22,,,,,,,,클랜 랭킹에서 클랜들의 순위를 볼 수 있습니다.,bot,,,pointing;rankTabBtn,activate;rankTabBtn,next_disable,skip_disable,,,
23,,,,,,,,,,,0,pointing;release,activate;release,next_enable,skip_disable,,,
24,,,,,,,,각종 콘텐츠마다 클랜들의 순위를 볼 수 있습니다,bot,,,stencil;stc_list,,,skip_disable,,,
25,,,,,,,,모든 설명이 끝났습니다. 초기화면으로 돌아가볼게요.,bot,,,pointing;joinTabBtn,activate;joinTabBtn,next_disable,skip_disable,,,
26,,,,,,,,,,,0,pointing;release,activate;release,next_enable,skip_disable,,,
27,,,,,,,,다른 테이머들과 함께 즐거운 클랜 생활되시길 바랍니다,bot,,,black_layer;off,,,skip_disable,,,
