page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,effect_4,effect_5,bgm,bgm_action,sound
1,,,,,,,,안녕하세요 테이머님!,top,,,,,,black_layer;off,skip_disable,,,
2,,,,,,,,지금부터 다양한 드래곤을 만나기 위해 모험을 떠나는 방법을 알려드리겠습니다.,top,,,,,,,skip_disable,,,
3,,,,,,,,우선 전투 버튼을 눌러주세요!,top,,,pointing;battleBtn,activate;battleBtn,next_disable,black_layer;on,skip_disable,,,
4,,,,,,,,,,,0,pointing;release,activate;release,,,skip_disable,,,
5,,,,,,,,,,,0.5,clear_text,,next_disable,black_layer;off,skip_disable,,,
6,,,,,,,,,,,0,,,,,skip_disable,,,
7,,,,,,,,{@yellow}모험{@default} 모드는 스테이지를 순차적으로 클리어하며\\n드래곤을 성장시킬 수 있는 게임의 기본적인 모드입니다.,top,,,,,,,skip_disable,,,
8,,,,,,,,{@yellow}모험{@default} 버튼을 눌러 주세요.,top,,,pointing;tutorialAdventureBtn,activate;tutorialAdventureBtn,next_disable,black_layer;on,skip_disable,,,
9,,,,,,,,,,,0,pointing;release,activate;release,,,skip_disable,,,
10,,,,,,,,,,,0.5,clear_text,,next_disable,black_layer;off,skip_disable,,,
11,,,,,,,,,,,0,,,,black_layer;on,skip_disable,,,
12,,,,,,,,스테이지에 입장해 볼까요?\\n1-1 스테이지 버튼을 눌러 주세요.,bot,,,pointing;tutorialStageBtn,activate;tutorialStageBtn,next_disable,stencil;stc_stageBtn,skip_disable,,,
13,,,,,,,,,,,0,pointing;release,activate;release,,stencil;release,skip_disable,,,
14,,,,,,,,,,,0.5,clear_text,,next_disable,black_layer;off,skip_disable,,,
15,,,,,,,,스테이지 정보 화면에서는 해당 스테이지에 대한 보상과\\n출현 몬스터의 정보를 확인할 수 있습니다.,top,,,,,,,skip_disable,,,
16,,,,,,,,입장 버튼을 눌러 주세요.,top,,,pointing;enterBtn,activate;enterBtn,next_disable,black_layer;on,skip_disable,,,
17,,,,,,,,,,,0,pointing;release,activate;release,,,skip_disable,,,
18,,,,,,,,,,,0.5,clear_text,,next_disable,black_layer;off,skip_disable,,,
19,,,,,,,,"전투 준비 화면에서는 전투에 참여할 드래곤을 선택할 수 있습니다.\\n또한 드래곤들의 {@yellow}진형{@default}, 전투를 치를 {@yellow}테이머{@default}를 바꾸는 것도 가능합니다.",top,,,,,,,skip_disable,,,
20,,,,,,,,그럼 전투를 시작해 볼까요!,top,,,pointing;startBtn,activate;startBtn,next_disable,black_layer;on,skip_disable,,,
21,,,,,,,,,,,0,pointing;release,activate;release,,,skip_disable,,,
