page,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound,char,t_char_name,char_pos,char_effect,char_ani,t_text,t_text_mono
1,title;1.빛의 기둥 B,skip_disable,,3,스테이지1,,,,,,,,,,
2,,,,,,,,,퀸즈 스네이크,퀸즈 스네이크,right,,,"멍청한 인간 따위가, \\n감히 내 앞길을 방해해?!",
3,,,,,,,,,고니,고니,left,shaking,,…퀸즈 스네이크? 말도 안 돼! \\n저 녀석은 숲 밖으로 나올 수 없… \\n윽!,
4,clear_text,,,0,,,,,고니,고니,left,,,,
5,black;0,flash,skip_disable,0.3,,,,,고니,고니,left,shaking,,,
6,black;0,flash,skip_disable,0.3,,,,,고니,고니,left,shaking,,,
7,black;0,flash,skip_disable,1,,,,,고니,고니,left,shaking,,으윽!...,
8,shaking,,,1,,,,,고니,고니,left,clear_text,,,
9,,,,,,,,,퀸즈 스네이크,퀸즈 스네이크,right,,,"그래! 네놈의 숨통을 끊어서, \\n모두에게 자랑해야겠어!",
10,,,,,,,,,고니,고니,left,,,!,
11,flash,clear_text,skip_disable,0.3,,,,,퀸즈 스네이크,퀸즈 스네이크,right,shaking,,,
12,flash,,skip_disable,0.3,,,,,퀸즈 스네이크,퀸즈 스네이크,right,shaking,,,
13,,,,,,,,,퀸즈 스네이크,퀸즈 스네이크,right,shaking,,캬아아악！,
14,clear_text,,,2,,,,,퀸즈 스네이크,퀸즈 스네이크,right,disappear_down,,,
15,black;0.5,skip_disable,,2,,,,,,,,,,,
16,,,,0,,,,,퀸즈 스네이크,퀸즈 스네이크,right,clear_char,,,
17,,,,0,,,,,고니,고니,left,clear_char,,,
18,cleartext,,,,손을 내미는 누리,,,,,,,,,,
19,black;0,fadein,skip_enable,1,,,,,,,,,,,
20,,skip_disable,,3,,,,,,,,,,,
21,black;0,fadein,,,스테이지1,,,,누리,???,right,,,이런… 큰일이야. \\n심하게 다쳤어. \\n정신이 들어?,
22,,,,,,,,,누리,???,right,,,,그보다… 여긴 대체 어디지?\\n처음 보는 풍경인데….
23,,,,,,,,,고니,고니,left,,,당신은… \\n누…구.,
24,,,,2,,,,,고니,고니,left,disappear_down,,으.........,
25,,,,0,,,,,,,left,clear_char,,,
26,,,,0,,,,,,,left,clear_text,,,
27,,,,,,,,,누리,???,right,,,,정신을 잃은 모양이네? \\n하긴 상처가 워낙 심했으니….
28,,,,,,,,,누리,???,right,,,,일단 급한 대로 저쪽 \\n마을에서 도움을 청해야겠어.
29,,,,,,,,,누리,???,right,,,,"뭐가 어떻게 됐는지 모르지만,\\n이 꼬마를 구하는 게 우선이야!"
30,black;0.5,skip_disable,,1,,,,,,,,,,,
31,clear_char,,,0,,,,,,,,,,,
32,black;0,fadein,skip_enable,2,스테이지6,,,,,,,,,,
33,blend_black_40,,,,,,,,검은 로브,검은 로브,left,,,기다리고 있었습니다.\\n위대한 어둠의 하인이시여.,
34,,,,,,,,,검은 로브 간부,검은 로브[간부],right,,,"...길고 긴 기다림 끝에,\\n드디어 이곳에 도착했군.",
35,,,,,,,,,검은 로브 간부,검은 로브[간부],right,,,"자, 어서 움직여라. \\n추악한 빛의 종이 우리를\\n막아서기 전에!",
36,,,,,,,,,검은 로브,검은 로브,left,,,알겠습니다.,
37,black;0.5,skip_disable,,0.5,,,,,,,,,,,
