page,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound,char,t_char_name,char_pos,char_effect,char_ani,t_text,t_text_mono
1,title;2.위대한 존재 A,skip_disable,,3,로비,,,,,,,,,,
2,,,,,,,,,누리,??,right,,,...이 마을 생각보다 \\n규모가 있는 걸?,
3,,,,,,,,,누리,??,right,,,,아니… 마을이라기보다는\\n요새 도시에 가깝다고\\n해야 하나?
4,skip_disable,,,1,,,,,,,,,,,
5,,,,0,,,,,,,right,clear_char,,,
6,,,,0,,,,,,,right,clear_text,,,
7,,,,,,,,,데데,??,left,,,기다리고 있었습니다. 당신이 \\n빛의 기둥에서 나타난\\n 위대한 존재시군요.,
8,,,,,,,,,누리,??,right,,,"위, 위대한 존재? \\n저기… 누굴 보고 말하는 거야?\\n 설마… 나?!",
9,,,,,,,,,데데,데데,left,,,당연히 제 눈앞에 있는 분이죠. \\n제 이름은 데데. \\n신성 왕국 바이델의 사제입니다.,
10,,,,0,,,,,,,right,clear_char,,,
11,,,,,,,,,누리,누리,right,,,"음~ 그쪽이 소개했다면, \\n나도 하는 게 예의겠지? \\n내 이름은 누리! 드래곤 테이머야.",
12,,,,,,,,,누리,누리,right,,,그리고 여기… 아! 혹시 \\n여기 치료사가 있을까? \\n여기 다친 녀석이 있어!,
13,,,,,,,,,데데,데데,left,,,…심하게 다쳤네요. \\n서둘러 치료사를 불러오죠. ,
14,,,,,,,,,데데,데데,left,,,"누리 님은 실례가 되지 않는다면,\\n저와 같이 회의장으로 가시죠.",
15,,,,,,,,,데데,데데,left,,,각 나라의 수장들이 \\n지금 누리 님을 기다리고\\n있으니까요.,
16,,,,,,,,,누리,누리,right,,,나를… 뭐 때문에\\n각 나라의 수장들이 찾고 있는\\n거지?,
17,,,,,,,,,데데,데데,left,,,"당연히, 위대한 존재인\\n누리 님께 지혜를 빌리기\\n위해서죠.",
18,skip_disable,,,1,,,,,,,,,,,
19,,,,,,,,,누리,누리,right,,,아하… 그렇구나.,
20,shaking,,,,,,,,누리,누리,right,,,뭐?!,
21,black;0.5,skip_disable,,1,,,,,,,,,,,
