page,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound,char,t_char_name,char_pos,char_effect,char_face,t_text,t_text_mono
1,title;4.불과 얼음 A,skip_disable,,3,스테이지1,,,,,,,,,,
2,,,,,,,,,고니,고니,left,,,좋아! 퀸즈 스네이크 따위! 이 고니 님이 물리쳐주지!,
3,,,,,,,,,케사스,케사스,right,,,방심하지 마! 녀석은 쉽게 볼 상대가 아니라고!,
4,,,,,,,,,고니,고니,left,,,뭐야?! 또 잘난 척을 하는 거야! 그럼 내 진짜 실력을 보여주지!,
5,,,,,,,,,고니,고니,left,,,잘~ 보라고! 내가 녀석을 끝장… 응?!,
6,skip_disable,,,1,,,,,,,,,,,
7,,,,,,,,,퀸즈 스네이크,퀸즈 스네이크,right,,,호호호! 분수도 모르는 녀석! 죽어라!!,
8,black;0,flash,skip_disable,0.3,,,,,,,,,,,
9,black;0,flash,skip_disable,0.3,,,,,,,,,,,
10,black;0,flash,skip_disable,0.3,,,,,,,,,,,
11,shaking,,,,,,,,케사스,케사스,right,shaking,,이 멍청이... 으윽!,
12,skip_disable,,,0.5,,,,,케사스,케사스,right,disappear_down,,,
13,shaking,,,,,,,,고니,고니,left,disappear_down,,"…케, 케사스?! ",
14,,,,,,,,,퀸즈 스네이크,퀸즈 스네이크,right,,,저런~ 방심한 네놈의 잘못이라고! 꺄하하핫!,
15,,,,,,,,,퀸즈 스네이크,퀸즈 스네이크,right,disappear_down,,,
16,,,,,,,,,데데,데데,left,,,고니 씨! 케사스 씨!!,
17,,,,,,,,,누리,누리,right,,,정신 차려 데데! 나와 함께 퀸즈 스네이크를 쫓자! 녀석을 놓쳐서는 안 돼!,
18,,,,,,,,,데데,데데,left,,,"하, 하지만! 고니 씨와 케사스 씨가…!",
19,,,,,,,,,누리,누리,right,,,걱정 하지마. 케사스는 고니에게 맡겨! 분명 둘은 잘해낼 거야!,
20,,,,0,,,,,누리,누리,right,clear_text,,,
21,,,,0,,,,,누리,누리,right,clear_char,,,
22,,,,0,,,,,데데,데데,left,clear_text,,,
23,,,,0,,,,,데데,데데,left,clear_char,,,
24,skip_disable,,,2,,,,,,,,,,,
25,blend_black_30,,,,,,,,케사스,케사스,right,,,으으으….,
26,,,,,,,,,고니,고니,left,,,정신이 들어? 혹시… 많이 아픈 거야?,
27,,,,,,,,,케사스,케사스,right,,,녀석이 공격하기 직전에 보호 마법을 사용했어… 그렇게 큰 상처는 아니야.,
28,,,,,,,,,케사스,케사스,right,,,...왜 그런 표정을 하는 거지? 네가 날 깔볼 좋은 기회 아니야?,
29,,,,,,,,,케사스,케사스,right,,,항상 널 비아냥거리던 녀석이 정작 네 도움을 받고 있잖아?,
30,,,,,,,,,고니,고니,left,,,…….,
31,,,,,,,,,고니,고니,left,,,목숨을 구해 준 은인에게 그런 말은 할 수 없지.,
32,,,,,,,,,고니,고니,left,,,내가 아무리 생각이 없고 몸이 먼저 나가는 바보라도 그런 건 안다고.,
33,,,,,,,,,케사스,케사스,right,,,…….,
34,,,,,,,,,케사스,케사스,right,,,넌 그렇게까지 바보는 아니야. 단지 조금 더 생각하고 움직이는 게 필요한 거지.,
35,,,,,,,,,케사스,케사스,right,,,오히려 누리 씨의 눈에는 우리 둘 다 팔푼이와 다름없는 녀석들로 보일 테니까.,
36,,,,,,,,,고니,고니,left,,,"일단, 이곳을 빠져나가자, 누리 씨와 데데는 퀸즈 스네이크를 추적하고 있을 거야.",
37,,,,,,,,,고니,고니,left,,,"아… 그리고, 이제부터라도 네가 말하는 말에 귀 기울이도록 노력할게.",
38,,,,,,,,,고니,고니,left,,,너 말대로… 더는 짐 덩어리가 되고 싶지 않으니까.,
39,,,,,,,,,케사스,케사스,right,,,"…좋아, 고니. 그럼 이번에야말로 힘을 합쳐보자.",
40,,,,,,,,,케사스,케사스,right,,,"단, 반드시 내가 말한 대로 믿고 따라줘야 해. 할 수 있겠어?",
41,,,,,,,,,고니,고니,left,,,응! 맡겨달라고!,
42,black;0.5,skip_disable,,1,,,,,,,,,,,
