page,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound,char,t_char_name,char_pos,char_action,char_face,t_name,t_text
1,title;1.빛의 기둥 A,skip_disable,,3,,,,,,,,,,,테스트1
2,black;0,fadein,skip_enable,2,res/bg/ui/dragon_bg_earth/dragon_bg_earth.vrp,,,,,,,,,,테스트2
3,,,,3,,,,,goni_i,고니,left,,,,좋아! 이 임무만 무사히 완수하면 오늘 일은 끝이야.
4,,,,3,,,,,goni_i,고니,left,,,,"...잠, 잠깐만. 저건 몬스터?!"
5,,,,3,,,,,goni_i,고니,left,,,,저 방향에는 분명히 민간인 마을이 있을 텐데….
6,,,,3,,,,,goni_i,고니,left,,,,…어째서 몬스터가 인근 마을까지 나타난 거지?
7,,,,3,,,,,nuri_i,누리,right,,,,밥먹자
8,whiteblack,,,1,,,,,goni_i,고니,left,,,,싫은데...
9,fadein,,,3,,,,,nuri_i,누리,right,,,,오늘 집에 갈 수는 있냐??
10,,,,3,,,,,goni_i,고니,left,,,,해봐야지 뭐...
11,,,,3,,,,,dede_i,데데,left,,,,나는 데데다
12,,,,3,,,,,kesath_i,케사스,right,,,,케샤쓰으으으
13,,,,5,,,,,dede_i,데데,left,,,,덷데데데덷ㄷㄷㄷ
14,,,,5,,,,,kesath_i,케사스,right,,,,이제 끝이야... 아쉬워???
15,black;0.5,skip_disable,,1,,,,,,,,,,,
