rank_id,t_name,rank_min,rank_max,reward_1,reward_2,reward_3,reward_4,reward_5
1,1위,1,1,cash;1000,gold;100000,700101;100,,
2,2위,2,2,cash;1000,gold;100000,700101;100,,
3,3위~5위,3,5,cash;1000,gold;100000,700101;100,,
4,6위~10위,6,10,cash;1000,gold;100000,700101;100,,
5,11위~25위,11,25,cash;1000,gold;100000,700101;100,,
6,26위~50위,26,50,cash;1000,gold;100000,700101;100,,
7,51위~75위,51,75,cash;1000,gold;100000,700101;100,,
8,76위~100위,76,100,cash;1000,gold;100000,700101;100,,
9,101위~500위,101,500,cash;1000,gold;100000,700101;100,,
10,501위~1500위,501,1500,cash;1000,gold;100000,700101;100,,
11,1501위~5000위,1501,5000,cash;1000,gold;100000,700101;100,,
12,5001위~15000위,5001,15000,cash;1000,gold;100000,700101;100,,
13,15001위~30000위,15001,30000,cash;1000,gold;100000,700101;100,,
14,30001위~60000위,30001,60000,cash;1000,gold;100000,700101;100,,
15,60001위~90000위,60001,90000,cash;1000,gold;100000,700101;100,,
16,90001위~120000위,90001,120000,cash;1000,gold;100000,700101;100,,
17,120001위~150000위,120001,150000,cash;1000,gold;100000,700101;100,,
18,150001위~,150001,,cash;1000,gold;100000,700101;100,,
