stage,reward_first,reward_repeat
1401001,gold;1000,gold;100
1401002,gold;1200,gold;110
1401003,gold;1400,gold;120
1401004,gold;1600,gold;130
1401005,gold;1800,gold;140
1401006,gold;2000,gold;150
1401007,gold;2200,gold;160
1401008,gold;2400,gold;170
1401009,gold;2600,gold;180
1401010,gold;2800,gold;190
1401011,gold;3000,gold;200
1401012,gold;3200,gold;210
1401013,gold;3400,gold;220
1401014,gold;3600,gold;230
1401015,gold;3800,gold;240
1401016,gold;4000,gold;250
1401017,gold;4200,gold;260
1401018,gold;4400,gold;270
1401019,gold;4600,gold;280
1401020,gold;4800,gold;290
1401021,gold;5000,gold;300
1401022,gold;5200,gold;310
1401023,gold;5400,gold;320
1401024,gold;5600,gold;330
1401025,gold;5800,gold;340
1401026,gold;6000,gold;350
1401027,gold;6200,gold;360
1401028,gold;6400,gold;370
1401029,gold;6600,gold;380
1401030,gold;6800,gold;390
1401031,gold;7000,gold;400
1401032,gold;7200,gold;410
1401033,gold;7400,gold;420
1401034,gold;7600,gold;430
1401035,gold;7800,gold;440
1401036,gold;8000,gold;450
1401037,gold;8200,gold;460
1401038,gold;8400,gold;470
1401039,gold;8600,gold;480
1401040,gold;8800,gold;490
1401041,gold;9000,gold;500
1401042,gold;9200,gold;510
1401043,gold;9400,gold;520
1401044,gold;9600,gold;530
1401045,gold;9800,gold;540
1401046,gold;10000,gold;550
1401047,gold;10200,gold;560
1401048,gold;10400,gold;570
1401049,gold;10600,gold;580
1401050,gold;10800,gold;590
1401051,gold;11000,gold;600
1401052,gold;11200,gold;610
1401053,gold;11400,gold;620
1401054,gold;11600,gold;630
1401055,gold;11800,gold;640
1401056,gold;12000,gold;650
1401057,gold;12200,gold;660
1401058,gold;12400,gold;670
1401059,gold;12600,gold;680
1401060,gold;12800,gold;690
1401061,gold;13000,gold;700
1401062,gold;13200,gold;710
1401063,gold;13400,gold;720
1401064,gold;13600,gold;730
1401065,gold;13800,gold;740
1401066,gold;14000,gold;750
1401067,gold;14200,gold;760
1401068,gold;14400,gold;770
1401069,gold;14600,gold;780
1401070,gold;14800,gold;790
1401071,gold;15000,gold;800
1401072,gold;15200,gold;810
1401073,gold;15400,gold;820
1401074,gold;15600,gold;830
1401075,gold;15800,gold;840
1401076,gold;16000,gold;850
1401077,gold;16200,gold;860
1401078,gold;16400,gold;870
1401079,gold;16600,gold;880
1401080,gold;16800,gold;890
1401081,gold;17000,gold;900
1401082,gold;17200,gold;910
1401083,gold;17400,gold;920
1401084,gold;17600,gold;930
1401085,gold;17800,gold;940
1401086,gold;18000,gold;950
1401087,gold;18200,gold;960
1401088,gold;18400,gold;970
1401089,gold;18600,gold;980
1401090,gold;18800,gold;990
1401091,gold;19000,gold;1000
1401092,gold;19200,gold;1010
1401093,gold;19400,gold;1020
1401094,gold;19600,gold;1030
1401095,gold;19800,gold;1040
1401096,gold;20000,gold;1050
1401097,gold;20200,gold;1060
1401098,gold;20400,gold;1070
1401099,gold;20600,gold;1080
1401100,gold;20800,gold;1090
