rank_id,tier_id,r_name,rank_min,rank_max,ratio_min,ratio_max,reward,week,r_comment
1,11,1위,1,1,,,"cash;6000,valor;100",1,
2,12,2위,2,2,,,"cash;5000,valor;80",1,
3,13,3위,3,3,,,"cash;4800,valor;75",1,
4,14,4위~5위,4,5,,,"cash;4600,valor;70",1,
5,15,6위~10위,6,10,,,"cash;4400,valor;65",1,
6,16,11위~20위,11,20,,,"cash;4200,valor;60",1,
7,17,21위~30위,21,30,,,"cash;4100,valor;50",1,
8,18,31위~50위,31,50,,,"cash;4000,valor;40",1,
9,19,51위~75위,51,75,,,"cash;3800,valor;30",1,
10,20,76위~100위,76,100,,,"cash;3700,valor;20",1,
11,21,상위 5%,,,0,5,"cash;3600,valor;10",1,
12,22,상위 10%,,,5,10,"cash;3500,valor;5",1,
13,23,상위 15%,,,10,15,"cash;3400,valor;5",1,
14,24,상위 20%,,,15,20,"cash;3300,valor;5",1,
15,25,상위 25%,,,20,25,"cash;3200,valor;3",1,
16,26,상위 30%,,,25,30,"cash;3100,valor;3",1,
17,27,상위 40%,,,35,40,"cash;3000,valor;3",1,
18,28,상위 50%,,,40,50,"cash;2000,valor;2",1,
19,29,상위 60%,,,50,60,"cash;1500,valor;2",1,
20,30,상위 70%,,,60,70,"cash;1000,valor;2",1,
21,31,상위 80%,,,70,80,"cash;800,valor;1",1,
22,32,상위 90%,,,80,90,"cash;700,valor;1",1,
23,33,상위 100%,,,90,100,"cash;600,valor;1",1,
24,11,1위,1,1,,,"cash;6000,valor;100",201830,
25,12,2위,2,2,,,"cash;5000,valor;80",201830,
26,13,3위,3,3,,,"cash;4800,valor;75",201830,
27,14,4위~5위,4,5,,,"cash;4600,valor;70",201830,
28,15,6위~10위,6,10,,,"cash;4400,valor;65",201830,
29,16,11위~20위,11,20,,,"cash;4200,valor;60",201830,
30,17,21위~30위,21,30,,,"cash;4100,valor;50",201830,
31,18,31위~50위,31,50,,,"cash;4000,valor;40",201830,
32,19,51위~75위,51,75,,,"cash;3800,valor;30",201830,
33,20,76위~100위,76,100,,,"cash;3700,valor;20",201830,
34,21,상위 5%,,,0,5,"cash;3600,valor;10",201830,
35,22,상위 10%,,,5,10,"cash;3500,valor;5",201830,
36,23,상위 15%,,,10,15,"cash;3400,valor;5",201830,
37,24,상위 20%,,,15,20,"cash;3300,valor;5",201830,
38,25,상위 25%,,,20,25,"cash;3200,valor;3",201830,
39,26,상위 30%,,,25,30,"cash;3100,valor;3",201830,
40,27,상위 40%,,,35,40,"cash;3000,valor;3",201830,
41,28,상위 50%,,,40,50,"cash;2000,valor;2",201830,
42,29,상위 60%,,,50,60,"cash;1500,valor;2",201830,
43,30,상위 70%,,,60,70,"cash;1000,valor;2",201830,
44,31,상위 80%,,,70,80,"cash;800,valor;1",201830,
45,32,상위 90%,,,80,90,"cash;700,valor;1",201830,
46,33,상위 100%,,,90,100,"cash;600,valor;1",201830,
