stage,lv,boss_hp,clear_reward,rank_up_value,clear_bonus
1500001,1,11426300,gold;150000,2000000,700011;3
1500002,2,17139400,gold;150000,2000000,700011;3
1500003,3,22852500,gold;150000,2000000,700011;3
1500004,4,28565600,gold;150000,2000000,700011;3
1500005,5,34278800,gold;150000,2000000,700011;3
1500006,6,39991900,gold;150000,2000000,700011;3
1500007,7,45705000,gold;150000,2000000,700011;3
1500008,8,51418100,gold;150000,2000000,700011;3
1500009,9,57131300,gold;150000,2000000,700011;3
1500010,10,62844400,gold;150000,2000000,700011;3
1500011,11,68557500,gold;150000,2000000,700011;3
1500012,12,74270600,gold;150000,2000000,700011;3
1500013,13,79983800,gold;150000,2000000,700011;3
1500014,14,85696900,gold;150000,2000000,700011;3
1500015,15,91410000,gold;150000,2000000,700011;3
1500016,16,97123100,gold;150000,2000000,700011;3
1500017,17,102836300,gold;150000,2000000,700011;3
1500018,18,108549400,gold;150000,2000000,700011;3
1500019,19,114262500,gold;150000,2000000,700011;3
1500020,20,119975600,gold;150000,2000000,700011;3
1500021,21,125688800,gold;150000,2000000,700011;3
1500022,22,131401900,gold;150000,2000000,700011;3
1500023,23,137115000,gold;150000,2000000,700011;3
1500024,24,142828100,gold;150000,2000000,700011;3
1500025,25,148541300,gold;150000,2000000,700011;3
1500026,26,154254400,gold;150000,2000000,700011;3
1500027,27,159967500,gold;150000,2000000,700011;3
1500028,28,165680600,gold;150000,2000000,700011;3
1500029,29,171393800,gold;150000,2000000,700011;3
1500030,30,177106900,gold;150000,2000000,700011;3
1500031,31,182820000,gold;150000,2000000,700011;3
1500032,32,188533100,gold;150000,2000000,700011;3
1500033,33,194246300,gold;150000,2000000,700011;3
1500034,34,199959400,gold;150000,2000000,700011;3
1500035,35,205672500,gold;150000,2000000,700011;3
1500036,36,211385600,gold;150000,2000000,700011;3
1500037,37,217098800,gold;150000,2000000,700011;3
1500038,38,222811900,gold;150000,2000000,700011;3
1500039,39,228525000,gold;150000,2000000,700011;3
1500040,40,234238100,gold;150000,2000000,700011;3
1500041,41,239951300,gold;150000,2000000,700011;3
1500042,42,245664400,gold;150000,2000000,700011;3
1500043,43,251377500,gold;150000,2000000,700011;3
1500044,44,257090600,gold;150000,2000000,700011;3
1500045,45,262803800,gold;150000,2000000,700011;3
1500046,46,268516900,gold;150000,2000000,700011;3
1500047,47,274230000,gold;150000,2000000,700011;3
1500048,48,279943100,gold;150000,2000000,700011;3
1500049,49,285656300,gold;150000,2000000,700011;3
1500050,50,291369400,gold;150000,2000000,700011;3
1500051,51,297082500,gold;150000,2000000,700011;3
1500052,52,302795600,gold;150000,2000000,700011;3
1500053,53,308508800,gold;150000,2000000,700011;3
1500054,54,314221900,gold;150000,2000000,700011;3
1500055,55,319935000,gold;150000,2000000,700011;3
1500056,56,325648100,gold;150000,2000000,700011;3
1500057,57,331361300,gold;150000,2000000,700011;3
1500058,58,337074400,gold;150000,2000000,700011;3
1500059,59,342787500,gold;150000,2000000,700011;3
1500060,60,348500600,gold;150000,2000000,700011;3
1500061,61,354213800,gold;150000,2000000,700011;3
1500062,62,359926900,gold;150000,2000000,700011;3
1500063,63,365640000,gold;150000,2000000,700011;3
1500064,64,371353100,gold;150000,2000000,700011;3
1500065,65,377066300,gold;150000,2000000,700011;3
1500066,66,382779400,gold;150000,2000000,700011;3
1500067,67,388492500,gold;150000,2000000,700011;3
1500068,68,394205600,gold;150000,2000000,700011;3
1500069,69,399918800,gold;150000,2000000,700011;3
1500070,70,405631900,gold;150000,2000000,700011;3
1500071,71,411345000,gold;150000,2000000,700011;3
1500072,72,417058100,gold;150000,2000000,700011;3
1500073,73,422771300,gold;150000,2000000,700011;3
1500074,74,428484400,gold;150000,2000000,700011;3
