content_name,res,screenshot,t_desc_2,t_open_desc,t_help_desc,t_name
adventure,res/ui/icons/content/adventure_scenario.png,res/ui/icons/content/help/adventure.png,"드래곤 경험치, 룬, 드래곤 알 획득 가능",드래곤 빌리지M의 무대가 되는 유타칸 세계에서 벌어지는 {@YELLOW}이야기{@DEFAULT}를 따라가며\n테이머와 드래곤을 {@YELLOW}성장{@DEFAULT}시킬 수 있습니다.,드래곤 빌리지M의 무대가 되는 유타칸 세계에서 벌어지는 {@YELLOW}이야기{@DEFAULT}를 따라가며\n테이머와 드래곤을 {@YELLOW}성장{@DEFAULT}시킬 수 있습니다.,모험
secret_relation,res/ui/icons/content/dungeon_relation.png,res/ui/icons/content/help/secret_relationship.png,드래곤 인연 포인트 획득 가능,모험 도중 우연히 만난 드래곤의 기억속에서 {@YELLOW}인연 포인트{@DEFAULT}를 얻을 수 있습니다.\n드래곤의 인연 포인트가 쌓이면 부화소에서 함께 할 수 있는 동료로 소환 할 수 있습니다.\n테이머님의 친구가 발견한 인연 던전에도 들어갈 수 있습니다.,모험 도중 우연히 만난 드래곤의 기억속에서 {@YELLOW}인연 포인트{@DEFAULT}를 얻을 수 있습니다.\n\n드래곤의 인연 포인트가 쌓이면 부화소에서 함께 할 수 있는 동료로 소환 할 수 있습니다.\n테이머님의 친구가 발견한 인연 던전에도 들어갈 수 있습니다.,인연던전
exploration,res/ui/icons/content/adventure_exploration.png,res/ui/icons/content/help/exploration.png,"드래곤 경험치, 룬, 자수정 획득 가능","보유한 드래곤을 유타칸의 다양한 지역으로 {@YELLOW}탐험{@DEFAULT}을 보내 {@YELLOW}성장{@DEFAULT}시킬 수 있습니다.\n탐험을 보내기 위해서는 5마리의 드래곤이 필요하며, 탐험에서 발견한 룬과 자수정을 가지고 돌아옵니다.","보유한 드래곤을 유타칸의 다양한 지역으로 {@YELLOW}탐험{@DEFAULT}을 보내 {@YELLOW}성장{@DEFAULT}시킬 수 있습니다.\n\n탐험을 보내기 위해서는 5마리의 드래곤이 필요하며, 탐험에서 발견한 룬과 자수정을 가지고 돌아옵니다.",탐험
nest_tree,res/ui/icons/content/dungeon_tree.png,res/ui/icons/content/help/nest_tree.png,친밀도 열매 획득 가능,오랜 시간 유타칸 세계의 신비한 힘을 흡수해 살아 움직이게 된 {@YELLOW}거목{@DEFAULT}이 등장합니다.\n거목을 물리치면 드래곤의 친밀도를 올리는 {@YELLOW}열매{@DEFAULT}를 얻을 수 있습니다.\n요일에 따라 들어갈 수 있는 던전의 속성이 변화합니다.,오랜 시간 유타칸 세계의 신비한 힘을 흡수해 살아 움직이게 된 {@YELLOW}거목{@DEFAULT}이 등장합니다.\n\n거목을 물리치면 드래곤의 친밀도를 올리는 {@YELLOW}열매{@DEFAULT}를 얻을 수 있습니다.\n\n요일에 따라 들어갈 수 있는 던전의 속성이 변화합니다.,거목 던전
nest_evo_stone,res/ui/icons/content/dungeon_dragon.png,res/ui/icons/content/help/nest_evo_stone.png,진화 재료 획득 가능,거대용들을 물리치면 {@YELLOW}드래곤을 진화{@DEFAULT}시킬 수 있는 {@YELLOW}보석과 정기{@DEFAULT}를 얻을 수 있습니다.\n진화한 드래곤은 모습이 변화하며 새로운 스킬을 얻어 더욱 강해집니다.\n요일에 따라 들어갈 수 있는 던전의 속성이 변화합니다.,태초의 드래곤의 힘이 담긴 진화의 보석과 자연의 정기를 지키고 있는 거대용들의 서식지입니다.\n\n거대용들을 물리치면 {@YELLOW}드래곤을 진화{@DEFAULT}시킬 수 있는 {@YELLOW}보석과 정기{@DEFAULT}를 얻을 수 있습니다.\n진화한 드래곤은 모습이 변화하며 새로운 스킬을 얻어 더욱 강해집니다.\n\n요일에 따라 들어갈 수 있는 던전의 속성이 변화합니다.,거대용 던전
ancient,res/ui/icons/content/ancient_tower.png,res/ui/icons/content/help/ancient.png,"고대 주화, 전설 스킬 슬라임 획득 가능","먼 옛날부터 테이머들이 자신을 시험하기 위해 올라갔다고 하는 전설의 탑입니다.\n매 층 클리어 시 다양한 보상을 얻을 수 있으며, {@YELLOW}층별 점수에 따라 순위가 결정{@DEFAULT}됩니다.\n고대의 탑은 2주마다 시즌이 종료되며 순위에 따라 {@YELLOW}고대주화{@DEFAULT}를 얻을 수 있습니다.","먼 옛날부터 테이머들이 자신을 시험하기 위해 올라갔다고 하는 전설의 탑입니다.\n\n더 높은 층으로 올라갈 수록 더욱 강력한 드래곤들을 물리쳐야만 합니다.\n매 층 클리어 시 다양한 보상을 얻을 수 있으며, {@YELLOW}층별 점수에 따라 순위가 결정{@DEFAULT}됩니다.\n\n고대의 탑은 2주마다 시즌이 종료되며 순위에 따라 {@YELLOW}고대주화{@DEFAULT}를 얻을 수 있습니다.",고대의 탑
shop_random,res/ui/icons/content/shop_random.png,res/ui/icons/content/help/random_shop.png,드래곤 인연 포인트 구매 가능 ,마녀 나르비는 자신의 연구에 필요한 고대 주화를 수집하기 위해 상점을 열었습니다.\n고대의 탑에서 얻은 고대 주화를 {@YELLOW}드래곤 인연 포인트{@DEFAULT}와 다양한 아이템으로 교환할 수 있습니다.\n나르비의 변덕으로 상품이 주기적으로 바뀌는 특징이 있습니다.,마녀 나르비는 자신의 연구에 필요한 고대 주화를 수집하기 위해 상점을 열었습니다.\n고대의 탑에서 얻은 고대 주화를 {@YELLOW}드래곤 인연 포인트{@DEFAULT}와 다양한 아이템으로 교환할 수 있습니다.\n\n나르비의 변덕으로 상품이 주기적으로 바뀌는 특징이 있습니다.,마녀의 상점
colosseum,res/ui/icons/content/arena.png,res/ui/icons/content/help/colosseum.png,"명예, 용맹훈장 획득 가능",콜로세움은 다른 테이머들과 강함을 겨룰 수 있는 경쟁의 무대입니다.\n전투에 참가한 테이머는 {@YELLOW}명예{@DEFAULT}를 획득할 수 있으며 승패에 따라 순위가 변동됩니다.\n매주 주말마다 시즌이 종료되며 순위에 따라 {@YELLOW}용맹 훈장{@DEFAULT}과 다이아를 얻을 수 있습니다.,콜로세움은 다른 테이머들과 강함을 겨룰 수 있는 경쟁의 무대입니다.\n\n전투에 참가한 테이머는 {@YELLOW}명예{@DEFAULT}를 획득할 수 있으며 승패에 따라 순위가 변동됩니다.\n매주 주말마다 시즌이 종료되며 순위에 따라 {@YELLOW}용맹 훈장{@DEFAULT}과 다이아를 얻을 수 있습니다.\n\n콜로세움에서 획득한 명예와 용맹 훈장은 상점에서 특별한 상품들과 교환 할 수 있습니다.,콜로세움
capsule,res/ui/icons/content/capsule.png,res/ui/icons/content/help/capsule.png,전설 드래곤 및 다양한 상품 뽑기 가능,오래된 유적에서 발견된 신기한 캡슐을 뽑을 수 있는 곳입니다.\n캡슐을 뽑기위해서는 유타칸의 장인들이 가공한 {@YELLOW}캡슐 코인{@DEFAULT}이 필요합니다.\n캡슐중에는 {@YELLOW}전설 드래곤{@DEFAULT}과 같이 희귀한 상품이 들어있는 것도 있어 테이머들에게 늘 인기입니다.,오래된 유적에서 발견된 신기한 캡슐을 뽑을 수 있는 곳입니다.\n\n캡슐을 뽑기위해서는 유타칸의 장인들이 가공한 {@YELLOW}캡슐 코인{@DEFAULT}이 필요합니다.\n캡슐중에는 {@YELLOW}전설 드래곤{@DEFAULT}과 같이 희귀한 상품이 들어있는 것도 있어 테이머들에게 늘 인기입니다.,캡슐 뽑기
nest_nightmare,res/ui/icons/content/dungeon_nightmare.png,res/ui/icons/content/help/nest_nightmare.png,일반 룬 획득 가능,수많은 테이머와 드래곤을 괴롭힌 악몽의 화신이 살고있는 던전입니다.\n그들의 처절했던 전투의 흔적과 함께 룬들이 곳곳에 떨어져 있어 테이머를 유혹합니다.\n악몽의 화신을 물리치면 룬을 얻을 수 있고 {@YELLOW}높은 단계로 갈수록 등급이 더 높은 룬{@DEFAULT}을 얻을 수 있습니다.,수많은 테이머와 드래곤을 괴롭힌 악몽의 화신이 살고있는 던전입니다.\n그들의 처절했던 전투의 흔적과 함께 룬들이 곳곳에 떨어져 있어 테이머를 유혹합니다.\n\n악몽의 화신을 물리치면 룬을 얻을 수 있고 {@YELLOW}높은 단계로 갈수록 등급이 더 높은 룬{@DEFAULT}을 얻을 수 있습니다.,악몽 던전
