stage,r_value,atk_multi,def_multi,hp_multi,drag_cool_add,atk_multi_debuff,def_multi_debuff,hp_multi_debuff,drag_cool_add_debuff
3100101,,30,30,30,30,-70,-70,-70,-70
3100102,,30,30,30,30,-70,-70,-70,-70
3100103,,30,30,30,30,-70,-70,-70,-70
3100104,,30,30,30,30,-70,-70,-70,-70
3100105,,30,30,30,30,-70,-70,-70,-70
3100201,,30,30,30,30,-70,-70,-70,-70
3100202,,30,30,30,30,-70,-70,-70,-70
3100203,,30,30,30,30,-70,-70,-70,-70
3100204,,30,30,30,30,-70,-70,-70,-70
3100205,,30,30,30,30,-70,-70,-70,-70
