stage_id,dm_id,t_name,type,grade,level,reset_reward,reset_unlock,item,start_date,end_date,condition_stage_id
3011001,3010000,광신도,1,0,1,0,1,700901;10,20210315,29211231,
3011002,3010000,지옥불 천사,1,0,2,0,1,700901;10,20210315,29211231,3011001
3011003,3010000,요정 자매,1,0,3,0,1,700901;10,20210315,29211231,3011002
3011004,3010000,타락한 기사룡,1,0,4,0,1,700901;10,20210315,29211231,3011003
3011005,3010000,부서진 세상의 왕,1,0,5,0,1,760742;5,20210315,29211231,3011004
3012101,3010000,광신도,2,1,1,1,1,700901;10,20210330,29211231,3011005
3012102,3010000,지옥불 천사,2,1,2,1,0,700901;10,20210330,29211231,3012101
3012103,3010000,요정 자매,2,1,3,1,0,700901;10,20210330,29211231,3012102
3012104,3010000,타락한 기사룡,2,1,4,1,0,700901;10,20210330,29211231,3012103
3012105,3010000,부서진 세상의 왕,2,1,5,1,0,760742;5,20210330,29211231,3012104
3012201,3010000,광신도,2,2,1,1,1,700901;10,20210315,29211231,3012105
3012202,3010000,지옥불 천사,2,2,2,1,0,700901;10,20210315,29211231,3012201
3012203,3010000,요정 자매,2,2,3,1,0,700901;10,20210315,29211231,3012202
3012204,3010000,타락한 기사룡,2,2,4,1,0,700901;10,20210315,29211231,3012203
3012205,3010000,부서진 세상의 왕,2,2,5,1,0,760742;5,20210315,29211231,3012204
3012301,3010000,광신도,2,3,1,1,1,700901;10,20210315,29211231,3012205
3012302,3010000,지옥불 천사,2,3,2,1,0,700901;10,20210315,29211231,3012301
3012303,3010000,요정 자매,2,3,3,1,0,700901;10,20210315,29211231,3012302
3012304,3010000,타락한 기사룡,2,3,4,1,0,700901;10,20210315,29211231,3012303
3012305,3010000,부서진 세상의 왕,2,3,5,1,0,760742;5,20210315,29211231,3012304
