did,t_name,c_name,type,c_appearance,res,test,underling,scale,icon,mg_weight,fp_weight,pick_weight,c_coupon,rarity,birthgrade,role,attr,skill_basic,skill_active,skill_1,skill_2,skill_3,skill_3_type,skill_leader,skill_leader_type,atk_max,def_max,hp_max,aspd,cri_chance,cri_dmg,cri_avoid,hit_rate,avoid,relation_point,t_desc
120011,파워드래곤,땅 파워드래곤,powerdragon,1,res/character/dragon/powerdragon_@_#/powerdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/powerdragon_@_#.png,10,0,10,0,legend,5,tanker,earth,200006,200111,200121,200131,200141,new,200151,hatch,1300,3120,9750,15,5,50,10,0,10,160,드래곤 중 가장 센 힘을 가진 드래곤. 앞발이 엄청 발달해 있다. 성격은 온순한 편. 태어나면서부터 엄청난 힘을 가지고 태어난다.
120012,파워드래곤,물 파워드래곤,powerdragon,1,res/character/dragon/powerdragon_@_#/powerdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/powerdragon_@_#.png,10,0,10,0,legend,5,tanker,water,200000,200112,200122,200132,200142,new,200152,hatch,1300,2600,11700,15,5,50,10,0,10,160,드래곤 중 가장 센 힘을 가진 드래곤. 앞발이 엄청 발달해 있다. 성격은 온순한 편. 태어나면서부터 엄청난 힘을 가지고 태어난다.
120014,파워드래곤,빛 파워드래곤,powerdragon,1,res/character/dragon/powerdragon_@_#/powerdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/powerdragon_@_#.png,10,0,10,0,legend,5,tanker,light,200006,200114,200124,200134,200144,new,200154,hatch,1300,2600,9750,15,5,50,20,0,20,160,드래곤 중 가장 센 힘을 가진 드래곤. 앞발이 엄청 발달해 있다. 성격은 온순한 편. 태어나면서부터 엄청난 힘을 가지고 태어난다.
120015,파워드래곤,어둠 파워드래곤,powerdragon,1,res/character/dragon/powerdragon_@_#/powerdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/powerdragon_@_#.png,10,0,10,0,legend,5,tanker,dark,200000,200115,200125,200135,200145,new,200155,hatch,1300,2600,9750,30,20,50,10,0,10,160,드래곤 중 가장 센 힘을 가진 드래곤. 앞발이 엄청 발달해 있다. 성격은 온순한 편. 태어나면서부터 엄청난 힘을 가지고 태어난다.
120021,램곤,땅 램곤,lambgon,2,res/character/dragon/lambgon_@_#/lambgon_@_#.spine,1,0,0.8,res/ui/icon/cha/lambgon_@_#.png,10,10,10,0,rare,3,supporter,earth,200000,200211,200221,200231,200241,new,,,900,1080,4500,25,8,65,5,5,10,40,"램곤의 포근한 털은 적과 아군 할 것 없이 잠에 빠지게 한다. 소문에는 선한 자에게는 길몽을, 악한 자에게는 악몽을 선사한다는데......."
120022,램곤,물 램곤,lambgon,2,res/character/dragon/lambgon_@_#/lambgon_@_#.spine,1,0,0.8,res/ui/icon/cha/lambgon_@_#.png,10,10,10,0,rare,3,supporter,water,200000,200212,200222,200232,200242,new,,,900,900,5400,25,8,65,5,5,10,40,"램곤의 포근한 털은 적과 아군 할 것 없이 잠에 빠지게 한다. 소문에는 선한 자에게는 길몽을, 악한 자에게는 악몽을 선사한다는데......."
120023,램곤,불 램곤,lambgon,2,res/character/dragon/lambgon_@_#/lambgon_@_#.spine,1,0,0.8,res/ui/icon/cha/lambgon_@_#.png,10,10,10,0,rare,3,supporter,fire,200000,200213,200223,200233,200243,new,,,1080,900,4500,25,8,65,5,5,10,40,"램곤의 포근한 털은 적과 아군 할 것 없이 잠에 빠지게 한다. 소문에는 선한 자에게는 길몽을, 악한 자에게는 악몽을 선사한다는데......."
120024,램곤,빛 램곤,lambgon,2,res/character/dragon/lambgon_@_#/lambgon_@_#.spine,1,0,0.8,res/ui/icon/cha/lambgon_@_#.png,10,10,10,0,rare,3,supporter,light,200000,200214,200224,200234,200244,new,,,900,900,4500,25,8,65,15,5,20,40,"램곤의 포근한 털은 적과 아군 할 것 없이 잠에 빠지게 한다. 소문에는 선한 자에게는 길몽을, 악한 자에게는 악몽을 선사한다는데......."
120025,램곤,어둠 램곤,lambgon,2,res/character/dragon/lambgon_@_#/lambgon_@_#.spine,1,0,0.8,res/ui/icon/cha/lambgon_@_#.png,10,10,10,0,rare,3,supporter,dark,200000,200215,200225,200235,200245,new,,,900,900,4500,40,23,65,5,5,10,40,"램곤의 포근한 털은 적과 아군 할 것 없이 잠에 빠지게 한다. 소문에는 선한 자에게는 길몽을, 악한 자에게는 악몽을 선사한다는데......."
120051,애플칙,땅 애플칙,applecheek,2,res/character/dragon/applecheek_@_#/applecheek_@_#.spine,1,0,0.8,res/ui/icon/cha/applecheek_@_#.png,0,10,10,0,common,2,dealer,earth,200001,200511,200521,200531,200541,new,,,1500,600,5000,20,10,75,5,0,5,20,깊은 숲에서만 모습을 보이는 요정 드래곤. 재빠르고 머리가 좋아 많은 사람들을 골탕 먹이지만 상당히 겁이 많아 자주 모습을 보이진 않는다.
120052,애플칙,물 애플칙,applecheek,2,res/character/dragon/applecheek_@_#/applecheek_@_#.spine,1,0,0.8,res/ui/icon/cha/applecheek_@_#.png,0,10,10,0,common,2,dealer,water,200001,200512,200522,200532,200542,new,,,1500,500,6000,20,10,75,5,0,5,20,깊은 숲에서만 모습을 보이는 요정 드래곤. 재빠르고 머리가 좋아 많은 사람들을 골탕 먹이지만 상당히 겁이 많아 자주 모습을 보이진 않는다.
120053,애플칙,불 애플칙,applecheek,2,res/character/dragon/applecheek_@_#/applecheek_@_#.spine,1,0,0.8,res/ui/icon/cha/applecheek_@_#.png,0,10,10,0,common,2,dealer,fire,200001,200513,200523,200533,200543,new,,,1800,500,5000,20,10,75,5,0,5,20,깊은 숲에서만 모습을 보이는 요정 드래곤. 재빠르고 머리가 좋아 많은 사람들을 골탕 먹이지만 상당히 겁이 많아 자주 모습을 보이진 않는다.
120054,애플칙,빛 애플칙,applecheek,2,res/character/dragon/applecheek_@_#/applecheek_@_#.spine,1,0,0.8,res/ui/icon/cha/applecheek_@_#.png,0,10,10,0,common,2,dealer,light,200001,200514,200524,200534,200544,new,,,1500,500,5000,20,10,75,15,0,15,20,깊은 숲에서만 모습을 보이는 요정 드래곤. 재빠르고 머리가 좋아 많은 사람들을 골탕 먹이지만 상당히 겁이 많아 자주 모습을 보이진 않는다.
120055,애플칙,어둠 애플칙,applecheek,2,res/character/dragon/applecheek_@_#/applecheek_@_#.spine,1,0,0.8,res/ui/icon/cha/applecheek_@_#.png,0,10,10,0,common,2,dealer,dark,200001,200515,200525,200535,200545,new,,,1500,500,5000,35,25,75,5,0,5,20,깊은 숲에서만 모습을 보이는 요정 드래곤. 재빠르고 머리가 좋아 많은 사람들을 골탕 먹이지만 상당히 겁이 많아 자주 모습을 보이진 않는다.
120071,스파인,땅 스파인,spine,1,res/character/dragon/spine_@_#/spine_@_#.spine,1,0,0.8,res/ui/icon/cha/spine_@_#.png,10,10,10,0,rare,3,dealer,earth,200000,200711,200721,200731,200741,new,,,1350,540,4500,20,10,75,5,0,5,40,"뾰족한 가시를 두르고 있고 호기심이 많지만, 가시 때문에 홀로 다니는 경우가 많다. 가시 안에는 맹독이 들어 있어, 한번 찔리면 치료가 불가능하다."
120072,스파인,물 스파인,spine,1,res/character/dragon/spine_@_#/spine_@_#.spine,1,0,0.8,res/ui/icon/cha/spine_@_#.png,10,10,10,0,rare,3,dealer,water,200000,200712,200722,200732,200742,new,,,1350,450,5400,20,10,75,5,0,5,40,"뾰족한 가시를 두르고 있고 호기심이 많지만, 가시 때문에 홀로 다니는 경우가 많다. 가시 안에는 맹독이 들어 있어, 한번 찔리면 치료가 불가능하다."
120073,스파인,불 스파인,spine,1,res/character/dragon/spine_@_#/spine_@_#.spine,1,0,0.8,res/ui/icon/cha/spine_@_#.png,10,10,10,0,rare,3,dealer,fire,200000,200713,200723,200733,200743,new,,,1620,450,4500,20,10,75,5,0,5,40,"뾰족한 가시를 두르고 있고 호기심이 많지만, 가시 때문에 홀로 다니는 경우가 많다. 가시 안에는 맹독이 들어 있어, 한번 찔리면 치료가 불가능하다."
120074,스파인,빛 스파인,spine,1,res/character/dragon/spine_@_#/spine_@_#.spine,1,0,0.8,res/ui/icon/cha/spine_@_#.png,10,10,10,0,rare,3,dealer,light,200000,200714,200724,200734,200744,new,,,1350,450,4500,20,10,75,15,0,15,40,"뾰족한 가시를 두르고 있고 호기심이 많지만, 가시 때문에 홀로 다니는 경우가 많다. 가시 안에는 맹독이 들어 있어, 한번 찔리면 치료가 불가능하다."
120075,스파인,어둠 스파인,spine,1,res/character/dragon/spine_@_#/spine_@_#.spine,1,0,0.8,res/ui/icon/cha/spine_@_#.png,10,10,10,0,rare,3,dealer,dark,200000,200715,200725,200735,200745,new,,,1350,450,4500,35,25,75,5,0,5,40,"뾰족한 가시를 두르고 있고 호기심이 많지만, 가시 때문에 홀로 다니는 경우가 많다. 가시 안에는 맹독이 들어 있어, 한번 찔리면 치료가 불가능하다."
120081,리프드래곤,땅 리프드래곤,leafdragon,2,res/character/dragon/leafdragon_@_#/leafdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/leafdragon_@_#.png,0,10,10,0,rare,3,dealer,earth,200000,200811,200821,200831,200841,new,,,1500,600,5000,20,10,75,5,0,5,40,넓은 나뭇잎을 감싸고 있는 듯한 이 드래곤은 새끼 때는 자신의 피부조직인 나뭇잎을 감싸고 다닌다. 하지만 커가면서 거대한 날개로 변한다. 날카롭고 정교하게 공격을 한다.
120082,리프드래곤,물 리프드래곤,leafdragon,2,res/character/dragon/leafdragon_@_#/leafdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/leafdragon_@_#.png,0,10,10,0,rare,3,dealer,water,200000,200812,200822,200832,200842,new,,,1500,500,6000,20,10,75,5,0,5,40,넓은 나뭇잎을 감싸고 있는 듯한 이 드래곤은 새끼 때는 자신의 피부조직인 나뭇잎을 감싸고 다닌다. 하지만 커가면서 거대한 날개로 변한다. 날카롭고 정교하게 공격을 한다.
120083,리프드래곤,불 리프드래곤,leafdragon,2,res/character/dragon/leafdragon_@_#/leafdragon_@_#.spine,1,0,0.8,res/ui/icon/cha/leafdragon_@_#.png,0,10,10,0,rare,3,dealer,fire,200000,200813,200823,200833,200843,new,,,1800,500,5000,20,10,75,5,0,5,40,넓은 나뭇잎을 감싸고 있는 듯한 이 드래곤은 새끼 때는 자신의 피부조직인 나뭇잎을 감싸고 다닌다. 하지만 커가면서 거대한 날개로 변한다. 날카롭고 정교하게 공격을 한다.
