did,r_dragon_name,r_role,r_skill_name,r_camerawork,r_indi,r_sk_size,condition_1,add_option_1,condition_2,add_option_2,res,t_desc1,t_desc2
120011,파워드래곤,tanker,파워 펀치,close_up,round,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120012,아쿠아 파워드래곤,tanker,파워 펀치,close_up,round,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120014,루스 파워드래곤,tanker,파워 펀치,close_up,round,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120015,녹티스 파워드래곤,tanker,파워 펀치,close_up,round,2,4,def_up;self;1;10;100;15,6,def_up;self;1;15;100;25,,방어력15%증가,방어력20%증가
120021,램곤,supporter,달콤한 꿈,close_up,round,1,2,feedback_supporter;self;1;1;100;10,4,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120022,아쿠아 램곤,supporter,달콤한 꿈,close_up,round,1,2,feedback_supporter;self;1;1;100;10,4,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120023,이그니 램곤,supporter,달콤한 꿈,close_up,round,1,2,feedback_supporter;self;1;1;100;10,4,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120051,애플칙,dealer,사과 투척,close_up,round,1,2,atk_up;self;1;10;100;15,4,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120052,라임칙,dealer,라임 투척,close_up,round,1,2,atk_up;self;1;10;100;15,4,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120071,스파인,dealer,가시의 별,tracking,target_round,3,5,atk_up;self;1;10;100;15,9,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120072,아쿠아 스파인,dealer,가시의 별,tracking,target_round,3,5,atk_up;self;1;10;100;15,9,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120074,루스 스파인,dealer,가시의 별,tracking,target_round,3,5,atk_up;self;1;10;100;15,9,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120075,녹티 스파인,dealer,가시의 별,tracking,target_round,3,5,atk_up;self;1;10;100;15,9,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120081,리프드래곤,supporter,리프 블레이드 [열],close_up,curve_twin,2,4,feedback_supporter;self;1;1;100;10,8,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120082,아쿠아 리프드래곤,supporter,리프 블레이드 [독],close_up,curve_twin,2,4,feedback_supporter;self;1;1;100;10,8,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120083,이그니 리프드래곤,supporter,리프 블레이드 [화],close_up,curve_twin,2,4,feedback_supporter;self;1;1;100;10,8,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
120091,테라 테일드래곤,dealer,어스 테일,full,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120092,테일드래곤,dealer,아쿠아 테일,full,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120093,이그니 테일드래곤,dealer,플레어 테일,full,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120094,루스 테일드래곤,dealer,라이트 테일,full,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120095,녹티스 테일드래곤,dealer,다크니스 테일,full,round,2,4,atk_up;self;1;10;100;15,6,atk_up;self;1;15;100;20,,공격력15%증가,방어력20%증가
120111,테라 페어리드래곤,supporter,요정의 가루,full,square_height,1,3,feedback_supporter;self;1;1;100;10,6,feedback_supporter;self;1;1;100;20,,스킬게이지10%추가,스킬게이지20%추가
