did,t_name,rarity,role,attr,hatchling_item1,hatchling_value1,hatchling_item2,hatchling_value2,hatchling_item3,hatchling_value3,hatchling_gold,adult_item1,adult_value1,adult_item2,adult_value2,adult_item3,adult_value3,adult_gold
120011,파워 드래곤,legend,tanker,earth,701040,15,701111,30,701210,10,100000,701040,30,701111,60,701210,20,300000
120012,워터파워 드래곤,legend,tanker,water,701040,15,701112,30,701210,10,100000,701040,30,701112,60,701210,20,300000
120014,슈퍼파워 드래곤,legend,tanker,light,701040,15,701114,30,701210,10,100000,701040,30,701114,60,701210,20,300000
120015,메가파워 드래곤,legend,tanker,dark,701040,15,701115,30,701210,10,100000,701040,30,701115,60,701210,20,300000
120021,램곤,rare,supporter,earth,701020,7,701111,15,701230,10,50000,701020,14,701111,30,701230,20,150000
120022,물램곤,rare,supporter,water,701020,7,701112,15,701240,10,50000,701020,14,701112,30,701240,20,150000
120023,불램곤,rare,supporter,fire,701020,7,701113,15,701240,10,50000,701020,14,701113,30,701240,20,150000
120051,애플칙,rare,dealer,earth,701020,7,701111,15,701220,10,50000,701020,14,701111,30,701220,20,150000
120052,라임칙,rare,dealer,water,701020,7,701112,15,701220,10,50000,701020,14,701112,30,701220,20,150000
120071,땅스파인,rare,dealer,earth,701020,7,701111,15,701220,10,50000,701020,14,701111,30,701220,20,150000
120072,물스파인,rare,dealer,water,701020,7,701112,15,701220,10,50000,701020,14,701112,30,701220,20,150000
120074,빛스파인,rare,dealer,light,701020,7,701114,15,701220,10,50000,701020,14,701114,30,701220,20,150000
120075,어둠스파인,rare,dealer,dark,701020,7,701115,15,701220,10,50000,701020,14,701115,30,701220,20,150000
120081,땅리프드래곤,common,supporter,earth,701010,5,701111,10,701230,10,15000,701010,10,701111,20,701230,20,45000
120082,물리프드래곤,common,supporter,water,701010,5,701112,10,701240,10,15000,701010,10,701112,20,701240,20,45000
120083,불리프드래곤,common,supporter,fire,701010,5,701113,10,701230,10,15000,701010,10,701113,20,701230,20,45000
120091,땅테일 드래곤,common,dealer,earth,701010,5,701111,10,701220,10,15000,701010,10,701111,20,701220,20,45000
120092,물테일 드래곤,common,dealer,water,701010,5,701112,10,701220,10,15000,701010,10,701112,20,701220,20,45000
120093,불테일 드래곤,common,dealer,fire,701010,5,701113,10,701220,10,15000,701010,10,701113,20,701220,20,45000
120094,빛테일 드래곤,common,dealer,light,701010,5,701114,10,701220,10,15000,701010,10,701114,20,701220,20,45000
120095,어둠테일 드래곤,common,dealer,dark,701010,5,701115,10,701220,10,15000,701010,10,701115,20,701220,20,45000
120141,땅퍼플립스 드래곤,common,supporter,earth,701010,5,701111,10,701230,10,15000,701010,10,701111,20,701230,20,45000
120142,물퍼플립스 드래곤,common,supporter,water,701010,5,701112,10,701240,10,15000,701010,10,701112,20,701240,20,45000
120143,불퍼플립스 드래곤,common,supporter,fire,701010,5,701113,10,701230,10,15000,701010,10,701113,20,701230,20,45000
120144,빛퍼플립스 드래곤,common,supporter,light,701010,5,701114,10,701240,10,15000,701010,10,701114,20,701240,20,45000
120145,어둠퍼플립스 드래곤,common,supporter,dark,701010,5,701115,10,701230,10,15000,701010,10,701115,20,701230,20,45000
120161,땅핑크벨,rare,supporter,earth,701020,7,701111,15,701230,10,50000,701020,14,701111,30,701230,20,150000
120162,물핑크벨,rare,supporter,water,701020,7,701112,15,701240,10,50000,701020,14,701112,30,701240,20,150000
120164,빛핑크벨,rare,supporter,light,701020,7,701114,15,701240,10,50000,701020,14,701114,30,701240,20,150000
120165,어둠핑크벨,rare,supporter,dark,701020,7,701115,15,701230,10,50000,701020,14,701115,30,701230,20,150000
120181,땅청룡,common,dealer,earth,701010,5,701111,10,701220,10,15000,701010,10,701111,20,701220,20,45000
120183,불청룡,common,dealer,fire,701010,5,701113,10,701220,10,15000,701010,10,701113,20,701220,20,45000
120184,빛청룡,common,dealer,light,701010,5,701114,10,701220,10,15000,701010,10,701114,20,701220,20,45000
120185,어둠청룡,common,dealer,dark,701010,5,701115,10,701220,10,15000,701010,10,701115,20,701220,20,45000
120191,땅리티오,rare,supporter,earth,701020,7,701111,15,701230,10,50000,701020,14,701111,30,701230,20,150000
120192,물리티오,rare,supporter,water,701020,7,701112,15,701240,10,50000,701020,14,701112,30,701240,20,150000
120193,불리티오,rare,supporter,fire,701020,7,701113,15,701240,10,50000,701020,14,701113,30,701240,20,150000
120194,빛리티오,rare,supporter,light,701020,7,701114,15,701240,10,50000,701020,14,701114,30,701240,20,150000
120195,어둠리티오,rare,supporter,dark,701020,7,701115,15,701230,10,50000,701020,14,701115,30,701230,20,150000
120201,땅허리케인,hero,supporter,earth,701030,10,701111,22,701230,10,30000,701030,20,701111,44,701230,20,90000
120202,물허리케인,hero,supporter,water,701030,10,701112,22,701240,10,30000,701030,20,701112,44,701240,20,90000
120203,불허리케인,hero,supporter,fire,701030,10,701113,22,701240,10,30000,701030,20,701113,44,701240,20,90000
120204,빛허리케인,hero,supporter,light,701030,10,701114,22,701240,10,30000,701030,20,701114,44,701240,20,90000
120213,불가루다,hero,tanker,fire,701030,10,701113,22,701210,10,30000,701030,20,701113,44,701210,20,90000
120215,어둠가루다,hero,tanker,dark,701030,10,701115,22,701210,10,30000,701030,20,701115,44,701210,20,90000
120271,땅붐버,common,tanker,earth,701010,5,701111,10,701210,10,15000,701010,10,701111,20,701210,20,45000
120272,물붐버,common,tanker,water,701010,5,701112,10,701210,10,15000,701010,10,701112,20,701210,20,45000
120273,불붐버,common,tanker,fire,701010,5,701113,10,701210,10,15000,701010,10,701113,20,701210,20,45000
120274,빛붐버,common,tanker,light,701010,5,701114,10,701210,10,15000,701010,10,701114,20,701210,20,45000
120294,빛고대 신룡,legend,dealer,light,701040,15,701114,30,701220,10,100000,701040,30,701114,60,701220,20,300000
120295,어둠고대 신룡,legend,dealer,dark,701040,15,701115,30,701220,10,100000,701040,30,701115,60,701220,20,300000
120322,물크레센트 드래곤,rare,supporter,water,701020,7,701112,15,701240,10,50000,701020,14,701112,30,701240,20,150000
120324,빛크레센트 드래곤,rare,supporter,light,701020,7,701114,15,701240,10,50000,701020,14,701114,30,701240,20,150000
120325,어둠크레센트 드래곤,rare,supporter,dark,701020,7,701115,15,701230,10,50000,701020,14,701115,30,701230,20,150000
120331,땅서펀트 드래곤,common,dealer,earth,701010,5,701111,10,701220,10,15000,701010,10,701111,20,701220,20,45000
120332,물서펀트 드래곤,common,dealer,water,701010,5,701112,10,701220,10,15000,701010,10,701112,20,701220,20,45000
120333,불서펀트 드래곤,common,dealer,fire,701010,5,701113,10,701220,10,15000,701010,10,701113,20,701220,20,45000
