item_id,t_name,t_desc,desc_category,price
701010,운석 잔해,일반 등급 드래곤의 진화 재료,rarity,1000
701020,세계수의 씨앗,희귀 등급 드래곤의 진화 재료,rarity,2000
701030,영롱한 바위,영웅 등급 드래곤의 진화 재료,rarity,5000
701040,수정 용상,전설 등급 드래곤의 진화 재료,rarity,10000
701111,땅의 정수,땅속성 드래곤 진화 재료,attr,1500
701112,물의 정수,물속성 드래곤 진화 재료,attr,1500
701113,불의 정수,불속성 드래곤 진화 재료,attr,1500
701114,빛의 정수,빛속성 드래곤 진화 재료,attr,1500
701115,어둠의 정수,어둠속성 드래곤 진화 재료,attr,1500
701210,응축 원기,방어형 드래곤의 진화 재료,role,1000
701220,힘의 근원,공격형 드래곤의 진화 재료,role,1000
701230,수정 사과,보조형 드래곤의 진화 재료,role,1000
701240,고대 양모,회복형 드래곤의 진화 재료,role,1000
