eid,grade,lv,max_exp,giving_exp,req_gold_per_mtrl,sell_gold
101,1,1,100,1110,500,100
102,1,2,200,1220,500,110
103,1,3,300,1330,500,120
104,1,4,400,1440,500,130
105,1,5,500,1550,500,140
106,1,6,600,1660,500,150
107,1,7,700,1770,500,160
108,1,8,800,1880,500,170
109,1,9,900,1990,500,180
110,1,10,1000,2100,500,190
201,2,1,400,1440,1500,200
202,2,2,600,1660,1500,210
203,2,3,800,1880,1500,220
204,2,4,1000,2100,1500,230
205,2,5,1200,2320,1500,240
206,2,6,1400,2540,1500,250
207,2,7,1600,2760,1500,260
208,2,8,1800,2980,1500,270
209,2,9,2000,3200,1500,280
210,2,10,2200,3420,1500,290
211,2,11,2400,3640,1500,300
212,2,12,2600,3860,1500,310
213,2,13,2800,4080,1500,320
214,2,14,3000,4300,1500,330
215,2,15,3200,4520,1500,340
216,2,16,3400,4740,1500,350
217,2,17,3600,4960,1500,360
218,2,18,3800,5180,1500,370
219,2,19,4000,5400,1500,380
220,2,20,4200,5620,1500,390
301,3,1,900,1990,4000,400
302,3,2,1170,2287,4000,410
303,3,3,1440,2584,4000,420
304,3,4,1710,2881,4000,430
305,3,5,1980,3178,4000,440
306,3,6,2250,3475,4000,450
307,3,7,2520,3772,4000,460
308,3,8,2790,4069,4000,470
309,3,9,3060,4366,4000,480
310,3,10,3330,4663,4000,490
311,3,11,3600,4960,4000,500
312,3,12,3870,5257,4000,510
313,3,13,4140,5554,4000,520
314,3,14,4410,5851,4000,530
315,3,15,4680,6148,4000,540
316,3,16,4950,6445,4000,550
317,3,17,5220,6742,4000,560
318,3,18,5490,7039,4000,570
319,3,19,5760,7336,4000,580
320,3,20,6030,7633,4000,590
321,3,21,6300,7930,4000,600
322,3,22,6570,8227,4000,610
323,3,23,6840,8524,4000,620
324,3,24,7110,8821,4000,630
325,3,25,7380,9118,4000,640
326,3,26,7650,9415,4000,650
327,3,27,7920,9712,4000,660
328,3,28,8190,10009,4000,670
329,3,29,8460,10306,4000,680
330,3,30,8730,10603,4000,690
401,4,1,1600,2760,7500,700
402,4,2,1940,3134,7500,710
403,4,3,2270,3497,7500,720
404,4,4,2607,3868,7500,730
405,4,5,2942,4236,7500,740
406,4,6,3277,4605,7500,750
407,4,7,3612,4973,7500,760
408,4,8,3947,5342,7500,770
409,4,9,4282,5710,7500,780
410,4,10,4617,6079,7500,790
411,4,11,4952,6447,7500,800
412,4,12,5287,6816,7500,810
413,4,13,5622,7184,7500,820
414,4,14,5957,7553,7500,830
415,4,15,6292,7921,7500,840
416,4,16,6627,8290,7500,850
417,4,17,6962,8658,7500,860
418,4,18,7297,9027,7500,870
419,4,19,7632,9395,7500,880
420,4,20,7967,9764,7500,890
421,4,21,8302,10132,7500,900
422,4,22,8637,10501,7500,910
423,4,23,8972,10869,7500,920
424,4,24,9307,11238,7500,930
425,4,25,9642,11606,7500,940
426,4,26,9977,11975,7500,950
427,4,27,10312,12343,7500,960
428,4,28,10647,12712,7500,970
429,4,29,10982,13080,7500,980
430,4,30,11317,13449,7500,990
431,4,31,11652,13817,7500,1000
432,4,32,11987,14186,7500,1010
433,4,33,12322,14554,7500,1020
434,4,34,12657,14923,7500,1030
435,4,35,12992,15291,7500,1040
436,4,36,13327,15660,7500,1050
437,4,37,13662,16028,7500,1060
438,4,38,13997,16397,7500,1070
439,4,39,14332,16765,7500,1080
440,4,40,14667,17134,7500,1090
501,5,1,2500,3750,12500,1000
502,5,2,3150,4465,12500,1010
503,5,3,3800,5180,12500,1020
504,5,4,4450,5895,12500,1030
505,5,5,5100,6610,12500,1040
506,5,6,5750,7325,12500,1050
507,5,7,6400,8040,12500,1060
508,5,8,7050,8755,12500,1070
509,5,9,7700,9470,12500,1080
510,5,10,8350,10185,12500,1090
511,5,11,9000,10900,12500,1100
512,5,12,9650,11615,12500,1110
513,5,13,10300,12330,12500,1120
514,5,14,10950,13045,12500,1130
515,5,15,11600,13760,12500,1140
516,5,16,12250,14475,12500,1150
517,5,17,12900,15190,12500,1160
518,5,18,13550,15905,12500,1170
519,5,19,14200,16620,12500,1180
520,5,20,14850,17335,12500,1190
521,5,21,15500,18050,12500,1200
522,5,22,16150,18765,12500,1210
523,5,23,16800,19480,12500,1220
524,5,24,17450,20195,12500,1230
525,5,25,18100,20910,12500,1240
526,5,26,18750,21625,12500,1250
527,5,27,19400,22340,12500,1260
528,5,28,20050,23055,12500,1270
529,5,29,20700,23770,12500,1280
530,5,30,21350,24485,12500,1290
531,5,31,22000,25200,12500,1300
532,5,32,22650,25915,12500,1310
533,5,33,23300,26630,12500,1320
534,5,34,23950,27345,12500,1330
535,5,35,24600,28060,12500,1340
536,5,36,25250,28775,12500,1350
537,5,37,25900,29490,12500,1360
538,5,38,26550,30205,12500,1370
539,5,39,27200,30920,12500,1380
540,5,40,27850,31635,12500,1390
541,5,41,28500,32350,12500,1400
542,5,42,29150,33065,12500,1410
543,5,43,29800,33780,12500,1420
544,5,44,30450,34495,12500,1430
545,5,45,31100,35210,12500,1440
546,5,46,31750,35925,12500,1450
547,5,47,32400,36640,12500,1460
548,5,48,33050,37355,12500,1470
549,5,49,33700,38070,12500,1480
550,5,50,34350,38785,12500,1490
601,6,1,3600,4960,20000,1350
602,6,2,4570,6027,20000,1360
603,6,3,5540,7094,20000,1370
604,6,4,6520,8172,20000,1380
605,6,5,7490,9239,20000,1390
606,6,6,8460,10306,20000,1400
607,6,7,9430,11373,20000,1410
608,6,8,10400,12440,20000,1420
609,6,9,11380,13518,20000,1430
610,6,10,12350,14585,20000,1440
611,6,11,13320,15652,20000,1450
612,6,12,14290,16719,20000,1460
613,6,13,15260,17786,20000,1470
614,6,14,16240,18864,20000,1480
615,6,15,17210,19931,20000,1490
616,6,16,18180,20998,20000,1500
617,6,17,19150,22065,20000,1510
618,6,18,20120,23132,20000,1520
619,6,19,21100,24210,20000,1530
620,6,20,22070,25277,20000,1540
621,6,21,23040,26344,20000,1550
622,6,22,24010,27411,20000,1560
623,6,23,24980,28478,20000,1570
624,6,24,25960,29556,20000,1580
625,6,25,26930,30623,20000,1590
626,6,26,27900,31690,20000,1600
627,6,27,28870,32757,20000,1610
628,6,28,29840,33824,20000,1620
629,6,29,30820,34902,20000,1630
630,6,30,31790,35969,20000,1640
631,6,31,32760,37036,20000,1650
632,6,32,33730,38103,20000,1660
633,6,33,34700,39170,20000,1670
634,6,34,35680,40248,20000,1680
635,6,35,36650,41315,20000,1690
636,6,36,37620,42382,20000,1700
637,6,37,38590,43449,20000,1710
638,6,38,39560,44516,20000,1720
639,6,39,40540,45594,20000,1730
640,6,40,41510,46661,20000,1740
641,6,41,42480,47728,20000,1750
642,6,42,43450,48795,20000,1760
643,6,43,44420,49862,20000,1770
644,6,44,45400,50940,20000,1780
645,6,45,46370,52007,20000,1790
646,6,46,47340,53074,20000,1800
647,6,47,48310,54141,20000,1810
648,6,48,49280,55208,20000,1820
649,6,49,50260,56286,20000,1830
650,6,50,51230,57353,20000,1840
651,6,51,52200,58420,20000,1850
652,6,52,53170,59487,20000,1860
653,6,53,54140,60554,20000,1870
654,6,54,55120,61632,20000,1880
655,6,55,56090,62699,20000,1890
656,6,56,57060,63766,20000,1900
657,6,57,58030,64833,20000,1910
658,6,58,59000,65900,20000,1920
659,6,59,59980,66978,20000,1930
660,6,60,60950,68045,20000,1940
901,1,1,100,508,500,1950
902,1,2,200,564,500,1960
903,1,3,300,716,500,1970
904,1,4,400,1012,500,1980
905,1,5,500,1500,500,1990
906,1,6,600,2228,500,2000
907,1,7,700,3244,500,2010
908,1,8,800,4596,500,2020
909,1,9,900,6332,500,2030
910,1,10,1000,8500,500,2040
