did,t_name,rarity,test,rate,hatch_rate,hatcling_rate,adult_rate
120011,파워 드래곤,legend,1,2,100,0,0
120012,아쿠아 파워곤,legend,1,2,100,0,0
120014,루스 파워곤,legend,1,2,100,0,0
120015,녹티스 파워곤,legend,1,2,100,0,0
120021,램곤,rare,1,10,100,0,0
120022,아쿠아램곤,rare,1,10,100,0,0
120023,이그니램곤,rare,1,10,100,0,0
120051,애플칙,rare,1,10,100,0,0
120052,라임칙,rare,1,10,100,0,0
120071,스파인,rare,1,10,100,0,0
120072,하이드로파인,rare,1,10,100,0,0
120074,루스파인,rare,1,10,100,0,0
120075,녹티스파인,rare,1,10,100,0,0
130151,변종 에그 드래곤,common,1,30,0,0,100
120082,아쿠리프 드래곤,common,1,30,100,0,0
120083,이그리프 드래곤,common,1,30,100,0,0
120112,페어리 드래곤,rare,1,10,0,0,100
130154,루미 에그 드래곤,common,1,30,100,0,0
130155,녹티 에그 드래곤,common,1,30,100,0,0
120091,테라테일 드래곤,common,1,30,100,0,0
120122,사이커 드래곤,hero,1,5,0,0,100
120093,이그테일 드래곤,common,1,30,100,0,0
120094,루스테일 드래곤,common,1,30,100,0,0
120095,녹스테일 드래곤,common,1,30,100,0,0
120141,어스립스 드래곤,common,1,30,100,0,0
120142,퍼플립스 드래곤,common,1,30,100,0,0
120143,파이립스 드래곤,common,1,30,100,0,0
120144,루미립스 드래곤,common,1,30,100,0,0
120145,티모립스 드래곤,common,1,30,100,0,0
120111,테라페어리 드래곤,rare,1,10,100,0,0
120412,옵타티오,rare,1,10,0,0,100
120113,이그페어리 드래곤,rare,1,10,100,0,0
120114,루미페어리 드래곤,rare,1,10,100,0,0
120115,녹티페어리 드래곤,rare,1,10,100,0,0
120223,번개고룡,legend,1,2,0,0,100
120123,이그사이커 드래곤,hero,1,5,100,0,0
120124,루미사이커 드래곤,hero,1,5,100,0,0
120125,녹티사이커 드래곤,hero,1,5,100,0,0
120161,짐라벨,rare,1,10,100,0,0
120162,바디벨,rare,1,10,100,0,0
120164,스비벨,rare,1,10,100,0,0
120165,티모벨,rare,1,10,100,0,0
120181,테라블루 드래곤,common,1,30,100,0,0
120081,리프 드래곤,common,1,30,100,0,0
120184,루스블루 드래곤,common,1,30,100,0,0
120185,녹티블루 드래곤,common,1,30,100,0,0
120092,테일 드래곤,common,1,30,100,0,0
120192,오리티오,rare,1,10,100,0,0
120193,푸리티오,rare,1,10,100,0,0
120194,루미리티오,rare,1,10,100,0,0
120195,느와리티오,rare,1,10,100,0,0
120201,어스케인,hero,1,5,100,0,0
120202,워터케인,hero,1,5,100,0,0
120203,파이케인,hero,1,5,100,0,0
120204,라이케인,hero,1,5,100,0,0
120411,테라옵타티오,rare,1,10,100,0,0
120183,이그블루 드래곤,common,1,30,100,0,0
120413,이그옵타티오,rare,1,10,100,0,0
120414,루미옵타티오,rare,1,10,100,0,0
120415,녹티온,rare,1,10,100,0,0
120213,가루다,hero,1,5,100,0,0
120215,티모가루다,hero,1,5,100,0,0
120191,솔리티오,rare,1,10,100,0,0
120224,광뇌고룡,legend,1,2,100,0,0
120225,흑뇌고룡,legend,1,2,100,0,0
120271,레기온붐버,common,1,30,100,0,0
120272,라고붐버,common,1,30,100,0,0
120273,붐버,common,1,30,100,0,0
120274,루즈붐버,common,1,30,100,0,0
120294,고대 신룡,legend,1,2,100,0,0
120295,녹티 신룡,legend,1,2,100,0,0
120322,바디크레센트 드래곤,rare,1,10,100,0,0
120324,스비크레센트 드래곤,rare,1,10,100,0,0
120325,크레센트 드래곤,rare,1,10,100,0,0
120332,아쿠서펀트 드래곤,common,1,30,100,0,0
120333,이그서펀트 드래곤,common,1,30,100,0,0
120335,서펀트 드래곤,common,1,30,100,0,0
120301,삐에로 드래곤,rare,1,10,100,0,0
120302,삐에로 드래곤,rare,1,10,100,0,0
120303,삐에로 드래곤,rare,1,10,100,0,0
120304,삐에로 드래곤,rare,1,10,100,0,0
120305,삐에로 드래곤,rare,1,10,100,0,0
120383,시타엘,hero,1,5,100,0,0
120384,시타엘,hero,1,5,100,0,0
120404,백룡,hero,1,5,100,0,0
120405,흑룡,hero,1,5,100,0,0
