did,r_name,priority,tag_adventure,tag_colosseum,tag_ancient,tag_attr_tower,tag_clan_raid,tag_clan_raid_1,tag_clan_raid_2,tag_rune_guardian,t_desc
121531,땅 스트라,65,,,1,2,,,,,시작 시 아군의 {@yellow}드래그 스킬 재사용 시간을 감소{@default}시켜 드래그 스킬을 빠르게 사용할 수 있게 해 줍니다.\n고대의 탑에서 클리어 시간을 단축시킬 수 있습니다.
121532,물 스트라,65,,,1,2,,,,,시작 시 아군의 {@yellow}드래그 스킬 재사용 시간을 감소{@default}시켜 드래그 스킬을 빠르게 사용할 수 있게 해 줍니다.\n고대의 탑에서 클리어 시간을 단축시킬 수 있습니다.
121534,빛 스트라,65,,,1,2,,,,,시작 시 아군의 {@yellow}드래그 스킬 재사용 시간을 감소{@default}시켜 드래그 스킬을 빠르게 사용할 수 있게 해 줍니다.\n고대의 탑에서 클리어 시간을 단축시킬 수 있습니다.
120392,물 원더드래곤,95,1,,,,,,,,생명력이 모두 감소하면 {@yellow}좀비{@default} 효과가 발동되어 공격 스킬이 강화됩니다.\n좀비 효과는 모든 컨텐츠에서 효과적이지만 특히 모험 스테이지를 돌파하는데 큰 도움을 줍니다.
121115,어둠 뱃도치드래곤,91,,,,,,,1,,{@yellow}보스에게 피해량이 2.5배 증가{@default}하는 드래그 스킬을 사용합니다.\n공격 범위가 넓기 때문에 다수의 대상을 공격해야 하는 클랜던전 2공격대에서 효과적입니다.
121113,불 뱃도치드래곤,90,,,,,,,1,,{@yellow}보스에게 피해량이 2.5배 증가{@default}하는 드래그 스킬을 사용합니다.\n공격 범위가 넓기 때문에 다수의 대상을 공격해야 하는 클랜던전 2공격대에서 효과적입니다.
121112,물 뱃도치드래곤,90,,,,,,,1,,{@yellow}보스에게 피해량이 2.5배 증가{@default}하는 드래그 스킬을 사용합니다.\n공격 범위가 넓기 때문에 다수의 대상을 공격해야 하는 클랜던전 2공격대에서 효과적입니다.
121111,땅 뱃도치드래곤,90,,,,,,,1,,{@yellow}보스에게 피해량이 2.5배 증가{@default}하는 드래그 스킬을 사용합니다.\n공격 범위가 넓기 때문에 다수의 대상을 공격해야 하는 클랜던전 2공격대에서 효과적입니다.
120314,빛 파라오드래곤,80,,,,2,1,,,,후방 아군에게 {@yellow}공격력 증가 효과를 2개 부여{@default}하는 스킬을 가지고 있습니다.\n클랜던전에서 공격형 아군의 피해량을 높이는데 큰 도움을 줄 수 있습니다.
121145,어둠 미이라곤,71,,,,,,1,,,{@yellow}유리한 속성{@default}의 단일 대상 적에게 {@yellow}피해량이 3배 증가{@default}하는 드래그 스킬을 가지고 있습니다.\n클랜던전 1공격대에서 빛 속성 보스를 상대할 때 효과적입니다.
121143,불 미이라곤,70,,,,,,1,,,{@yellow}유리한 속성{@default}의 단일 대상 적에게 {@yellow}피해량이 3배 증가{@default}하는 드래그 스킬을 가지고 있습니다.\n클랜던전 1공격대에서 땅 속성 보스를 상대할 때 효과적입니다.
121142,물 미이라곤,70,,,,,,1,,,{@yellow}유리한 속성{@default}의 단일 대상 적에게 {@yellow}피해량이 3배 증가{@default}하는 드래그 스킬을 가지고 있습니다.\n클랜던전 1공격대에서 불 속성 보스를 상대할 때 효과적입니다.
121141,땅 미이라곤,70,,,,,,1,,,{@yellow}유리한 속성{@default}의 단일 대상 적에게 {@yellow}피해량이 3배 증가{@default}하는 드래그 스킬을 가지고 있습니다.\n클랜던전 1공격대에서 물 속성 보스를 상대할 때 효과적입니다.
120174,빛 에일리언드래곤,60,,,,,1,,,,아군의 {@yellow}드래그 스킬 재사용 시간과 마나 소비량을 감소{@default}시켜 드래그 스킬을 더 자주 발동할 수 있게 지원해줍니다.\n드래그 스킬 발동 회수가 많아지면 클랜던전의 점수 증가에 큰 도움이 됩니다.
120112,물 페어리드래곤,51,2,3,,,1,,,,{@yellow}강력한 패시브 회복{@default} 능력을 가지고 있어 드래그 스킬을 사용하지 않아도 아군을 효과적으로 회복할 수 있습니다.\n{@yellow}방어형 적에게 침묵 효과{@default}를 유발시켜 콜로세움에서 강력한 방어형 적을 무력화 시키는데 도움을 줍니다.
120593,불 고디움,40,,,,,,1,,,"단일 대상 적에게 {@yellow}공격력,방어력 감소 및 이로운 효과 제거{@default}를 사용하여 약화시키는데 특화된 스킬을 가지고 있습니다.\n클랜던전 1공격대에서 보스를 상대할 때 효과적입니다."
120511,땅 테디드래곤,40,,1,,,,,,,"{@yellow}보호막, 무적, 부활{@default} 능력을 가지고 있어 아군 보호, 생존에 특화되어 있습니다.\n아군의 생존이 중요한 콜로세움에서 효과적입니다."
120584,빛 블랙찡또,30,,,1,,,,,2,"재사용 시간이 짧고  {@yellow}많은 수의 적을 공격{@default}하는 패시브 스킬을 가지고 있습니다.\n많은 수의 몬스터를 빠르게 처치할 수 있어 고대의 탑, 룬 수호자 던전에서 클리어 시간을 단축시킬 수 있습니다."
