sid,r_d_name,r_rarity,r_신규입력 여부,r_s_name,skill_form,skill_type,t_name,res_icon,r_res_icon,res_1,res_scale,res_2,res_3,res_hit,camera_work,indicator,skill_size,animation,motion_type,dir,chance_type,chance_value,game_mode,target_formation,target_type,target_count,casting_time,req_mana,pre_delay,power_source,power_rate,power_add,ignore,cooldown,hit,val_1,val_2,val_3,status_effect_type,status_effect_target,status_effect_duration,status_effect_rate,status_effect_value,r_gd,add_option_type_1,add_option_target_1,add_option_target_count_1,add_option_trigger_1,add_option_time_1,add_option_rate_1,add_option_source_1,add_option_value_1,add_option_type_2,add_option_target_2,add_option_target_count_2,add_option_trigger_2,add_option_time_2,add_option_rate_2,add_option_source_2,add_option_value_2,ai_division,desc_1,desc_2,desc_3,desc_4,desc_5,r_condition1,r_condition2,r_feedback1,r_feedback2,t_desc
200000,공통,,e,일반 공격,code,missile_move_guide,일반 공격,res/ui/icon/skill/,,res/missile/missile_wedge/missile_wedge_@.vrp,,,,,,,,,instant,-1,basic,,,,enemy_distance_line,1,0,,0,atk,100,,,,1,1,1,800,,,,,,,,,,,,,,,,,,,,,,,,power_rate*hit,,,,,,,,,[기본] 공격력의 {1}% 피해
200001,공통,,e,녹색 잎사귀,code,missile_move_guide,일반 공격,res/ui/icon/skill/,,res/missile/missile_leaf/missile_leaf_@.vrp,,,,,,,,,instant,-1,basic,,,,enemy_distance_line,1,0,,0,atk,100,,,,1,1,1,800,,,,,,,,,,,,,,,,,,,,,,,,power_rate*hit,,,,,,,,,[기본] 공격력의 {1}% 피해
200002,공통,,e,물속성 푸른 공,code,missile_move_guide,일반 공격,res/ui/icon/skill/,,res/missile/missile_ball/missile_ball_water.vrp,0.55,,,,,,,,instant,-1,basic,,,,enemy_distance_line,1,0,,0,atk,100,,,,1,1,1,800,,,,,,,,,,,,,,,,,,,,,,,,power_rate*hit,,,,,,,,,[기본] 공격력의 {1}% 피해
200003,공통,,e,번개고룡용도,code,missile_move_guide,일반 공격,res/ui/icon/skill/,,res/missile/missile_wedge/missile_wedge_@.vrp,,,,,,,,,instant,-1,basic,,,,enemy_distance_line,1,0,,0,atk,100,,,,1,1,1,800,,,,,,,,,,,,,,,,,,,,,,,,power_rate*hit,,,,,,,,,[기본] 공격력의 {1}% 피해
200004,공통,,e,속성별 고리 모양,code,missile_move_guide,일반 공격,res/ui/icon/skill/,,res/missile/missile_ring/missile_ring_@.vrp,0.5,,,,,,,,instant,-1,basic,,,,enemy_distance_line,1,0,,0,atk,100,,,,1,1,1,800,,,,,,,,,,,,,,,,,,,,,,,,power_rate*hit,,,,,,,,,[기본] 공격력의 {1}% 피해
200005,공통,,e,바위드래곤용도,code,missile_move_guide,일반 공격,res/ui/icon/skill/,,res/missile/missile_ball/missile_ball_earth.vrp,0.4,,,,,,,,instant,-1,basic,,,,enemy_distance_line,1,0,,0,atk,100,,,,1,1,1,800,,,,,,,,,,,,,,,,,,,,,,,,power_rate*hit,,,,,,,,,[기본] 공격력의 {1}% 피해
200006,공통,,e,속성별 볼,code,missile_move_guide,일반 공격,res/ui/icon/skill/,,res/missile/missile_ball/missile_ball_@.vrp,0.4,,,,,,,,instant,-1,basic,,,,enemy_distance_line,1,0,,0,atk,100,,,,1,1,1,800,,,,,,,,,,,,,,,,,,,,,,,,power_rate*hit,,,,,,,,,[기본] 공격력의 {1}% 피해
200111,땅 파워드래곤,legend,e,드래그 스킬,code,skill_aoe_round,파워 펀치,res/ui/icon/skill/200111.png,res/ui/icon/skill/200151.png,res/effect/skill_powerdragon_stone/skill_powerdragon_stone_@.vrp,,,,,close_up,round,2,,instant,-1,active,,,,enemy_random,3,0,2,0,def + def * 0.5 * TARGET_STATUSEFFECT('atk_down'),133,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,attack,target_count,power_rate*hit,add_option_time_1,add_option_value_1,,4,6,방어력15%증가,방어력20%증가,"원형 범위의 적 {1}명에게 방어력의 {2}% 피해, 적이 공격력 감소 상태인 경우 피해량 1.5배"
200112,물 파워드래곤,legend,e,드래그 스킬,code,skill_aoe_round,파워 펀치,res/ui/icon/skill/200112.png,res/ui/icon/skill/200151.png,res/effect/skill_powerdragon_stone/skill_powerdragon_stone_@.vrp,,,,,close_up,round,2,,instant,-1,active,,,,enemy_random,3,0,2,0,def + def * 0.5 * TARGET_STATUSEFFECT('atk_down'),133,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,attack,target_count,power_rate*hit,,,,4,6,방어력15%증가,방어력20%증가,"원형 범위의 적 {1}명에게 방어력의 {2}% 피해, 적이 공격력 감소 상태인 경우 피해량 1.5배"
200114,빛 파워드래곤,legend,e,드래그 스킬,code,skill_aoe_round,파워 펀치,res/ui/icon/skill/200114.png,res/ui/icon/skill/200151.png,res/effect/skill_powerdragon_stone/skill_powerdragon_stone_@.vrp,,,,,close_up,round,2,,instant,-1,active,,,,enemy_random,3,0,2,0,def + def * 0.5 * TARGET_STATUSEFFECT('atk_down'),133,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,attack,target_count,power_rate*hit,add_option_time_1,add_option_value_1,,4,6,방어력15%증가,방어력20%증가,"원형 범위의 적 {1}명에게 방어력의 {2}% 피해, 적이 공격력 감소 상태인 경우 피해량 1.5배"
200115,어둠 파워드래곤,legend,e,드래그 스킬,code,skill_aoe_round,파워 펀치,res/ui/icon/skill/200115.png,res/ui/icon/skill/200151.png,res/effect/skill_powerdragon_stone/skill_powerdragon_stone_@.vrp,,,,,close_up,round,2,,instant,-1,active,,,,enemy_random,3,0,2,0,atk + atk * ( 1 - hp / max_hp ),133,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,attack,target_count,power_rate*hit,,,,4,6,방어력15%증가,방어력20%증가,"원형 범위의 적 {1}명에게 공격력의 {2}% 피해, 자신의 생명력이 낮을 수록 피해량 증가"
200121,땅 파워드래곤,legend,e,패시브 1,code,skill_guardian,수호,res/ui/icon/skill/200121.png,res/ui/icon/skill/200011.png ,res/effect/effect_protection_spread/effect_protection_spread.spine,,,,,,,,,instant,-1,indie_time,20,,front,teammate_random,2,0,,0,,,,,5,2,10,,,,,,,,,def_up,self,1,skill_start,10,100,,100,reflect,self,1,skill_start,10,100,,30,,chance_value,target_count,add_option_value_1,add_option_value_2,add_option_time_1,,,,,{1}초마다 자신을 제외한 전방 우선 아군 {2}명에게 보호막을 씌워 대상에게 입혀지는 피해를 대신 받으며 자신의 방어력 {3}% 증가 및 피해량의 {4}% 반사 (지속시간 {5}초)
200122,물 파워드래곤,legend,e,패시브 1,code,skill_guardian,수호,res/ui/icon/skill/200122.png,res/ui/icon/skill/200011.png ,res/effect/effect_protection_spread/effect_protection_spread.spine,,,,,,,,,instant,-1,indie_time,20,,front,teammate_random,2,0,,0,,,,,1,1,10,,,,,,,,,def_up,self,1,skill_start,10,100,,100,resist_atk_down,self,1,skill_start,10,100,,30,,chance_value,target_count,add_option_value_1,add_option_value_2,add_option_time_1,,,,,{1}초마다 자신을 제외한 전방 우선 아군 {2}명에게 보호막을 씌워 대상에게 입혀지는 피해를 대신 받으며 자신의 방어력 {3}% 증가 및 공격력 감소 상태의 적으로부터 받는 피해 {4}% 감소 (지속시간 {5}초)
200124,빛 파워드래곤,legend,e,패시브 1,code,skill_guardian,수호,res/ui/icon/skill/200124.png,res/ui/icon/skill/200011.png ,res/effect/effect_protection_spread/effect_protection_spread.spine,,,,,,,,,instant,-1,indie_time,20,,front,teammate_random,2,0,,0,,,,,5,2,10,,,,,,,,,def_up,self,1,skill_start,10,100,,100,heal,target,2,skill_start,10,100,target_max_hp,2,,chance_value,target_count,add_option_value_1,add_option_value_2,val_1,,,,,{1}초마다 자신을 제외한 전방 우선 아군 {2}명에게 보호막을 씌워 대상에게 입혀지는 피해를 대신 받으며 자신의 방어력 {3}% 증가 및 매초마다 보호막 대상의 생명력의 {4}% 씩 회복 (지속시간 {5}초)
200125,어둠 파워드래곤,legend,e,패시브 1,code,status_effect,공격 지원,res/ui/icon/skill/200125.png,res/ui/icon/skill/200011.png ,res/effect/effect_protection_spread/effect_protection_spread.spine,,,,,,,,,instant,-1,indie_time,10,,,ally_none,5,0,,0,,,,,1,1,,,,,,,,,,atk_up_overlab5,ally_none,5,skill_start,50,100,,10,,,,,,,,,,chance_value,add_option_value_1,,,,,,,,{1}초마다 아군 전체의 공격력 {2}%씩 증가 (최대 50%)
200131,땅 파워드래곤,legend,e,패시브 2,code,status_effect,바위의 보호,res/ui/icon/skill/200131.png,res/ui/icon/skill/220011.png,,,,,,,,,,instant,-1,under_atk_rate,10,,,self,1,0,,0,,,,,5,1,,,,,,,,,,def_up,self,1,skill_start,10,100,,100,heal,self,1,skill_start,1,100,,600,,chance_value,add_option_time_1,add_option_value_1,add_option_value_2,,,,,,피격시 {1}% 확률로 자신에게 {2}초간 방어력 {3}% 증가 및 공격력의 {4}% 만큼 생명력 회복
