id,skill_form,type,t_name,upgrade_num,res_icon,res_1,res_2,res_3,dmg_type,target_type,power_rate,hit,val_1,val_2,desc,to_programmer
214001,code,sp_godae_shinryong,임시 필살기,01,res/ui/icon/skill/sp_godae_shinryong_01.png,res/effect/godae_shinryong_special/godae_shinryong_special.spine,x,x,magical,602000,100,20,2,1,임시 필살기 입니다.,적 진형 모두를 관통하는 레이저를 발사해 경로상의 적에게 다단히트(hit)로 나누어 데미지 발생. 이펙트는 2초간 유지.
214011,code,sp_godae_shinryong,고대 신룡의 분노,01,res/ui/icon/skill/sp_godae_shinryong_01.png,res/effect/godae_shinryong_special/godae_shinryong_special.spine,x,x,magical,602000,100,20,2,1,[마법] 적 진형 전체를 덮는 초월적인 레이저를 발사하여 모든 적에게 2초간 2000%의 피해를 준다.,적 진형 모두를 관통하는 레이저를 발사해 경로상의 적에게 다단히트(hit)로 나누어 데미지 발생. 이펙트는 2초간 유지.
214021,code,sp_powerdragon,행성 격파,01,res/ui/icon/skill/sp_powerdragon_01.png,res/special/powerdragon_special/powerdragon_special.spine,res/special/effect_powerdragon_special/effect_powerdragon_special.spine,x,magical,602000,100,20,2,1,[마법] 지구와 함께 모든 적에게 2초간 2000%의 피해를 준다.,적 진형 모두를 관통하는 레이저를 발사해 경로상의 적에게 다단히트(hit)로 나누어 데미지 발생. 이펙트는 2초간 유지.
214031,code,sp_serpentdragon,맹독의 윤무,01,res/ui/icon/skill/sp_serpentdragon_01.png,res/effect/godae_shinryong_special/godae_shinryong_special.spine,x,x,magical,602000,100,20,2,1,[마법] 사방으로 퍼지는 맹독으로 모든 적에게 2초간 2000%의 피해를 준다.,적 진형 모두를 관통하는 레이저를 발사해 경로상의 적에게 다단히트(hit)로 나누어 데미지 발생. 이펙트는 2초간 유지.
214041,code,sp_crescentdragon,세번째 달,01,res/ui/icon/skill/sp_crescentdragon_01.png,res/effect/godae_shinryong_special/godae_shinryong_special.spine,x,x,magical,602000,100,20,10,1,[마법] 사망한 모든 아군을 살리고 10초간 마력의 2000%의 치유한다.,적 진형 모두를 관통하는 레이저를 발사해 경로상의 적에게 다단히트(hit)로 나누어 데미지 발생. 이펙트는 2초간 유지.
214051,code,sp_taildragon,심연의 바다,01,res/ui/icon/skill/sp_taildragon_01.png,res/effect/godae_shinryong_special/godae_shinryong_special.spine,x,x,magical,602000,100,20,2,1,[마법] 깊은 심연으로 적 모두를 초대해 모든 적에게 2초간 2000%의 피해를 준다.,적 진형 모두를 관통하는 레이저를 발사해 경로상의 적에게 다단히트(hit)로 나누어 데미지 발생. 이펙트는 2초간 유지.
214061,code,sp_garuda,마그마 폭발,01,res/ui/icon/skill/sp_garuda_01.png,res/effect/godae_shinryong_special/godae_shinryong_special.spine,x,x,magical,602000,100,20,2,1,[마법] 끓어오르는 용암을 폭발시켜 적 모두에게 2초간 2000%의 피해를 준다.,적 진형 모두를 관통하는 레이저를 발사해 경로상의 적에게 다단히트(hit)로 나누어 데미지 발생. 이펙트는 2초간 유지.
214071,code,sp_pinkbell,심리적 압박,01,res/ui/icon/skill/sp_pinkbell_01.png,res/effect/godae_shinryong_special/godae_shinryong_special.spine,x,x,magical,602000,100,20,2,1,[마법] 적 모두에게 심리적 부담을 주어 빨리 퇴근하게 한다. 2초간 2000%의 피해를 준다.,적 진형 모두를 관통하는 레이저를 발사해 경로상의 적에게 다단히트(hit)로 나누어 데미지 발생. 이펙트는 2초간 유지.
214081,code,sp_lambgon,영면,01,res/ui/icon/skill/sp_lambgon_01.png,res/effect/godae_shinryong_special/godae_shinryong_special.spine,x,x,physical,602000,100,20,2,1,[물리] 적 모두를 영원히 잠들게 한다. 2초간 2000%의 피해를 준다.,적 진형 모두를 관통하는 레이저를 발사해 경로상의 적에게 다단히트(hit)로 나누어 데미지 발생. 이펙트는 2초간 유지.
214002,code,sp_godae_shinryong,임시 필살기 강화,02,res/ui/icon/skill/sp_godae_shinryong_02.png,res/effect/godae_shinryong_special/godae_shinryong_special.spine,x,x,magical,602000,200,20,2,1,필살기 피해량을 100% 증가 시킨다.,
