lsid,grade,slot,tanker_atk,tanker_hp,tanker_def,tanker_desc_1,tanker_desc_2,t_tanker,dealer_atk,dealer_hp,dealer_def,dealer_desc_1,dealer_desc_2,t_dealer,healer_atk,healer_hp,healer_def,healer_desc_1,healer_desc_2,t_healer,supporter_atk,supporter_hp,supporter_def,supporter_desc_1,supporter_desc_2,t_supporter
01_a,1,a,,10,,1,,체력 Max Lv의 {1}% 만큼 상승,10,,,1,,공격력 Max Lv의 {1}% 만큼 상승,,10,,1,,체력 Max Lv의 {1}% 만큼 상승,,10,,1,,체력 Max Lv의 {1}% 만큼 상승
01_b,1,b,,,10,,1,방어력 Max Lv의 {2}% 만큼 상승,,5,5,0.5,0.5,체력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,5,,5,0.5,0.5,공격력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,5,,5,0.5,0.5,공격력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승
02_a,2,a,,5,5,0.5,0.5,체력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,15,,,1.5,,공격력 Max Lv의 {1}% 만큼 상승,,10,,1,,체력 Max Lv의 {1}% 만큼 상승,10,,,1,,공격력 Max Lv의 {1}% 만큼 상승
02_b,2,b,5,5,,0.5,0.5,공격력 Max Lv의 {1}% 만큼 상승\n체력 Max Lv의 {2}% 만큼 상승,,5,5,0.5,0.5,체력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,5,,5,0.5,0.5,공격력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,,5,5,0.5,0.5,체력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승
03_a,3,a,,,10,1,,방어력 Max Lv의 {1}% 만큼 상승,15,,,1.5,,공격력 Max Lv의 {1}% 만큼 상승,,20,,2,,체력 Max Lv의 {1}% 만큼 상승,,,10,1,,방어력 Max Lv의 {1}% 만큼 상승
03_b,3,b,10,,,1,,공격력 Max Lv의 {1}% 만큼 상승,,10,10,1,1,체력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,10,,10,1,1,공격력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,5,5,,0.5,0.5,공격력 Max Lv의 {1}% 만큼 상승\n체력 Max Lv의 {2}% 만큼 상승
04_a,4,a,5,,5,0.5,0.5,공격력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,20,,,2,,공격력 Max Lv의 {1}% 만큼 상승,,20,,2,,체력 Max Lv의 {1}% 만큼 상승,,20,,2,,체력 Max Lv의 {1}% 만큼 상승
04_b,4,b,,10,,1,,체력 Max Lv의 {1}% 만큼 상승,,10,10,1,1,체력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,10,,10,1,1,공격력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,15,,15,1.5,1.5,공격력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승
05_a,5,a,15,,,1.5,,공격력 Max Lv의 {1}% 만큼 상승,20,,,2,,공격력 Max Lv의 {1}% 만큼 상승,,20,,2,,체력 Max Lv의 {1}% 만큼 상승,20,,,2,,공격력 Max Lv의 {1}% 만큼 상승
05_b,5,b,,20,20,2,2,체력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,,10,10,1,1,체력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,10,,10,1,1,공격력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,,15,15,1.5,1.5,체력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승
06_a,6,a,15,,,1.5,,공격력 Max Lv의 {1}% 만큼 상승,20,,,2,,공격력 Max Lv의 {1}% 만큼 상승,,20,,2,,체력 Max Lv의 {1}% 만큼 상승,,,20,2,,방어력 Max Lv의 {1}% 만큼 상승
06_b,6,b,,25,25,2.5,2.5,체력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,,10,10,1,1,체력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,10,,10,1,1,공격력 Max Lv의 {1}% 만큼 상승\n방어력 Max Lv의 {2}% 만큼 상승,15,15,,1.5,1.5,공격력 Max Lv의 {1}% 만큼 상승\n체력 Max Lv의 {2}% 만큼 상승
total,0,x,50,75,75,,,,100,50,50,,,,50,100,50,,,,70,70,70,,,
