type,type_id,did,base_did,month,day,give_relation_point
powerdragon,1,"120011,120012,120014,120015",120011,1,27,3
lambgon,2,"120021,120022,120023",120021,1,2,3
applecheek,5,"120051,120052",120051,1,12,3
spine,7,"120071,120072,120074,120075",120071,2,25,3
leafdragon,8,"120081,120082,120083",120081,2,11,3
taildragon,9,"120091,120092,120093,120094,120095",120091,3,27,3
fairydragon,11,"120111,120112,120113,120114,120115",120112,3,21,3
psykerdragon,12,"120122,120123,120124,120125",120122,3,8,3
purplelipsdragon,14,"120141,120142,120143,120144,120145",120141,4,16,3
mutanteggdragon,15,"120151,120154,120155",120151,4,13,3
pinkbell,16,"120161,120162,120164,120165",120161,4,16,3
aliendragon,17,"120174,120175",120174,5,6,3
bluedragon,18,"120181,120183,120184,120185",120181,5,19,3
littio,19,"120191,120192,120193,120194,120195",120191,5,23,3
hurricane,20,"120201,120202,120203,120204",120201,6,15,3
garuda,21,"120213,120215",120213,6,14,3
lightningdragon,22,"120223,120224,120225",120223,6,7,3
jaryong,23,"120231,120232,120233",120231,7,6,3
boomba,27,"120271,120272,120273,120274",120271,7,20,3
godaeshinryong,29,"120294,120295",120294,7,26,3
clowndragon,30,"120302,120303,120304,120305",120304,8,15,3
pharaohdragon,31,"120314,120315",120314,8,4,3
crescentdragon,32,"120324,120325",120325,8,19,3
serpentdragon,33,"120332,120333,120335",120332,9,28,3
ladydragon,37,"120371,120372,120373,120374,120375",120371,9,28,3
sitael,38,"120383,120384",120383,10,23,3
blackdragon,40,"120404,120405",120404,10,15,3
optatio,41,"120411,120412,120413,120414,120415",120411,11,15,3
suradragon,42,"120421,120422,120423",120421,12,21,3
smartdragon,43,"120431,120432,120433",120432,12,8,3
wonderdragon,39,"120393,120395",120395,11,1,3
estimia,6,"120061,120062,120063",120061,11,30,3
frostdragon,10,"120101,120102,120104,120105",120102,12,25,3
orpheusdragon,4,"120041, 120043",120041,9,3,3
figer,24,"120241, 120242, 120243",120243,9,11,3
darknix,34,"120344, 120345",120345,4,7,3
catsdragon,35,"120355, 120354",120354,1,28,3
arjuan,44,120443,120443,9,24,3
karna,45,120455,120455,12,11,3
verus,46,"120462, 120463",120462,,,
rockdragon,47,"120471,120472,120473,120474,120475",120471,,,
bullsdragon,48,"120481,120482,120483,120484,120485",120481,,,
oymyakon,49,"120491,120492,120493,120494,120495",120491,,,
whirlwind,50,"120501,120502,120503,120504,120505",120501,,,
teddydragon,51,"120511,120512,120513,120514",120511,,,
hungrydragon,52,"120521,120522,120523,120524,120525",120521,,,
happydragon,53,"120531,120532,120533,120534",120531,,,
kangarabbitdragon,54,"120541,120542,120543,120544",120541,,,
summershine,55,"120551,120552,120553,120554,120555",120551,,,
witchdragon,56,"120561,120562,120563,120564,120565",120561,,,
clouddragon,57,"120572,120574",120572,,,
blackjindo,58,"120581,120582,120584,120585",120581,,,
godium,59,"120591,120593,120594,120595",120591,,,
lisodragon,60,"120601,120602,120604,120605",120601,,,
owl,6001,"180011,180012,180013",180011,,,
monster_plant,6002,"180021,180022,180023",180021,,,
bonefish,6003,"180031,180032,180033",180031,,,
minion,6004,"180041,180042,180043",180041,,,
blowshark,6005,"180051,180052,180053",180051,,,
octopus,6006,"180061,180062,180063",180061,,,
harpy_junior,6007,"180071,180072,180073",180071,,,
evil_wing,6008,"180081,180082,180083",180081,,,
killerbee,6009,"180091,180092,180093",180091,,,
owlbear,6010,"180101,180102,180103",180101,,,
rafflesia,6011,"180111,180112,180113",180111,,,
sharkwarrior,6012,"180121,180122,180123",180121,,,
poisonoctopus,6013,"180131,180132,180133",180131,,,
highelemental,6014,"180141,180142,180143",180141,,,
beholder,6015,"180151,180152,180153",180151,,,
metalmagnetdragon,61,"120611,120612,120613",120611,,,
blackqueen,62,"120623,120625",120625,,,
veneziedragon,63,"120634,120635",120635,,,
maldek,64,"120641,120642,120643",120641,,,
totemdragon,65,"120651,120653,120655",120651,,,
