stage,t_name,r_difficult,mode,r_chapter_info,r_stage_info,attr,level,hp_ratio,cost_type,cost_value,time_limit,wave,r_dragon_exp2,dragon_exp,r_dragon_exp,tamer_exp,gold_min,gold_max,gph,gpd,gpl,mission_01,mission_02,mission_03,item_1_id,item_1_min,item_1_max,item_1_rate,item_2_id,item_2_min,item_2_max,item_2_rate,item_3_id,item_3_min,item_3_max,item_3_rate,buff_user,buff_enemy,t_help
1110101,,normal,adv,1,1,earth,15,1,st,2,120,3,3500,1200,700,50,100,400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710111,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110102,,normal,adv,1,2,earth,20,1,st,2,120,3,3550,1200,710,51,100,400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710121,1,1,0.8,703017,1,1,0.1,700201,10,10,1,,,
1110103,,normal,adv,1,3,earth,25,1,st,2,120,3,3600,1200,720,52,100,400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710131,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110104,,normal,adv,1,4,earth,26,1,st,2,120,3,3650,1200,730,53,100,400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710141,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110105,,normal,adv,1,5,earth,27,1,st,2,120,3,3700,1806,740,54,100,400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710151,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110106,,normal,adv,1,6,earth,28,1,st,2,120,3,3750,1806,750,55,100,400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710161,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110107,,normal,adv,1,7,earth,29,1,st,3,120,3,3800,1806,760,56,100,400,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720111,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,,
1110201,,normal,adv,2,1,water,31,1,st,3,120,3,3900,1812,780,57,200,500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710211,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110202,,normal,adv,2,2,water,31,1,st,3,120,3,4000,1812,800,58,200,500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710221,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110203,,normal,adv,2,3,water,32,1,st,3,120,3,4100,1812,820,59,200,500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710231,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110204,,normal,adv,2,4,water,32,1,st,3,120,3,4200,1812,840,60,200,500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710241,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110205,,normal,adv,2,5,water,33,1,st,3,120,3,4300,2424,860,61,200,500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710251,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110206,,normal,adv,2,6,water,33,1,st,3,120,3,4400,2424,880,62,200,500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710261,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110207,,normal,adv,2,7,water,34,1,st,4,120,3,4500,2424,900,63,200,500,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720211,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,,
1110301,,normal,adv,3,1,earth,39,1,st,4,120,3,4650,2432,930,64,300,600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710711,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110302,,normal,adv,3,2,earth,39,1,st,4,120,3,4800,2432,960,65,300,600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710721,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110303,,normal,adv,3,3,earth,40,1,st,4,120,3,4950,2432,990,66,300,600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710731,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110304,,normal,adv,3,4,earth,40,1,st,4,120,3,5100,2432,1020,67,300,600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710741,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110305,,normal,adv,3,5,earth,41,1,st,4,120,3,5250,3050,1050,68,300,600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710751,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110306,,normal,adv,3,6,earth,41,1,st,4,120,3,5400,3050,1080,69,300,600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710761,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110307,,normal,adv,3,7,earth,42,1,st,5,120,3,5550,3050,1110,70,300,600,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720711,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,,
1110401,,normal,adv,4,1,fire,58,1,st,5,120,3,5750,3060,1150,71,400,700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710611,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110402,,normal,adv,4,2,fire,58,1,st,5,120,3,5950,3060,1190,72,400,700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710621,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110403,,normal,adv,4,3,fire,59,1,st,5,120,3,6150,3060,1230,73,400,700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710631,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110404,,normal,adv,4,4,fire,59,1,st,5,120,3,6350,3060,1270,74,400,700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710641,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110405,,normal,adv,4,5,fire,60,1,st,5,120,3,6550,3684,1310,75,400,700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710651,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110406,,normal,adv,4,6,fire,60,1,st,5,120,3,6750,3684,1350,76,400,700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710661,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110407,,normal,adv,4,7,fire,61,1,st,6,120,3,6950,3684,1390,77,400,700,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720611,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,,
1110501,,normal,adv,5,1,light,64,1,st,6,120,3,7200,3696,1440,78,500,800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710411,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110502,,normal,adv,5,2,light,64,1,st,6,120,3,7450,3696,1490,79,500,800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710421,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110503,,normal,adv,5,3,light,65,1,st,6,120,3,7700,3696,1540,80,500,800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710431,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110504,,normal,adv,5,4,light,65,1,st,6,120,3,7950,3696,1590,81,500,800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710441,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110505,,normal,adv,5,5,light,66,1,st,6,120,3,8200,4326,1640,82,500,800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710451,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110506,,normal,adv,5,6,light,66,1,st,6,120,3,8450,4326,1690,83,500,800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710461,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110507,,normal,adv,5,7,light,67,1,st,7,120,3,8700,4326,1740,84,500,800,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720411,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,,
1110601,,normal,adv,6,1,dark,72,1,st,7,120,3,9000,4340,1800,85,600,900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710311,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110602,,normal,adv,6,2,dark,72,1,st,7,120,3,9300,4340,1860,86,600,900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710321,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110603,,normal,adv,6,3,dark,73,1,st,7,120,3,9600,4340,1920,87,600,900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710331,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110604,,normal,adv,6,4,dark,73,1,st,7,120,3,9900,4340,1980,88,600,900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710341,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110605,,normal,adv,6,5,dark,74,1,st,7,120,3,10200,4976,2040,89,600,900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710351,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110606,,normal,adv,6,6,dark,74,1,st,7,120,3,10500,4976,2100,90,600,900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",710361,1,1,0.8,703017,1,1,0.1,700201,1,1,0.3,,,
1110607,,normal,adv,6,7,dark,75,1,st,8,120,3,10800,4976,2160,91,600,900,0,0,0,"clear_cnt,1","death_cnt,0","lap_time,120",720311,1,1,0.8,703016,1,1,0.01,700201,1,1,0.3,,,
