type,pos_01,pos_02,pos_03,pos_04,pos_05,pos_06,pos_07,pos_08,pos_09,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,r_comment
design,RF11,RF13,RF15,RF17,RF22,RF24,RF26,RM13,RM15,RM24,,,,,,,,,,,,
wait,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,지정 시간동안 대기용으로 사용
RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,RF11,
RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,RF12,
RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,RF13,
RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,RF14,
RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,RF15,
RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,RF16,
RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,RF17,
RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,RF21,
RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,RF22,
RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,RF23,
RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,RF24,
RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,RF25,
RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,RF26,
RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,RF27,
RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,RM11,
RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,RM12,
RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,RM13,
