lv_t,exp_t,stamina
1,30,11
2,60,12
3,105,13
4,165,14
5,240,15
6,330,16
7,435,17
8,555,18
9,690,19
10,840,20
11,1005,21
12,1185,22
13,1380,23
14,1590,24
15,1815,25
16,2055,26
17,2310,27
18,2580,28
19,2865,29
20,3165,30
21,3480,31
22,3810,32
23,4155,33
24,4515,34
25,4890,35
26,5280,36
27,5685,37
28,6105,38
29,6540,39
30,6990,40
31,7455,41
32,7935,42
33,8430,43
34,8940,44
35,9465,45
36,10005,46
37,10560,47
38,11130,48
39,11715,49
40,12315,50
41,12930,51
42,13560,52
43,14205,53
44,14865,54
45,15540,55
46,16230,56
47,16935,57
48,17655,58
49,18390,59
50,19140,60
51,19905,61
52,20685,62
53,21480,63
54,22290,64
55,23115,65
56,23955,66
57,24810,67
58,25680,68
59,26565,69
60,0,70
