type,min,max,value_range,t_icon_label,t_name,t_desc,icon,link_type,r_link_type,r_desc
exp_up,0.1,5,0.1~5,,모험 드래곤 경험치 증가,모험에서 드래곤 경험치 획득량이 {@yellow}{1}% 증가{@default}합니다.,res/ui/icons/hot_time/hot_time_exp_up.png,ply_adv,모험,{드래곤 경험치} + ({드래곤 경험치} * {키 값}) = {핫타임 경험치}
gold_up,0.1,5,0.1~5,,모험 골드 증가,모험에서 골드 획득량이 {@yellow}{1}% 증가{@default}합니다.,res/ui/icons/hot_time/hot_time_gold_up.png,ply_adv,모험,"{모험 골드} + ({모험 골드} * {키 값})  = {핫타임 모험 골드}, 드롭 아이템 골드 제외"
ad_st_dc,0.1,1,0.1~1,,모험 날개 할인,모험에서 날개 소비량이 {@yellow}{1}% 할인{@default}됩니다.,res/ui/icons/hot_time/hot_time_ad_st_dc.png,ply_adv,모험,"(1-{키 값}) * {모험 날개 소비량} = {핫타임 모험 날개 소비량}, 소수점 내림"
rune_lvup_dc,0.1,1,0.1~1,,룬 강화 비용 할인,룬 강화 시 골드 비용이 {@yellow}{1}% 할인{@default}됩니다.,res/ui/icons/hot_time/hot_time_rune_lvup_dc.png,r_enc,드래곤 룬 관리로 이동,"(1-{키 값}) * {룬 강화 골드 비용} = {핫타임 룬 강화 골드 비용}, 소수점 내림"
rune_dc,0.1,1,0.1~1,,룬 해제 비용 할인,룬 장착 해제 시 골드 비용이 {@yellow}{1}% 할인{@default}됩니다.,res/ui/icons/hot_time/hot_time_rune_dc.png,r_enc,드래곤 룬 관리로 이동,"(1-{키 값}) * {룬 장착 해제 골드 비용} = {핫타임 룬 장착 해제 골드 비용}, 소수점 내림"
reinforce_dc,0.1,1,0.1~1,,드래곤 강화 비용 할인,드래곤 강화 시 골드 비용이 {@yellow}{1}% 할인{@default}됩니다.,res/ui/icons/hot_time/hot_time_reinforce_dc.png,d_rlvup_sq,드래곤 강화로 이동,"(1-{키 값}) * {드래곤 강화 골드 비용} = {핫타임 드래곤 강화 골드 비용}, 소수점 내림"
skill_move_dc,0.1,1,0.1~1,,스킬 이전 비용 할인,드래곤 스킬 레벨 이전 시 다이아 비용이 {@yellow}{1}% 할인{@default}됩니다.,res/ui/icons/hot_time/hot_time_skill_move_dc.png,d_sklvup,드래곤 스킬 관리로,"(1-{키 값}) * {드래곤 스킬 이전 다이아 비용} = {핫타임 드래곤 스킬 이전 다이아 비용}, 소수점 내림"
sm_legend_up,1,1,1,,전설 드래곤 소환 확률 증가,고급소환에서 전설 드래곤 소환 확률이 {@yellow}{1}% 증가{@default}합니다.,res/ui/icons/hot_time/hot_time_sm_legend_up.png,smn,부화소 소환으로 이동,"{전설 드래곤 가중치} + ({전설 드래곤 가중치} * {키 값}) = {핫타임 전설 드래곤 가중치}, {일반 드래곤 가중치} - ({전설 드래곤 가중치} * {키 값}) = {핫타임 일반 드래곤 가중치}, 기존 전설 드래곤 확률업과 동일"
dg_rune_legend_up,0.1,2,0.1~2,,전설 등급 룬 확률 증가,"악몽, 고대 유적, 룬 수호자 던전에서 전설 등급 룬 획득 확률이 {@yellow}{1}% 증가{@default}합니다.",res/ui/icons/hot_time/hot_time_dg_rune_legend_up.png,link_dungeon,배틀메뉴 던전탭으로 이동,"{전설 룬 가중치} + ({전설 룬 가중치} * {키 값}) = {핫타임 전설 룬 가중치}, {일반 룬 가중치} - ({전설 룬 가중치} * {키 값}) = {핫타임 일반 룬 가중치}, 악몽, 고대 유적, 룬 수호자 던전에서 적용"
pvp_honor_up,1,5,1~5,,명예 획득량 증가,콜로세움에서 획득하는 명예 획득량이 {@yellow}{1}% 증가{@default}합니다.,res/ui/icons/hot_time/hot_time_pvp_honor_up.png,ply_clsm,콜로세움으로 이동,"{획득 명예} + ({획득 명예} * {키 값}) = {핫타임 획득 명예}, 승패 무관"
dg_rune_up,1,5,1~5,,룬 추가 획득,"악몽, 고대 유적, 룬 수호자 던전에서 룬 획득량이 {@yellow}{1}% 증가{@default}합니다.",res/ui/icons/hot_time/hot_time_dg_rune_up.png,link_dungeon,배틀메뉴 던전탭으로 이동,"{룬 수량} + (1 * {키 값}) = {핫타임 룬 수량}, 키 값은 정수로만 입력, 악몽, 고대 유적, 룬 수호자 던전에서 적용"
dg_unlock,0,1,"0,1",,요일 던전 입장 제한 해제,"거대용, 거목 던전에서 요일 {@yellow}입장 제한이 해제{@default}됩니다.",res/ui/icons/hot_time/hot_time_dg_unlock.png,link_dungeon,배틀메뉴 던전탭으로 이동,"키 값이 1이면 거대용, 거목 던전의 전 속성 요일별 입장 제한을 해제"
dg_item_up,1,5,"1,2,3,4,5",,요일 던전 보상 획득량 증가,"거대용, 거목 던전에서 진화석, 열매 획득량이 {@yellow}{1}% 증가{@default}합니다.",res/ui/icons/hot_time/hot_time_dg_item_up.png,link_dungeon,배틀메뉴 던전탭으로 이동,"{아이템 수량} + ({아이템 수량} * {키 값}) = {핫타임 아이템 수량}, 진화석, 열매에만 적용"
mastery_dc,0.1,1,0.1~1,,특성 레벨업 비용 할인,드래곤 특성 레벨업 시 골드 비용이 {@yellow}{1}% 할인{@default}됩니다.,res/ui/icons/hot_time/hot_time_mastery_dc.png,link_dragon_mastery,드래곤 특성으로 이동,"(1-{키 값}) * {드래곤 특성 골드 비용} = {핫타임 드래곤 특성 골드 비용}, 소수점 내림"
dg_gt_st_dc,0.1,1,0.1~1,,거목 던전 날개 할인,거목 던전에서 날개 소비량이 {@yellow}{1}% 할인{@default}됩니다.,res/ui/icons/hot_time/hot_time_dg_gt_st_dc.png,ply_tree,거목던전으로 이동,"(1-{키 값}) * {거목 날개 소비량} = {핫타임 거목 날개 소비량}, 소수점 내림"
dg_gd_st_dc,0.1,1,0.1~1,,거대용 던전 날개 할인,거대용 던전에서 날개 소비량이 {@yellow}{1}% 할인{@default}됩니다.,res/ui/icons/hot_time/hot_time_dg_gd_st_dc.png,ply_ev,거대용던전으로 이동,"(1-{키 값}) * {거대용 날개 소비량} = {핫타임 거대용 날개 소비량}, 소수점 내림"
