stage_id,reward,r_difficult,r_chapter_info,r_stage_info
1110104,703007;1,normal,챕터1,스테이지4
1110108,703007;1,normal,챕터1,스테이지8
1110204,703007;2,normal,챕터2,스테이지4
1110208,703002;1,normal,챕터2,스테이지8
1110304,703007;3,normal,챕터3,스테이지4
1110308,703002;2,normal,챕터3,스테이지8
1110404,703007;1,normal,챕터4,스테이지4
1110408,703007;1,normal,챕터4,스테이지8
1110504,703007;2,normal,챕터5,스테이지4
1110508,703003;1,normal,챕터5,스테이지8
1110604,703007;1,normal,챕터6,스테이지4
1110608,703007;1,normal,챕터6,스테이지8
1110704,703007;2,normal,챕터7,스테이지4
1110708,703003;1,normal,챕터7,스테이지8
1110804,703007;1,normal,챕터8,스테이지4
1110808,703007;1,normal,챕터8,스테이지8
1110904,703007;2,normal,챕터9,스테이지4
1110908,703003;1,normal,챕터9,스테이지8
1111004,703008;1,normal,챕터10,스테이지4
1111008,703008;1,normal,챕터10,스테이지8
1111104,703008;2,normal,챕터11,스테이지4
1111108,703003;1,normal,챕터11,스테이지8
1111204,703009;1,normal,챕터12,스테이지4
1111208,703005;1,normal,챕터12,스테이지8
1120104,703008;1,hard,챕터1,스테이지4
1120108,703004;1,hard,챕터1,스테이지8
1120204,703008;2,hard,챕터2,스테이지4
1120208,703004;1,hard,챕터2,스테이지8
1120304,703008;2,hard,챕터3,스테이지4
1120308,703004;1,hard,챕터3,스테이지8
1120404,703008;2,hard,챕터4,스테이지4
1120408,703004;2,hard,챕터4,스테이지8
1120504,703008;3,hard,챕터5,스테이지4
1120508,703004;3,hard,챕터5,스테이지8
1120604,703009;1,hard,챕터6,스테이지4
1120608,703005;1,hard,챕터6,스테이지8
1120704,703008;1,hard,챕터7,스테이지4
1120708,703008;1,hard,챕터7,스테이지8
1120804,703008;2,hard,챕터8,스테이지4
1120808,703008;2,hard,챕터8,스테이지8
1120904,703008;3,hard,챕터9,스테이지4
1120908,703005;1,hard,챕터9,스테이지8
1121004,703009;1,hard,챕터10,스테이지4
1121008,703009;1,hard,챕터10,스테이지8
1121104,703009;1,hard,챕터11,스테이지4
1121108,703009;2,hard,챕터11,스테이지8
1121204,703010;1,hard,챕터12,스테이지4
1121208,703006;1,hard,챕터12,스테이지8
