id,t_name,res_icon,res,target,val_1,val_2,desc,to_programmer
241000,스킬 없음,x,x,x,0,0,아무런 효과가 없다,
241001,공격력 증가,x,x,x,30,0,모든 아군의 공격력 30% 증가,
241002,마력 증가,x,x,x,30,0,모든 아군의 마력 30% 증가,
241003,일제 공격,x,x,x,15,0,"모든 아군의 공격력, 마력 15% 증가",
241004,피해 흡수,x,x,x,1,0,모든 아군에게 1회 피해를 무효화 하는 보호막 생성,모든 보호막류 스킬의 최상위에 적용한다.
241005,방어력 증가,x,x,x,30,0,모든 아군의 방어력 30% 증가,
241006,저항 증가,x,x,x,30,0,모든 아군의 저항 30% 증가,
241007,웅크리기,x,x,x,15,0,"모든 아군의 방어력, 저항 15% 증가",
241008,전투준비1,x,x,1,100,0,1번에 위치한 드래곤의 차지 포인트를 최대치로 회복,target번 드래곤의 차지 포인트를 val_1% 만큼 회복
241009,전투준비2,x,x,2,100,0,2번에 위치한 드래곤의 차지 포인트를 최대치로 회복,target번 드래곤의 차지 포인트를 val_1% 만큼 회복
241010,전투준비3,x,x,3,100,0,3번에 위치한 드래곤의 차지 포인트를 최대치로 회복,target번 드래곤의 차지 포인트를 val_1% 만큼 회복
241011,전투준비4,x,x,4,100,0,4번에 위치한 드래곤의 차지 포인트를 최대치로 회복,target번 드래곤의 차지 포인트를 val_1% 만큼 회복
241012,전투준비5,x,x,5,100,0,5번에 위치한 드래곤의 차지 포인트를 최대치로 회복,target번 드래곤의 차지 포인트를 val_1% 만큼 회복
