f_type,t_name,att,type,rarity,min,max,t_desc,comment
fruit_atk_01,공격력 열매 하급,공격,atk,1,2,10,[공격]공격력을 2~10만큼 상승 시킨다.,공격력
fruit_atk_02,공격력 열매 중급,공격,atk,2,4,10,[공격]공격력을 4~10만큼 상승 시킨다.,공격력
fruit_atk_03,공격력 열매 상급,공격,atk,3,6,10,[공격]공격력을 6~10만큼 상승 시킨다.,공격력
fruit_atk_04,공격력 열매 최상급,공격,atk,4,8,10,[공격]공격력을 8~10만큼 상승 시킨다.,공격력
fruit_def_01,방어력 열매 하급,방어,def,1,1,5,[방어]방어력을 1~5만큼 상승 시킨다.,방어력
fruit_def_02,방어력 열매 중급,방어,def,2,2,5,[방어]방어력을 2~5만큼 상승 시킨다.,방어력
fruit_def_03,방어력 열매 상급,방어,def,3,3,5,[방어]방어력을 3~5만큼 상승 시킨다.,방어력
fruit_def_04,방어력 열매 최상급,방어,def,4,4,5,[방어]방어력을 4~5만큼 상승 시킨다.,방어력
fruit_aspd_01,공격 속도 열매 하급,공격,aspd,1,0.02,0.2,[공격]공격 속도를 0.02~0.2만큼 상승 시킨다.,공격 속도
fruit_aspd_02,공격 속도 열매 중급,공격,aspd,2,0.04,0.2,[공격]공격 속도를 0.04~0.2만큼 상승 시킨다.,공격 속도
fruit_aspd_03,공격 속도 열매 상급,공격,aspd,3,0.8,0.2,[공격]공격 속도를 0.8~0.2만큼 상승 시킨다.,공격 속도
fruit_aspd_04,공격 속도 열매 최상급,공격,aspd,4,0.16,0.2,[공격]공격 속도를 0.16~0.2만큼 상승 시킨다.,공격 속도
fruit_avoid_01,회피 열매 하급,전술,avoid,1,0.02,0.2,[전술]회피를 0.02~0.2만큼 상승 시킨다.,회피
fruit_avoid_02,회피 열매 중급,전술,avoid,2,0.04,0.2,[전술]회피를 0.04~0.2만큼 상승 시킨다.,회피
fruit_avoid_03,회피 열매 상급,전술,avoid,3,0.8,0.2,[전술]회피를 0.8~0.2만큼 상승 시킨다.,회피
fruit_avoid_04,회피 열매 최상급,전술,avoid,4,0.16,0.2,[전술]회피를 0.16~0.2만큼 상승 시킨다.,회피
fruit_hp_01,체력 열매 하급,방어,hp,1,20,100,[방어]체력을 20~100만큼 상승 시킨다.,체력
fruit_hp_02,체력 열매 중급,방어,hp,2,40,100,[방어]체력을 40~100만큼 상승 시킨다.,체력
fruit_hp_03,체력 열매 상급,방어,hp,3,60,100,[방어]체력을 60~100만큼 상승 시킨다.,체력
fruit_hp_04,체력 열매 최상급,방어,hp,4,80,100,[방어]체력을 80~100만큼 상승 시킨다.,체력
fruit_hit_rate_01,적중 열매 하급,전술,hit_rate,1,0.02,0.2,[전술]적중을 0.02~0.2만큼 상승 시킨다.,적중
fruit_hit_rate_02,적중 열매 중급,전술,hit_rate,2,0.04,0.2,[전술]적중을 0.04~0.2만큼 상승 시킨다.,적중
fruit_hit_rate_03,적중 열매 상급,전술,hit_rate,3,0.8,0.2,[전술]적중을 0.8~0.2만큼 상승 시킨다.,적중
fruit_hit_rate_04,적중 열매 최상급,전술,hit_rate,4,0.16,0.2,[전술]적중을 0.16~0.2만큼 상승 시킨다.,적중
fruit_cri_dmg_01,치명 피해 열매 하급,전술,cri_dmg,1,0.4,1,[전술]치명 피해를 0.4~1만큼 상승 시킨다.,치명 피해
fruit_cri_dmg_02,치명 피해 열매 중급,전술,cri_dmg,2,0.6,1,[전술]치명 피해를 0.6~1만큼 상승 시킨다.,치명 피해
fruit_cri_dmg_03,치명 피해 열매 상급,전술,cri_dmg,3,0.8,1,[전술]치명 피해를 0.8~1만큼 상승 시킨다.,치명 피해
fruit_cri_dmg_04,치명 피해 열매 최상급,전술,cri_dmg,4,1,1,[전술]치명 피해를 1~1만큼 상승 시킨다.,치명 피해
fruit_cri_chance_01,치명 확률 열매 하급,공격,cri_chance,1,0.02,0.2,[공격]치명 확률을 0.02~0.2만큼 상승 시킨다.,치명 확률
fruit_cri_chance_02,치명 확률 열매 중급,공격,cri_chance,2,0.04,0.2,[공격]치명 확률을 0.04~0.2만큼 상승 시킨다.,치명 확률
fruit_cri_chance_03,치명 확률 열매 상급,공격,cri_chance,3,0.8,0.2,[공격]치명 확률을 0.8~0.2만큼 상승 시킨다.,치명 확률
fruit_cri_chance_04,치명 확률 열매 최상급,공격,cri_chance,4,0.16,0.2,[공격]치명 확률을 0.16~0.2만큼 상승 시킨다.,치명 확률
fruit_cri_avoid_01,치명 방어 열매 하급,방어,cri_avoid,1,0.04,0.1,[방어]치명 방어를 0.04~0.1만큼 상승 시킨다.,치명 방어
fruit_cri_avoid_02,치명 방어 열매 중급,방어,cri_avoid,2,0.06,0.1,[방어]치명 방어를 0.06~0.1만큼 상승 시킨다.,치명 방어
fruit_cri_avoid_03,치명 방어 열매 상급,방어,cri_avoid,3,0.08,0.1,[방어]치명 방어를 0.08~0.1만큼 상승 시킨다.,치명 방어
fruit_cri_avoid_04,치명 방어 열매 최상급,방어,cri_avoid,4,0.1,0.1,[방어]치명 방어를 0.1~0.1만큼 상승 시킨다.,치명 방어
fruit_reset_01,망각의 열매,x,reset,1,0,0,친밀도 레벨을 초기화 시킨다.,초기화
