did,t_name,rarity,test,rate,hatch_rate,hatcling_rate,adult_rate
120011,파워 드래곤,legend,1,2,70,20,10
120012,워터파워 드래곤,legend,1,2,70,20,10
120014,슈퍼파워 드래곤,legend,1,2,70,20,10
120015,메가파워 드래곤,legend,1,2,70,20,10
120021,램곤,rare,1,5,70,20,10
120022,물램곤,rare,1,5,70,20,10
120023,불램곤,rare,1,5,70,20,10
120051,애플칙,rare,1,5,70,20,10
120052,라임칙,rare,1,5,70,20,10
120071,땅스파인,rare,1,5,70,20,10
120072,물스파인,rare,0,5,70,20,10
120074,빛스파인,rare,0,5,70,20,10
120075,어둠스파인,rare,0,5,70,20,10
120081,땅리프드래곤,common,1,30,70,20,10
120082,물리프드래곤,common,1,30,70,20,10
120083,불리프드래곤,common,1,30,70,20,10
120091,땅테일 드래곤,common,0,30,70,20,10
120092,물테일 드래곤,common,1,30,70,20,10
120093,불테일 드래곤,common,0,30,70,20,10
120094,빛테일 드래곤,common,0,30,70,20,10
120095,어둠테일 드래곤,common,0,30,70,20,10
120141,땅퍼플립스 드래곤,common,0,30,70,20,10
120142,물퍼플립스 드래곤,common,1,30,70,20,10
120143,불퍼플립스 드래곤,common,0,30,70,20,10
120144,빛퍼플립스 드래곤,common,0,30,70,20,10
120145,어둠퍼플립스 드래곤,common,0,30,70,20,10
120161,땅핑크벨,rare,1,5,70,20,10
120162,물핑크벨,rare,1,5,70,20,10
120164,빛핑크벨,rare,1,5,70,20,10
120165,어둠핑크벨,rare,1,5,70,20,10
120181,땅청룡,common,0,30,70,20,10
120183,불청룡,common,1,30,70,20,10
120184,빛청룡,common,0,30,70,20,10
120185,어둠청룡,common,0,30,70,20,10
120191,땅리티오,rare,1,5,70,20,10
120192,물리티오,rare,1,5,70,20,10
120193,불리티오,rare,1,5,70,20,10
120194,빛리티오,rare,1,5,70,20,10
120195,어둠리티오,rare,1,5,70,20,10
120201,땅허리케인,hero,0,10,70,20,10
120202,물허리케인,hero,0,10,70,20,10
120203,불허리케인,hero,0,10,70,20,10
120204,빛허리케인,hero,0,10,70,20,10
120213,불가루다,hero,1,10,70,20,10
120215,어둠가루다,hero,1,10,70,20,10
120271,땅붐버,common,1,30,70,20,10
120272,물붐버,common,1,30,70,20,10
120273,불붐버,common,1,30,70,20,10
120274,빛붐버,common,1,30,70,20,10
120294,빛고대 신룡,legend,1,2,70,20,10
120295,어둠고대 신룡,legend,0,2,70,20,10
120322,물크레센트 드래곤,rare,1,5,70,20,10
120324,빛크레센트 드래곤,rare,1,5,70,20,10
120325,어둠크레센트 드래곤,rare,1,5,70,20,10
120331,땅서펀트 드래곤,common,0,30,70,20,10
120332,물서펀트 드래곤,common,0,30,70,20,10
120333,불서펀트 드래곤,common,0,30,70,20,10
120335,어둠서펀트 드래곤,common,1,30,70,20,10
