gqid,t_desc,r_clear_type,clear_type,clear_value,score,achievement_id,,,,,,
20001,마스터 테이머의 길!,유저레벨 {1} 달성,u_lv,2,10,CgkIxvnjo9EcEAIQAQ,,,,,,
20002,초보 테이머 나가신다!,유저레벨 {1} 달성,u_lv,10,20,CgkIxvnjo9EcEAIQAg,,,,,,
20003,어엿한 테이머,유저레벨 {1} 달성,u_lv,20,30,CgkIxvnjo9EcEAIQAw,,,,,,
20004,멀고 험난한 테이머의 길,유저레벨 {1} 달성,u_lv,30,40,CgkIxvnjo9EcEAIQBA,,,,,,
20005,전설의 테이머!,유저레벨 {1} 달성,u_lv,40,50,CgkIxvnjo9EcEAIQBQ,,,,,,
20006,테이머 마스터!,유저레벨 {1} 달성,u_lv,50,100,CgkIxvnjo9EcEAIQBg,,,,,,
20007,정령의 숲 구원자,모험 {1}스테이지 클리어,clr_stg,1110107,30,CgkIxvnjo9EcEAIQBw,,,,,,
20008,사파이어 해 구원자,모험 {1}스테이지 클리어,clr_stg,1110207,30,CgkIxvnjo9EcEAIQCA,,,,,,
20009,칼바람 협곡의 구원자,모험 {1}스테이지 클리어,clr_stg,1110307,30,CgkIxvnjo9EcEAIQCQ,,,,,,
20010,화룡의 땅 구원자,모험 {1}스테이지 클리어,clr_stg,1110407,30,CgkIxvnjo9EcEAIQCg,,,,,,
20011,하늘유적의 구원자,모험 {1}스테이지 클리어,clr_stg,1110507,30,CgkIxvnjo9EcEAIQCw,,,,,,
20012,칠흑의 성 구원자,모험 {1}스테이지 클리어,clr_stg,1110607,30,CgkIxvnjo9EcEAIQDA,,,,,,
20013,맹독의 샘 구원자,모험 {1}스테이지 클리어,clr_stg,1110707,30,CgkIxvnjo9EcEAIQDQ,,,,,,
20014,밤사냥꾼 둥지의 구원자,모험 {1}스테이지 클리어,clr_stg,1110807,40,CgkIxvnjo9EcEAIQDg,,,,,,
20015,심연의 바다 구원자,모험 {1}스테이지 클리어,clr_stg,1110907,40,CgkIxvnjo9EcEAIQDw,,,,,,
20016,바이델 외곽 숲의 구원자,모험 {1}스테이지 클리어,clr_stg,1111007,40,CgkIxvnjo9EcEAIQEA,,,,,,
20017,황혼의 신전 구원자,모험 {1}스테이지 클리어,clr_stg,1111107,40,CgkIxvnjo9EcEAIQEQ,,,,,,   
20018,검은 요새 구원자,모험 {1}스테이지 클리어,clr_stg,1111207,50,CgkIxvnjo9EcEAIQEg,,,,,,
20019,생명의 탄생,드래곤 알 {1}회 부화하기,egg,1,10,CgkIxvnjo9EcEAIQEw,,,,,,
20020,나는 드래곤 소환사!,드래곤 {1}회 소환하기,smn,1,10,CgkIxvnjo9EcEAIQFA,,,,,,
20021,탑을 오르는 자!,고대의 탑 {1}회 플레이,ply_tower,1,10,CgkIxvnjo9EcEAIQFQ,,,,,,
20022,거대용 격추!,진화재료던전 {1}회 플레이,ply_ev,1,10,CgkIxvnjo9EcEAIQFg,,,,,,
20023,아낌 없이 주는 나무,거목던전 {1}회 플레이,ply_tree,1,10,CgkIxvnjo9EcEAIQFw,,,,,,
20024,내 꿈꿔,악몽던전 {1}회 플레이,ply_nm,1,10,CgkIxvnjo9EcEAIQGA,,,,,,
20025,싸움꾼!,콜로세움 {1}회 플레이,ply_clsm,1,10,CgkIxvnjo9EcEAIQGQ,,,,,,
20026,나는 탐험왕이 될꺼야,탐험 {1}회 보내기,ply_epl,1,10,CgkIxvnjo9EcEAIQGg,,,,,,
20027,드래곤의 장비!,룬 장착,r_eq,1,10,CgkIxvnjo9EcEAIQGw,,,,,,
20028,강화의 시작,룬 {1}강화 만들기,r_enc,1,10,CgkIxvnjo9EcEAIQHA,,,,,,
20029,마이더스의 손,룬 {1}강화 만들기,r_enc,15,100,CgkIxvnjo9EcEAIQHQ,,,,,,
20030,너 내 동료가 되라,테이머 {1}명 영입,t_get,3,30,CgkIxvnjo9EcEAIQHg,,,,,,
20031,영입왕,테이머 {1}명 영입,t_get,6,100,CgkIxvnjo9EcEAIQHw,,,,,,
20032,마스터,마스터,t_get,7,10,CgkIxvnjo9EcEAIQIA,,,,,,
