help_id,category,t_category,location,t_title,t_content
1,battle,전투,,전투란?,"전투[명사]
1. 두 편의 군대가 조직적으로 무장하여 싸움.
2. [북한어]무엇을 쟁취하거나 발전시키기 위한 격렬한 활동."
2,basic_atk,기본 공격,,기본 공격,"전투 진행 중 드래곤은 다음과 같은 공격을 진행합니다.
- 기본공격
- 패시브 스킬"
3,basic_atk,,,기본 공격 1,기본 공격은 드래곤이 성향에 따라 하나의 적에게 공격을 합니다.
4,basic_atk,,,기본 공격 2,기본 공격은 업그레이드 할 수 없습니다.
5,basic_atk,,,패시브 스킬 1,드래곤에 따라 자동 공격하는 패시브 스킬이 있습니다.
6,basic_atk,,,패시브 스킬 2,배가 고픕니다.
7,drag_skill,드래그 스킬,,드래그 스킬,"전투 중 아이콘을 터치하거나, 아이콘을 클릭한 후 적 쪽으로 드래그하면 드래그 스킬을 사용합니다."
8,drag_skill,,,드래그 스킬 강화,
9,dragon,드래곤,,레벨업,"드래곤에게 다른 드래곤이나 슬라임을 재료로 하여 더 성장 시킬 수 있다. 재료로 사용된 드래곤은 사라진다. 
슬라임은 드래곤 보다 더 많이 대상 드래곤을 성장 시킨다."
10,dragon,,,진화,"드래곤은 특정 진화 재료를 제물로 하여 진화할 수 있다. 
진화하면 드래곤의 능력치가 대폭 상승하고 외형도 변한다.
드래곤은 최대 2번(성룡)까지 진화 가능하다."
11,dragon,,,승급,별 갯수 만큼의 드래곤을 제물로 하여 승급
12,dragon,,,스킬 강화,동종의 드래곤을 사용하여 스킬 레벨업
13,dragon,,,작별,작별을 하게 되면 드래곤이 집으로 돌아가고 인연 포인트를 획득 한다
14,rune,룬,,강화,"강화를 한다.
강화는 실패할 수도 있으며 실패를 하더라도 룬이 사라지지는 않는다."
15,mode,모드,,모험모드,유타칸 대륙을 지키는 특별한 모험!
16,mode,,,진화 재료 던전,드래곤 진화를 위한 재료를 모은다.
17,mode,,,콜로세움,다른 유저와 자웅을 겨룰 수 있다.
18,mode,,,거목 던전,거목!~~
19,mode,,,악몽 던전,배경 효과가 걸출하다
20,mode,,,인연 던전,대상 드래곤으로 교환 할 수 있는 인연 포인트를 얻을 수 있는 던전
