lv,rune_slot,rune_lvup_price,dragon_slot,dragon_lvup_price
0,50,cash;5,50,cash;5
1,55,cash;5,55,cash;5
2,60,cash;5,60,cash;5
3,65,cash;5,65,cash;5
4,70,cash;5,70,cash;5
5,75,cash;10,75,cash;10
6,80,cash;10,80,cash;10
7,85,cash;10,85,cash;10
8,90,cash;10,90,cash;10
9,95,cash;10,95,cash;10
10,100,cash;15,100,cash;15
11,105,cash;15,105,cash;15
12,110,cash;15,110,cash;15
13,115,cash;15,115,cash;15
14,120,cash;15,120,cash;15
15,125,cash;20,125,cash;20
16,130,cash;20,130,cash;20
17,135,cash;20,135,cash;20
18,140,cash;20,140,cash;20
19,145,cash;20,145,cash;20
20,150,,150,
