item,category,t_name,t_desc,icon,type,full_type,attr,role,color,rarity,grade,evolution,did,count,sale_price,get_region,package
700001,simple,다이아,"매우 위험한 광산에서만 얻을 수 있는 다이아몬드 종류의 보석. 얻기 힘든 만큼 찾는 사람이 가치가 높아 골드로 교환하는 것은 물론, 많은 아이템을 사는 데에도 사용한다.",res/ui/icon/item/cash.png,cash,cash,,,,,,,,1,328,,
700002,simple,골드,"유타칸 대륙의 공식 화폐. 이를 이용하여 대부분의 상거래가 이루어지며, 어떠한 드래곤은 골드를 매우 좋아한다고 한다.",res/ui/icon/item/gold.png,gold,gold,,,,,,,,1,327,,
700003,simple,우정의 징표,"친구와의 우정을 나타내는 징표. 친구에게 도움을 주거나 받을 때, 항상 우정의 징표를 교환하는 것을 잊지 말자.",res/ui/icon/item/fp.png,fp,fp,,,,,,,,1,102,,
700005,simple,명예코인,콜로세움에서 자신의 강함을 증명하면 제공되는 일종의 훈장,res/ui/icon/item/honor.png,honor,honor,,,,,,,,1,331,,
700006,simple,훈장,훈장 획득,res/ui/icon/item/badge.png,badge,badge,,,,,,,,1,328,,
700007,simple,자수정,몬스터들을 정화시키면 간혹 얻을 수 있는 신비한 빛을 내는 보석. 상점에서 다른 아이템들과 교환할 수 있다.,res/ui/icon/item/amethyst.png,amethyst,amethyst,,,,,,,,1,5000,,
700008,simple,마일리지,부화소에서 알을 부화시켰을 때 얻을 수 있는 미지의 포인트,res/ui/icon/item/mileage.png,mileage,mileage,,,,,,,,,,,
700009,simple,토파즈,"고대의 빛이 깃든 보석. 드래곤들이 라테아로 떠난 자리에 간혹 남는 매우 희귀한 보석으로, 일반적인 방법으로는 얻을 수 없다.",res/ui/icon/item/topaz.png,topaz,topaz,,,,,,,,,,,
700101,simple,날개,테이머들이 모험을 하는데 사용하는 날개 모양의 입장권. 테이머와 드래곤이 강해지기 위해서는 많이 모아두는 것이 좋다.,res/ui/icon/item/staminas_st.png,staminas_st,staminas_st,,,,,,,,1,330,,
700102,simple,콜로세움 입장권,"다른 테이머와 강함을 겨룰 수 있는 콜로세움의 입장권. 콜로세움에서 치룰 수 있는 대전의 수가 한정되어 있는만큼, 진정한 테이머로 인정받은 자들에게만 지급된다.",res/ui/icon/item/staminas_pvp.png,staminas_pvp,staminas_pvp,,,,,,,,1,332,,
700103,simple,고대의탑 입장권,"미지의 존재가 수호하는 고대의 탑에 들어가기 위한 입장권. 그들의 허락을 받지 못한 자, 입장권을 얻을 수 없다고 한다.",res/ui/icon/inbox/inbox_staminas_nightmare.png,staminas_tower,staminas_tower,,,,,,,,1,500,,
700201,simple,캡슐,다른 세계에서 온 것 같은 묘한 기운이 흐르는 캡슐,res/ui/icon/item/capsule.png,capsule,capsule,,,,,,,,1,500,,
700202,simple,이벤트 재화,개발용 이벤트 재화,res/ui/icon/item/event.png,event,event,,,,,,,,1,500,,
700301,simple,닉네임 변경권,닉네임 변경 시 사용하는 변경권. 한번 닉네임을 바꾸면 되돌릴 수 없으니 신중히 사용하세요.,res/ui/icon/item/rename.png,rename,rename,,,,,,,,1,500,,
700401,simple,아이템 자동 획득,몬스터를 정화시켰을 때 가끔씩 발견되는 아이템들을 자동으로 획득할 수 있도록 해주는 신비한 마법 아이템.,res/ui/icon/item/developing.png,auto_root,auto_root,,,,,,,,1,500,,
701010,stack,운석 잔해,일반 등급 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_common_01.png,evolution_stone,evolution_stone_common_01,,,,common,1,,,1,104,,
701020,stack,세계수의 씨앗,희귀 등급 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_rare_01.png,evolution_stone,evolution_stone_rare_01,,,,rare,1,,,1,105,,
701030,stack,영롱한 바위,영웅 등급 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_hero_01.png,evolution_stone,evolution_stone_hero_01,,,,hero,1,,,1,106,,
701040,stack,수정 용상,전설 등급 드래곤의 진화 재료,res/ui/icon/item/evolution_stone_legend_01.png,evolution_stone,evolution_stone_legend_01,,,,legend,1,,,1,107,,
