gid,type,order,weight,did,res,t_desc,min_level,max_level
8001,patch,1,,,res/ui/loading_tip/loading_01.png,,,
8002,patch,2,,,res/ui/loading_tip/loading_02.png,,,
8003,patch,3,,,res/ui/loading_tip/loading_03.png,,,
8004,patch,4,,,res/ui/loading_tip/loading_04.png,,,
8005,patch,5,,,res/ui/loading_tip/tamer_select.png,드래곤 빌리지M에 등장하는 테이머들은 각각의 방법으로 드래곤들의 전투를 돕습니다.,,
8006,patch,6,,,res/ui/loading_tip/dragon_evolution.png,"거대용 던전에서 진화 재료를 모으면 드래곤을 진화시킬 수 있습니다.
진화한 드래곤은 모습이 변할 뿐만 아니라, 새로운 스킬을 배웁니다.",,
8007,patch,7,,,res/ui/loading_tip/tamer_costume.png,"테이머 선택 화면에서 테이머 코스튬을 구매하고 변경할 수 있습니다.
마을에서 개성을 뽐내 보세요!",,
1001,in_adventure,,10,,res/ui/loading_tip/fomation_change.png,"드래곤들의 진형에 따라 전투의 결과가 달라질 수 있습니다.
보유하신 드래곤들에게 가장 잘 어울리는 진형을 골라보세요!",,
1002,in_adventure,,10,,res/ui/loading_tip/dargon_upgrade.png,"동일한 등급의 드래곤들의 도움을 받으면, 드래곤의 등급을 올릴 수 있습니다.
등급을 올리기 위해서는 현재 등급의 수만큼의 드래곤의 도움이 필요합니다.",,
1003,in_adventure,,10,,res/ui/loading_tip/dragon_evolution.png,"거대용 던전에서 진화 재료를 모으면 드래곤을 진화시킬 수 있습니다.
진화한 드래곤은 모습이 멋지게 변할 뿐만 아니라, 새로운 스킬을 배웁니다.",,
1004,in_adventure,,10,,res/ui/loading_tip/dragon_levelup.png,드래곤 경험치를 사용해 드래곤을 성장시켜 보세요!,,
1005,in_adventure,,10,,res/ui/loading_tip/dragon_skill_enhance.png,동일한 이름의 드래곤의 도움을 받으면 해당 드래곤이 가진 스킬 중 하나가 무작위로 강화됩니다.,,
