id,version,r_version_num,step,r_ver_step,idx,item_id,val,pick_weight,r_real_weight,r_item_name,noti_level
10101,s202402,1,1,10100,1,704900,100,100,1.00%,룬 연마석,
10102,s202402,1,1,10100,2,779235,1,500,5.00%,희귀 스킬 슬라임,
10103,s202402,1,1,10100,3,702041,50,500,5.00%,최상급 땅의 열매,
10104,s202402,1,1,10100,4,702042,50,500,5.00%,최상급 물의 열매,
10105,s202402,1,1,10100,5,702043,50,500,5.00%,최상급 불의 열매,
10106,s202402,1,1,10100,6,702044,50,500,5.00%,최상급 빛의 열매,
10107,s202402,1,1,10100,7,702045,50,500,5.00%,최상급 어둠의 열매,
10108,s202402,1,1,10100,8,703016,2,500,5.00%,신비의 알,
10109,s202402,1,1,10100,9,703004,1,500,5.00%,환상의 알,
10110,s202402,1,1,10100,10,760003,40,700,7.00%,희귀 강화 포인트,
10111,s202402,1,1,10100,11,700007,200,700,7.00%,자수정,
10112,s202402,1,1,10100,12,700101,100,700,7.00%,날개,
10113,s202402,1,1,10100,13,700002,250000,700,7.00%,골드,
10114,s202402,1,1,10100,14,700017,50000,1000,10.00%,드래곤 경험치,
10115,s202402,1,1,10100,15,700101,50,1000,10.00%,날개,
10116,s202402,1,1,10100,16,700002,100000,1100,11.00%,골드,
10201,s202402,1,2,10200,1,700014,200,100,1.00%,아모르의 서,
10202,s202402,1,2,10200,2,703004,2,300,3.00%,환상의 알,
10203,s202402,1,2,10200,3,703016,2,400,4.00%,신비의 알,
10204,s202402,1,2,10200,4,703007,2,400,4.00%,대지의 알,
10205,s202402,1,2,10200,5,703008,2,400,4.00%,얼음의 알,
10206,s202402,1,2,10200,6,703009,2,400,4.00%,화염의 알,
10207,s202402,1,2,10200,7,703010,1,400,4.00%,신성의 알,
10208,s202402,1,2,10200,8,703011,1,400,4.00%,암흑의 알,
10209,s202402,1,2,10200,9,701013,50,500,5.00%,상급 진화의 보석,
10210,s202402,1,2,10200,10,701113,50,500,5.00%,상급 땅의 정기,
10211,s202402,1,2,10200,11,701123,50,500,5.00%,상급 물의 정기,
10212,s202402,1,2,10200,12,701133,50,500,5.00%,상급 불의 정기,
10213,s202402,1,2,10200,13,701143,50,500,5.00%,상급 빛의 정기,
10214,s202402,1,2,10200,14,701153,50,500,5.00%,상급 어둠의 정기,
10215,s202402,1,2,10200,15,700101,200,1000,10.00%,날개,
10216,s202402,1,2,10200,16,760003,60,1000,10.00%,희귀 강화 포인트,
10217,s202402,1,2,10200,17,779235,1,1000,10.00%,희귀 스킬 슬라임,
10218,s202402,1,2,10200,18,700002,500000,1200,12.00%,골드,
10301,s202402,1,3,10300,1,700330,15,100,1.00%,드래곤 소환권,
10302,s202402,1,3,10300,2,703003,1,200,2.00%,초월의 알,
10303,s202402,1,3,10300,3,703004,5,300,3.00%,환상의 알,
10304,s202402,1,3,10300,4,741031,3,300,3.00%,영웅 특성 재료,
10305,s202402,1,3,10300,5,760004,100,300,3.00%,영웅 강화 포인트,
10306,s202402,1,3,10300,6,779245,1,500,5.00%,영웅 스킬 슬라임,
10307,s202402,1,3,10300,7,779144,5,500,5.00%,★4 슈퍼 슬라임,
10308,s202402,1,3,10300,8,703016,5,500,5.00%,신비의 알,
10309,s202402,1,3,10300,9,703007,5,500,5.00%,대지의 알,
10310,s202402,1,3,10300,10,703008,5,500,5.00%,얼음의 알,
10311,s202402,1,3,10300,11,703009,5,500,5.00%,화염의 알,
10312,s202402,1,3,10300,12,703010,3,500,5.00%,신성의 알,
10313,s202402,1,3,10300,13,703011,3,500,5.00%,암흑의 알,
10314,s202402,1,3,10300,14,760003,100,700,7.00%,희귀 강화 포인트,
10315,s202402,1,3,10300,15,779235,1,700,7.00%,희귀 스킬 슬라임,
10316,s202402,1,3,10300,16,779134,5,1000,10.00%,★3 슈퍼 슬라임,
10317,s202402,1,3,10300,17,700101,500,1000,10.00%,날개,
10318,s202402,1,3,10300,18,700002,2000000,1400,14.00%,골드,
10401,s202402,1,4,10400,1,703005,1,100,1.00%,전설의 알,
10402,s202402,1,4,10400,2,704900,300,100,1.00%,룬 연마석,
10403,s202402,1,4,10400,3,700651,5,200,2.00%,룬 10개 뽑기 상자,
10404,s202402,1,4,10400,4,741041,1,200,2.00%,전설 특성 재료,
10405,s202402,1,4,10400,5,779215,1,500,5.00%,전설 스킬 슬라임,
10406,s202402,1,4,10400,6,703003,1,500,5.00%,초월의 알,
10407,s202402,1,4,10400,7,779154,5,500,5.00%,★5 슈퍼 슬라임,
10408,s202402,1,4,10400,8,760005,40,500,5.00%,전설 강화 포인트,
10409,s202402,1,4,10400,9,741031,5,500,5.00%,영웅 특성 재료,
10410,s202402,1,4,10400,10,703019,3,700,7.00%,고대의 알,
10411,s202402,1,4,10400,11,700711,15,700,7.00%,찬란한 날개,
10412,s202402,1,4,10400,12,779245,4,1000,10.00%,영웅 스킬 슬라임,
10413,s202402,1,4,10400,13,779144,8,1000,10.00%,★4 슈퍼 슬라임,
10414,s202402,1,4,10400,14,760004,160,1000,10.00%,영웅 강화 포인트,
10415,s202402,1,4,10400,15,700101,1000,1000,10.00%,날개,
10416,s202402,1,4,10400,16,700002,2000000,1500,15.00%,골드,
10501,s202402,1,5,10500,1,772115,1,300,3.00%,모로스(어둠),2
10502,s202402,1,5,10500,2,703042,1,200,2.00%,신화의 알,2
10503,s202402,1,5,10500,3,700620,1,200,2.00%,한정 드래곤 선택권,2
10504,s202402,1,5,10500,4,700304,1,400,4.00%,전설 드래곤 선택권,2
10505,s202402,1,5,10500,5,700652,1,400,4.00%,룬 천장 뽑기 상자,2
10506,s202402,1,5,10500,6,704900,500,100,1.00%,룬 연마석,1
10507,s202402,1,5,10500,7,703001,1,200,2.00%,빛나는 전설의 알,1
10508,s202402,1,5,10500,8,741041,1,300,3.00%,전설 특성 재료,1
10509,s202402,1,5,10500,9,700651,10,500,5.00%,룬 10개 뽑기 상자,1
10510,s202402,1,5,10500,10,779215,2,500,5.00%,전설 스킬 슬라임,
10511,s202402,1,5,10500,11,700014,500,800,8.00%,아모르의 서,
10512,s202402,1,5,10500,12,700002,15000000,800,8.00%,골드,
10513,s202402,1,5,10500,13,760005,60,1000,10.00%,전설 강화 포인트,
10514,s202402,1,5,10500,14,700330,10,1500,15.00%,드래곤 소환권,
10515,s202402,1,5,10500,15,700002,7500000,1400,14.00%,골드,
10516,s202402,1,5,10500,16,700711,100,1400,14.00%,찬란한 날개,
