mid,t_name,type,res,dark_mode,scale,pattern,rarity,attr,role,size_type,icon,coin,skill_basic,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,atk_max,def_max,hp_max,aspd,cri_chance,cri_dmg,cri_avoid,hit_rate,avoid
130011,땅 몬스터 수호병,swordman,res/character/monster/swordman_@/swordman_@.spine,0,0.8,ignore,common,earth,tanker,s,res/ui/icon/mon/swordman_@.png,2,230001,,,,,,,,,,700,1680,7500,15,5,50,10,0,10
130012,물 몬스터 수호병,swordman,res/character/monster/swordman_@/swordman_@.spine,0,1,ignore,common,water,tanker,s,res/ui/icon/mon/swordman_@.png,2,230001,,,,,,,,,,700,1400,9000,15,5,50,10,0,10
130013,불 몬스터 수호병,swordman,res/character/monster/swordman_@/swordman_@.spine,0,1,ignore,common,fire,tanker,s,res/ui/icon/mon/swordman_@.png,2,230001,,,,,,,,,,840,1400,7500,15,5,50,10,0,10
130014,빛 몬스터 수호병,swordman,res/character/monster/swordman_@/swordman_@.spine,0,1,ignore,common,light,tanker,s,res/ui/icon/mon/swordman_@.png,2,230001,,,,,,,,,,700,1400,7500,15,5,50,20,0,20
130015,어둠 몬스터 수호병,swordman,res/character/monster/swordman_@/swordman_@.spine,0,1,ignore,common,dark,tanker,s,res/ui/icon/mon/swordman_@.png,2,230001,,,,,,,,,,700,1400,7500,30,20,50,10,0,10
130021,땅 몬스터 궁병,archer,res/character/monster/archer_@/archer_@.spine,0,0.75,ignore,common,earth,dealer,s,res/ui/icon/mon/archer_@.png,2,230000,,,,,,,,,,1050,420,5000,20,10,75,5,0,5
130022,물 몬스터 궁병,archer,res/character/monster/archer_@/archer_@.spine,0,1,ignore,common,water,dealer,s,res/ui/icon/mon/archer_@.png,2,230000,,,,,,,,,,1050,350,6000,20,10,75,5,0,5
130023,불 몬스터 궁병,archer,res/character/monster/archer_@/archer_@.spine,0,1,ignore,common,fire,dealer,s,res/ui/icon/mon/archer_@.png,2,230000,,,,,,,,,,1260,350,5000,20,10,75,5,0,5
130024,빛 몬스터 궁병,archer,res/character/monster/archer_@/archer_@.spine,0,1,ignore,common,light,dealer,s,res/ui/icon/mon/archer_@.png,2,230000,,,,,,,,,,1050,350,5000,20,10,75,15,0,15
130025,어둠 몬스터 궁병,archer,res/character/monster/archer_@/archer_@.spine,0,1,ignore,common,dark,dealer,s,res/ui/icon/mon/archer_@.png,2,230000,,,,,,,,,,1050,350,5000,35,25,75,5,0,5
130031,땅 몬스터 마법사,mage,res/character/monster/mage_@/mage_@.spine,0,0.75,ignore,common,earth,dealer,s,res/ui/icon/mon/mage_@.png,2,230000,230004,,,,,,,,,1050,420,5000,20,10,75,5,0,5
130032,물 몬스터 마법사,mage,res/character/monster/mage_@/mage_@.spine,0,1,ignore,common,water,dealer,s,res/ui/icon/mon/mage_@.png,2,230000,230004,,,,,,,,,1050,350,6000,20,10,75,5,0,5
130033,불 몬스터 마법사,mage,res/character/monster/mage_@/mage_@.spine,0,1,ignore,common,fire,dealer,s,res/ui/icon/mon/mage_@.png,2,230000,230004,,,,,,,,,1260,350,5000,20,10,75,5,0,5
130034,빛 몬스터 마법사,mage,res/character/monster/mage_@/mage_@.spine,0,1,ignore,common,light,dealer,s,res/ui/icon/mon/mage_@.png,2,230000,230004,,,,,,,,,1050,350,5000,20,10,75,15,0,15
130035,어둠 몬스터 마법사,mage,res/character/monster/mage_@/mage_@.spine,0,1,ignore,common,dark,dealer,s,res/ui/icon/mon/mage_@.png,2,230000,230004,,,,,,,,,1050,350,5000,35,25,75,5,0,5
130041,땅 몬스터 창병,spearman,res/character/monster/spearman_@/spearman_@.spine,0,0.75,ignore,common,earth,dealer,s,res/ui/icon/mon/spearman_@.png,2,230000,230006,,,,,,,,,1050,420,5000,20,10,75,5,0,5
