mid,r_name,body_1,body_2,body_3,body_4,body_5,body_6,body_7,body_8,body_9,body_10,r_comment
134011,퀸즈 스네이크,0;200;25;bone81,0;50;25;bone34,0;-100;25;bone66,0;-250;25;bone30,0;0;25;bone4,0;0;25;bone24,,,,,세로형
134012,드레이크,0;175;25;bone21,0;-175;25;bone27,80;0;25;bone26,-80;0;25;bone6,0;0;25;bone8,0;0;25;bone10,,,,,다이아몬드형
134013,코카트리스,-103;60;25;bone80,0;0;25;bone5,103.6;60;25;bone21,0;-120;25;bone52,0;0;25;bone56,0;0;25;bone71,,,,,역삼각형(라운드가 약점)
134023,용암거미 여왕,0;170;25,120;0;25,0;-50;25,-120;0;25,,,,,,,ㅗ형
134014,질서 유지장치,0;220;25,0;-130;25,-120;50;25,120;50;25,-220;-210;40,,,,,,네모형
134015,다크닉스,0;170;25,0;-170;25,80;0;25,-80;0;25,,,,,,,
135011,땅의 거대 용,131;290;25,-90;20;25,34;-88;25,-260;-200;25,-310;-4;25,280;-210;25,,,,,
135012,물의 거대 용,131;290;25,-90;20;25,34;-88;25,-260;-200;25,-310;-4;25,280;-210;25,,,,,
135013,불의 거대 용,131;290;25,-90;20;25,34;-88;25,-260;-200;25,-310;-4;25,280;-210;25,,,,,
135014,빛의 거대 용,131;290;25,-90;20;25,34;-88;25,-260;-200;25,-310;-4;25,280;-210;25,,,,,
135015,어둠의 거대 용,131;290;25,-90;20;25,34;-88;25,-260;-200;25,-310;-4;25,280;-210;25,,,,,
135021,거목,150;150;25,150;-150;25,-150;150;25,-150;-150;25,,,,,,,
135022,거목,150;150;25,150;-150;25,-150;150;25,-150;-150;25,,,,,,,
135023,거목,150;150;25,150;-150;25,-150;150;25,-150;-150;25,,,,,,,
135024,거목,150;150;25,150;-150;25,-150;150;25,-150;-150;25,,,,,,,
135025,거목,150;150;25,150;-150;25,-150;150;25,-150;-150;25,,,,,,,
135031,황금 드래곤,150;150;25,150;-150;25,-150;150;25,-150;-150;25,,,,,,,
