sid,skill_form,skill_type,t_name,r_comment,res_icon,res_1,res_scale,res_2,res_3,res_hit,skill_size,animation,motion_type,dmg_type,pos,dir,start_cooldown,chance_type,chance_value,target_formation,target_type,target_count,casting_time,cooldown,power_source,r_note,r_group,r_power_rate,power_rate,ignore,hit,val_1,val_2,val_3,for_gd,add_option_type_1,add_option_target_1,add_option_target_count_1,add_option_trigger_1,add_option_time_1,add_option_rate_1,add_option_source_1,add_option_value_1,add_option_type_2,add_option_target_2,add_option_target_count_2,add_option_trigger_2,add_option_time_2,add_option_rate_2,add_option_source_2,add_option_value_2,add_option_type_3,add_option_target_3,add_option_target_count_3,add_option_trigger_3,add_option_time_3,add_option_rate_3,add_option_source_3,add_option_value_3,add_option_type_4,add_option_target_4,add_option_target_count_4,add_option_trigger_4,add_option_time_4,add_option_rate_4,add_option_source_4,add_option_value_4,desc_1,desc_2,desc_3,desc_4,desc_5,t_desc,to_programmer,t_speech,speech_option
230000,code,missile_move_guide,일반 공격,,res/ui/icons/skill/200243.png,res/missile/missile_arrow/missile_arrow.vrp,0.7,,,,,attack,instant,physical,,0,,basic,1,,enemy_distance_line,1,0,1,atk,,일반_단일_일반,100,300,,1,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주는 공격입니다.,직선으로 이동하는 원거리 공격,,
230001,code,skill_melee_atk,근접 공격,,res/ui/icons/skill/204235.png,,1,,,,,attack_hack,instant,physical,,-1,,basic,1,,enemy_distance_line,1,0,1,atk,,일반_단일_일반,100,300,,1,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주는 근접 공격입니다.,캐릭터가 직접 대상 앞으로 이동하여 공격한다(공격 모션 필요). 공격이 끝나면 제 자리로 돌아온다.,,
230002,code,missile_move_straight,화살 공격,,res/ui/icons/skill/800921.png,res/missile/missile_arrow/missile_arrow.vrp,1,,,,,attack,instant,physical,,-1,,basic,1,,enemy_distance_line,1,0,1,atk,,일반_단일_일반,100,300,,1,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주는 공격입니다.,직선으로 이동하는 원거리 공격,,
230003,code,missile_move_straight,마법 공격,,res/ui/icons/skill/205611.png,res/missile/missile_magicshot_earth/missile_magicshot_earth.vrp,1,,,,,attack,instant,magical,,-1,,basic,1,,enemy_distance_line,1,0,1,atk,,일반_단일_일반,100,300,,1,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주는 공격입니다.,,,
230004,code,missile_move_release,마법 공격,,res/ui/icons/skill/205611.png,res/missile/missile_magicshot/missile_magicshot.vrp,1,,,,,attack,instant,magical,,-1,,basic_rate,20,,enemy_hp_low,1,2,15,atk,,일반_단일_스킬,75,150,,2,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,체력이 낮은 대상에게 큰 피해를 줍니다.,,,
230005,code,missile_move_high_angle,창 공격,,res/ui/icons/skill/801221.png,res/missile/missile_spear/missile_spear.png,1,,,,,attack,instant,physical,,-1,,basic,1,,enemy_distance_line,1,0,1,atk,,일반_단일_일반,100,300,,1,100,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,보통의 피해를 주는 공격입니다.,,,
230006,code,missile_move_high_angle,창 스킬,,res/ui/icons/skill/801221.png,res/missile/missile_spear/missile_spear.png,1.5,res/missile/motion_streak/motion_streak_line_@.png,,,,attack,instant,physical,,-1,,indie_rate,20,,enemy_distance_y,1,0,15,atk,,일반_단일_스킬,250,600,,1,100,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,대상에게 큰 피해를 줍니다.,공격력의 300% 피해를 주는 공격,,
230007,code,skill_heal_single,회복,,res/ui/icons/skill/200132.png,res/effect/skill_heal_monster/skill_heal_monster.vrp,1,,,,,attack,instant,magical,,-1,,indie_time,4,,ally_hp_low,1,2,1,atk,,일반_단일_스킬,200,600,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,체력이 낮은 아군의 생명력을 회복시킵니다.,공격력의 400% 회복,,
230008,code,missile_move_high_angle	,폭탄 공격,,res/ui/icons/skill/203311.png,res/missile/missile_bomb_@/missile_bomb_@.spine,1,,res/effect/effect_hit_bomb_@/effect_hit_bomb_@.spine,,,attack,instant,physical,,-1,,basic,1,,enemy_distance_y,1,0,1,atk,,일반_광역_일반,100,200,,1,100,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,무작위 적 대상과 그 주변에게 보통의 피해를 줍니다.,,,
230009,code,missile_move_guide,독침,일벌: 일반 공격,res/ui/icons/skill/203424.png,res/missile/missile_arrow/missile_arrow.vrp,0.7,,,,,attack,instant,physical,,-1,,basic,1,,enemy_distance_line,1,0,1,atk,,일반_단일_일반,100,300,,1,,,800,도트,dot_damage,target,,skill_end,20,25,target_max_hp,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,가까운 대상에게 보통의 피해를 주고 일정 확률로 지속피해를 줍니다.,,,
