mode_id,mode,r_mode,sub_mode,r_sub_mode,mon,tue,wed,thu,fri,sat,sun,br_mon,bv_mon,br_tue,bv_tue,br_wed,bv_wed,br_thu,bv_thu,br_fri,bv_fri,br_sat,bv_sat,br_sun,bv_sun
21100,1,거대용,1,earth,X,X,X,O,X,O,X,,,,,,,,,,,,,,
21200,1,거대용,2,water,X,X,O,X,X,O,X,,,,,,,,,,,,,,
21300,1,거대용,3,fire,O,O,O,O,O,O,O,,,,,,,,,,,,,,
21400,1,거대용,4,light,O,X,X,X,X,X,O,,,,,,,,,,,,,,
21500,1,거대용,5,dark,X,X,X,X,O,X,O,,,,,,,,,,,,,,
22100,2,악몽,1,dealer,O,O,O,O,O,O,O,,,,,,,,,,,,,,
22200,2,악몽,2,tanker,O,O,O,O,O,O,O,,,,,,,,,,,,,,
22300,2,악몽,3,supporter,O,O,O,O,O,O,O,,,,,,,,,,,,,,
22400,2,악몽,4,healer,O,O,O,O,O,O,O,,,,,,,,,,,,,,
23000,3,거목,0,none,O,O,O,O,O,O,O,50,"702014, 702024, 702034, 702044",50,"702013, 702023, 702033, 702043",50,"702012, 702022, 702032, 702042",50,"702011, 702021, 702031, 702041",50,"702015, 702025, 702035, 702045",50,"702013, 702023, 702033, 702043, 702012, 702022, 702032, 702042, 702011, 702021, 702031, 702041",50,"702009, 702019"
