vid,category,grade,lv1,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv11,lv12,lv13,lv14,lv15,gap
atk_1,atk,1,130,190,250,310,370,430,490,550,610,670,730,790,850,910,1092,60
atk_2,atk,2,175,250,325,400,475,550,625,700,775,850,925,1000,1075,1150,1380,75
atk_3,atk,3,250,340,430,520,610,700,790,880,970,1060,1150,1240,1330,1420,1704,90
atk_4,atk,4,375,480,585,690,795,900,1005,1110,1215,1320,1425,1530,1635,1740,2088,105
atk_5,atk,5,480,600,720,840,960,1080,1200,1320,1440,1560,1680,1800,1920,2040,2448,120
def_1,def,1,130,190,250,310,370,430,490,550,610,670,730,790,850,910,1092,60
def_2,def,2,175,250,325,400,475,550,625,700,775,850,925,1000,1075,1150,1380,75
def_3,def,3,250,340,430,520,610,700,790,880,970,1060,1150,1240,1330,1420,1704,90
def_4,def,4,375,480,585,690,795,900,1005,1110,1215,1320,1425,1530,1635,1740,2088,105
def_5,def,5,480,600,720,840,960,1080,1200,1320,1440,1560,1680,1800,1920,2040,2448,120
hp_1,hp,1,585,855,1125,1395,1665,1935,2205,2475,2745,3015,3285,3555,3825,4095,4914,270
hp_2,hp,2,788,1126,1464,1802,2140,2478,2816,3154,3492,3830,4168,4506,4844,5182,6218,338
hp_3,hp,3,1125,1530,1935,2340,2745,3150,3555,3960,4365,4770,5175,5580,5985,6390,7668,405
hp_4,hp,4,1688,2161,2634,3107,3580,4053,4526,4999,5472,5945,6418,6891,7364,7837,9404,473
hp_5,hp,5,2160,2700,3240,3780,4320,4860,5400,5940,6480,7020,7560,8100,8640,9180,11016,540
aspd_1,aspd,1,20,25,30,35,40,45,50,55,60,65,70,75,80,85,102,5
aspd_2,aspd,2,25,31,37,43,49,55,61,67,73,79,85,91,97,103,124,6
aspd_3,aspd,3,30,36,42,48,54,60,66,72,78,84,90,96,102,108,130,6
aspd_4,aspd,4,35,41,47,53,59,65,71,77,83,89,95,101,107,113,136,6
aspd_5,aspd,5,45,52,59,66,73,80,87,94,101,108,115,122,129,136,163,7
cri_chance_1,cri_chance,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,1
cri_chance_2,cri_chance,2,5,7,9,11,13,15,17,19,21,23,25,27,29,31,37,2
cri_chance_3,cri_chance,3,6,8,10,12,14,16,18,20,22,24,26,28,30,32,38,2
cri_chance_4,cri_chance,4,7,9,11,13,15,17,19,21,23,25,27,29,31,33,40,2
cri_chance_5,cri_chance,5,10,13,16,19,22,25,28,31,34,37,40,43,46,49,59,3
cri_dmg_1,cri_dmg,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,1
cri_dmg_2,cri_dmg,2,6,8,10,12,14,16,18,20,22,24,26,28,30,32,38,2
cri_dmg_3,cri_dmg,3,9,11,13,15,17,19,21,23,25,27,29,31,33,35,42,2
cri_dmg_4,cri_dmg,4,11,13,15,17,19,21,23,25,27,29,31,33,35,37,44,2
cri_dmg_5,cri_dmg,5,15,18,21,24,27,30,33,36,39,42,45,48,51,54,65,3
cri_avoid_1,cri_avoid,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,1
cri_avoid_2,cri_avoid,2,5,7,9,11,13,15,17,19,21,23,25,27,29,31,37,2
cri_avoid_3,cri_avoid,3,6,8,10,12,14,16,18,20,22,24,26,28,30,32,38,2
cri_avoid_4,cri_avoid,4,7,9,11,13,15,17,19,21,23,25,27,29,31,33,40,2
cri_avoid_5,cri_avoid,5,10,13,16,19,22,25,28,31,34,37,40,43,46,49,59,3
hit_rate_1,hit_rate,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,1
hit_rate_2,hit_rate,2,5,7,9,11,13,15,17,19,21,23,25,27,29,31,37,2
hit_rate_3,hit_rate,3,6,8,10,12,14,16,18,20,22,24,26,28,30,32,38,2
hit_rate_4,hit_rate,4,7,9,11,13,15,17,19,21,23,25,27,29,31,33,40,2
hit_rate_5,hit_rate,5,10,13,16,19,22,25,28,31,34,37,40,43,46,49,59,3
avoid_1,avoid,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,1
avoid_2,avoid,2,5,7,9,11,13,15,17,19,21,23,25,27,29,31,37,2
avoid_3,avoid,3,6,8,10,12,14,16,18,20,22,24,26,28,30,32,38,2
avoid_4,avoid,4,7,9,11,13,15,17,19,21,23,25,27,29,31,33,40,2
avoid_5,avoid,5,10,13,16,19,22,25,28,31,34,37,40,43,46,49,59,3
