list_id,ui_priority,tab_category,product_id,dependency,start_date,end_date
1000001,,money,80001,,,
1000002,,money,80002,,,
1000003,,money,80003,,,
1000004,,money,80004,,,
1000005,,money,80005,,,
1000006,,money,80006,,,
1000007,,money,81001,80001,,
1000008,,money,81002,80002,,
1000009,,money,81003,80003,,
1000010,,money,81004,80004,,
1000011,,money,81005,80005,,
1000012,,money,81006,80006,,
1000013,,cash,10001,,,
1000014,,cash,10002,,,
1000015,,cash,10003,,,
1000016,,cash,10004,,,
1000017,,cash,10005,,,
1000018,,cash,10006,,,
1000019,,cash,10007,,,
1000020,,cash,10008,,,
1000021,,cash,10009,,,
1000022,,cash,10010,,,
1000023,,cash,10011,,,
1000024,,amethyst,20001,,,
1000025,,amethyst,20002,,,
1000026,,amethyst,20003,,,
1000027,,amethyst,20004,,,
1000028,,amethyst,20005,,,
1000029,,amethyst,20006,,,
1000030,,amethyst,20007,,,
1000031,,amethyst,20008,,,
1000032,,amethyst,20009,,,
1000033,,amethyst,20010,,,
1000034,,topaz,30001,,,
1000035,,topaz,30002,,,
1000036,,topaz,30003,,,
1000037,,mileage,40001,,,
1000038,,mileage,40002,,,
1000039,,mileage,40003,,,
1000040,,mileage,40004,,,
1000041,,honor,50001,,,
1000042,,honor,50002,,,
1000043,,honor,50003,,,
1000044,,honor,50004,,,
1000045,,honor,50005,,,
1000046,,honor,50006,,,
1000047,,honor,50007,,,
1000048,,capsule,60001,,,
1000049,,capsule,60002,,,
1000050,,capsule,60003,,,
1000051,,capsule,60004,,,
1000052,,capsule,60005,,,
1000053,,capsule,60006,,,
