stage,t_name,r_difficult,mode,r_chapter_info,r_stage_info,attr,level,hp_ratio,boss_hp_ratio,buff_user,buff_enemy,t_help
1010001,모험,intro,adv,1,1,earth,50,1,2,,,
1110101,모험,normal,adv,1,1,earth,5,0.5,2,,,
1110102,모험,normal,adv,1,2,earth,10,0.5,2,,,
1110103,모험,normal,adv,1,3,earth,12,0.6,2,,,
1110104,모험,normal,adv,1,4,earth,13,0.7,2,,,
1110105,모험,normal,adv,1,5,earth,14,0.8,2,,,
1110106,모험,normal,adv,1,6,earth,15,0.9,2,,,
1110107,모험,normal,adv,1,7,earth,16,1,3,,,
1110201,모험,normal,adv,2,1,water,18,1,2,,,
1110202,모험,normal,adv,2,2,water,18,1,2,,,
1110203,모험,normal,adv,2,3,water,19,1,2,,,
1110204,모험,normal,adv,2,4,water,19,1,2,,,
1110205,모험,normal,adv,2,5,water,20,1,2,,,
1110206,모험,normal,adv,2,6,water,20,1,2,,,
1110207,모험,normal,adv,2,7,water,21,1,3,,,
1110301,모험,normal,adv,3,1,earth,26,1,2,,,
1110302,모험,normal,adv,3,2,earth,26,1,2,,,
1110303,모험,normal,adv,3,3,earth,27,1,2,,,
1110304,모험,normal,adv,3,4,earth,27,1,2,,,
1110305,모험,normal,adv,3,5,earth,28,1,2,,,
1110306,모험,normal,adv,3,6,earth,28,1,2,,,
1110307,모험,normal,adv,3,7,earth,29,1,3,,,
1110401,모험,normal,adv,4,1,fire,45,1,2,,,
1110402,모험,normal,adv,4,2,fire,45,1,2,,,
1110403,모험,normal,adv,4,3,fire,46,1,2,,,
1110404,모험,normal,adv,4,4,fire,46,1,2,,,
1110405,모험,normal,adv,4,5,fire,47,1,2,,,
1110406,모험,normal,adv,4,6,fire,47,1,2,,,
1110407,모험,normal,adv,4,7,fire,48,1,3,,,
1110501,모험,normal,adv,5,1,light,51,1,2,,,
1110502,모험,normal,adv,5,2,light,51,1,2,,,
1110503,모험,normal,adv,5,3,light,52,1,2,,,
1110504,모험,normal,adv,5,4,light,52,1,2,,,
1110505,모험,normal,adv,5,5,light,53,1,2,,,
1110506,모험,normal,adv,5,6,light,53,1,2,,,
1110507,모험,normal,adv,5,7,light,54,1,3,,,
1110601,모험,normal,adv,6,1,dark,59,1,2,,,
1110602,모험,normal,adv,6,2,dark,59,1,2,,,
1110603,모험,normal,adv,6,3,dark,60,1,2,,,
1110604,모험,normal,adv,6,4,dark,60,1,2,,,
1110605,모험,normal,adv,6,5,dark,61,1,2,,,
1110606,모험,normal,adv,6,6,dark,61,1,2,,,
1110607,모험,normal,adv,6,7,dark,62,1,3,,,
1110701,모험,normal,adv,7,1,dark,78,1,2,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110702,모험,normal,adv,7,2,dark,78,1,2,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110703,모험,normal,adv,7,3,dark,79,1,2,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110704,모험,normal,adv,7,4,dark,79,1,2,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110705,모험,normal,adv,7,5,dark,80,1,2,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110706,모험,normal,adv,7,6,dark,80,1,2,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110707,모험,normal,adv,7,7,dark,81,1,3,,all;0;hp_multi;20,몬스터의 체력이 조금 높습니다.
1110801,모험,normal,adv,8,1,dark,84,1,2,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110802,모험,normal,adv,8,2,dark,84,1,2,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110803,모험,normal,adv,8,3,dark,85,1,2,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110804,모험,normal,adv,8,4,dark,85,1,2,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110805,모험,normal,adv,8,5,dark,86,1,2,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110806,모험,normal,adv,8,6,dark,86,1,2,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110807,모험,normal,adv,8,7,dark,87,1,3,,all;0;def_multi;20,몬스터의 방어력이 조금 높습니다.
1110901,모험,normal,adv,9,1,dark,92,1,2,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1110902,모험,normal,adv,9,2,dark,92,1,2,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1110903,모험,normal,adv,9,3,dark,93,1,2,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1110904,모험,normal,adv,9,4,dark,93,1,2,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1110905,모험,normal,adv,9,5,dark,94,1,2,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1110906,모험,normal,adv,9,6,dark,94,1,2,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1110907,모험,normal,adv,9,7,dark,95,1,3,,all;0;atk_multi;20,몬스터의 공격력이 조금 높습니다.
1111001,모험,normal,adv,10,1,dark,111,1,2,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111002,모험,normal,adv,10,2,dark,111,1,2,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111003,모험,normal,adv,10,3,dark,112,1,2,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111004,모험,normal,adv,10,4,dark,112,1,2,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111005,모험,normal,adv,10,5,dark,113,1,2,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111006,모험,normal,adv,10,6,dark,113,1,2,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111007,모험,normal,adv,10,7,dark,114,1,3,,all;0;cri_dmg_multi;20,몬스터의 치명 피해량이 조금 높습니다.
1111101,모험,normal,adv,11,1,dark,117,1,2,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111102,모험,normal,adv,11,2,dark,117,1,2,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111103,모험,normal,adv,11,3,dark,118,1,2,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111104,모험,normal,adv,11,4,dark,118,1,2,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111105,모험,normal,adv,11,5,dark,119,1,2,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111106,모험,normal,adv,11,6,dark,119,1,2,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111107,모험,normal,adv,11,7,dark,120,1,3,,all;0;avoid_multi;20,몬스터의 회피가 조금 높습니다.
1111201,모험,normal,adv,12,1,dark,125,1,2,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1111202,모험,normal,adv,12,2,dark,125,1,2,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1111203,모험,normal,adv,12,3,dark,126,1,2,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1111204,모험,normal,adv,12,4,dark,126,1,2,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1111205,모험,normal,adv,12,5,dark,127,1,2,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1111206,모험,normal,adv,12,6,dark,127,1,2,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1111207,모험,normal,adv,12,7,dark,128,1,3,,all;0;cri_chance_multi;20,몬스터의 치명 확률이 조금 높습니다.
1120101,모험,hard,adv,1,1,earth,154,1,3,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120102,모험,hard,adv,1,2,earth,154,1,3,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120103,모험,hard,adv,1,3,earth,155,1,3,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120104,모험,hard,adv,1,4,earth,155,1,3,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120105,모험,hard,adv,1,5,earth,156,1,3,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120106,모험,hard,adv,1,6,earth,156,1,3,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120107,모험,hard,adv,1,7,earth,157,1,4,,all;0;hp_multi;50,몬스터의 체력이 높습니다.
1120201,모험,hard,adv,2,1,water,160,1,3,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120202,모험,hard,adv,2,2,water,160,1,3,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120203,모험,hard,adv,2,3,water,161,1,3,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120204,모험,hard,adv,2,4,water,161,1,3,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120205,모험,hard,adv,2,5,water,162,1,3,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120206,모험,hard,adv,2,6,water,162,1,3,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120207,모험,hard,adv,2,7,water,163,1,4,,all;0;def_multi;50,몬스터의 방어력이 높습니다.
1120301,모험,hard,adv,3,1,earth,189,1,3,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
1120302,모험,hard,adv,3,2,earth,189,1,3,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
1120303,모험,hard,adv,3,3,earth,190,1,3,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
1120304,모험,hard,adv,3,4,earth,190,1,3,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
1120305,모험,hard,adv,3,5,earth,191,1,3,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
1120306,모험,hard,adv,3,6,earth,191,1,3,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
1120307,모험,hard,adv,3,7,earth,192,1,4,,all;0;atk_multi;50,몬스터의 공격력이 높습니다.
1120401,모험,hard,adv,4,1,fire,195,1,3,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120402,모험,hard,adv,4,2,fire,195,1,3,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120403,모험,hard,adv,4,3,fire,196,1,3,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120404,모험,hard,adv,4,4,fire,196,1,3,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120405,모험,hard,adv,4,5,fire,197,1,3,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120406,모험,hard,adv,4,6,fire,197,1,3,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120407,모험,hard,adv,4,7,fire,198,1,4,,all;0;cri_dmg_multi;50,몬스터의 치명 피해량이 높습니다.
1120501,모험,hard,adv,5,1,light,224,1,3,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120502,모험,hard,adv,5,2,light,224,1,3,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120503,모험,hard,adv,5,3,light,225,1,3,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120504,모험,hard,adv,5,4,light,225,1,3,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120505,모험,hard,adv,5,5,light,226,1,3,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120506,모험,hard,adv,5,6,light,226,1,3,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120507,모험,hard,adv,5,7,light,227,1,4,,all;0;avoid_multi;50,몬스터의 회피가 높습니다.
1120601,모험,hard,adv,6,1,dark,230,1,3,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120602,모험,hard,adv,6,2,dark,230,1,3,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120603,모험,hard,adv,6,3,dark,231,1,3,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120604,모험,hard,adv,6,4,dark,231,1,3,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120605,모험,hard,adv,6,5,dark,232,1,3,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120606,모험,hard,adv,6,6,dark,232,1,3,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120607,모험,hard,adv,6,7,dark,233,1,4,,all;0;cri_chance_multi;50,몬스터의 치명 확률이 높습니다.
1120701,모험,hard,adv,7,1,dark,259,1,3,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
1120702,모험,hard,adv,7,2,dark,259,1,3,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
1120703,모험,hard,adv,7,3,dark,260,1,3,,all;0;hp_multi;100,몬스터의 체력이 매우 높습니다.
