stage,monster_id,attr,t_desc,recomm_power,snro_start,snro_wave_2,snro_wave_3,snro_finish,r_level,r_power
1110101,130011; 130021; 130041; 132011,earth,,3394,scen_01_01_s,,,scen_01_01_e,2,3394
1110102,130011; 130031; 130051; 140081,earth,,4186,,,,,6,4186
1110103,130011; 130031; 131021; 132021,earth,,4582,,,,,8,4582
1110104,130011; 130031; 131021; 133011,earth,처음으로 강력한 몬스터가 등장합니다. \\n 주의하세요.,4781,scen_01_04_s,,,scen_01_04_e,9,4781
1110105,130011; 130031; 131031; 132031,earth,,4980,,,,,10,4980
1110106,130011; 130041; 131011; 131021; 140051,earth,,5179,scen_01_06_s,,,scen_01_06_e,11,5179
1110107,130011; 130051; 130061; 131011; 134011,earth,이번 보스는 아군에게 일정 확률로 지속피해 효과를 부여합니다. \\n 전투를 빠르게 끝내는 것이 좋습니다.,5777,scen_01_07_s,,,scen_01_07_e,14,5777
1110201,130012; 130032; 131012; 132012,water,,6578,scen_02_01_s,,,scen_02_01_e,18,6578
1110202,130012; 130042; 130052; 131012; 140092,water,,6578,,,,,18,6578
1110203,130052; 130062; 131012; 131022; 132022,water,,6779,,,,,19,6779
1110204,130043; 131012; 131022; 131032; 133012,water,후방에 있는 상어전사의 지속피해 효과에 걸리면 \\n 짧은 순간에 큰 피해를 입을 수도 있습니다.,6779,scen_02_04_s,,,scen_02_04_e,19,6779
1110205,130042; 130052; 130062; 131032; 132032,water,,6979,,,,,20,6979
1110206,130062; 131012; 131022; 131032; 140142,water,,6979,scen_02_06_s,,,scen_02_06_e,20,6979
1110207,130032; 130052; 130062; 131012; 134012,water,보스의 생명력이 낮아지면 \\n 강력한 광포화 공격을 시도합니다.,7180,scen_02_07_s,,,scen_02_07_e,21,7180
1110301,130021; 130023; 131013; 131061; 132051,earth,,8189,scen_03_01_s,,,scen_03_01_e,26,8189
1110302,130013; 130021; 130023; 131061; 140191,earth,,8189,,,,,26,8189
1110303,130011; 130023; 131013; 131061; 132061,earth,,8391,,,,,27,8391
1110304,130043; 130051; 131013; 131061; 133021,earth,강력한 범위 공격 기술을 가지고 있어 \\n 아군의 체력을 잘 관리 해야 합니다.,8391,scen_03_04_s,,,scen_03_04_e,27,8391
1110305,130043; 131013; 131061; 131071; 132013,earth,,8593,,,,,28,8593
1110306,130013; 130051; 130053; 131013; 140273,earth,,8593,scen_03_06_s,,,scen_03_06_e,28,8593
1110307,130061; 131013; 131061; 131071; 134013,earth,강력한 범위 공격을 사용하고 자신의 체력이 낮아지면 \\n 스스로 잠이 들어 체력을 회복합니다.,8796,scen_03_07_s,,,scen_03_07_e,29,8796
1110401,130033; 130053; 131023; 131081; 132071,fire,,8999,scen_04_01_s,,,scen_04_01_e,30,8999
1110402,130043; 130052; 130053; 131033; 140043,fire,,9202,,,,,31,9202
1110403,130013; 130053; 131023; 131033; 132023,fire,,9608,,,,,33,9608
1110404,130042; 130053; 131033; 133022; 133031,fire,2명의 중간보스가 등장해 각각 공격과 방어를 담당합니다. \\n 빠르게 한 녀석을 제거하세요.,10016,scen_04_04_s,,,scen_04_04_e,35,10016
1110405,130052; 130063; 131042; 131081; 132081,fire,,10424,,,,,37,10424
1110406,130063; 131033; 131042; 131081; 140423,fire,,10833,scen_04_06_s,,,scen_04_06_e,39,10833
1110407,130062; 130063; 131033; 131081; 134023,fire,거미줄로 아군을 무력화 하고 \\n 지속피해 효과를 통해 아군을 공격합니다.,11243,scen_04_07_s,,,scen_04_07_e,41,11243
1110501,130014; 130044; 131014; 131043; 132014,light,,11653,scen_05_01_s,,,scen_05_01_e,43,11653
1110502,130054; 130064; 131043; 131052; 140112,light,,12270,,,,,46,12270
1110503,130054; 131043; 131052; 131111; 132052,light,,12683,,,,,48,12683
1110504,130041; 130043; 131014; 131111; 133014,light,중간보스가 후방까지 공격하는 기술을 사용합니다. \\n 아군을 잘 보호하세요.,13303,scen_05_04_s,,,scen_05_04_e,51,13303
1110505,130064; 131043; 131052; 131053; 132024,light,,13718,,,,,53,13718
1110506,131043; 131052; 131053; 131111; 140204,light,,14341,scen_05_06_s,,,scen_05_06_e,56,14341
