name,category,type,t_name,res,res_icon,symbol,groggy,overlab,overlab_option,duration,atk,def,hp,aspd,cri_chance,cri_dmg,cri_avoid,hit_rate,avoid,hp_drain,heal_power,recovery_power,dmg_adj_rate,attr_adj_rate,reflex_normal,reflex_skill,debuff_time,resistance,pierce,dot_interval,abs_switch,val_1,val_2,val_3,val_4,desc_1,desc_2,desc_3,desc_4,t_desc,to_programmer
atk_up,good,buff,공격력 증가,res/effect/effect_combat_up/effect_combat_up.vrp,res/ui/icon/status_effect/atk_up.png,x,false,3,0,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,15,100,x,x,{1}초 동안 {2}만큼 공격력 증가,정수x퍼센트 (곱연산)
aspd_up,good,buff,공격 속도 증가,res/effect/effect_combat_up/effect_combat_up.vrp,res/ui/icon/status_effect/aspd_up.png,x,false,3,0,15,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,15,100,x,x,{1}초 동안 {2}만큼 공격 속도 증가,퍼센트+퍼센트 (합연산)
cri_chance_up,good,buff,치명 확률 증가,res/effect/effect_combat_up/effect_combat_up.vrp,res/ui/icon/status_effect/cri_chance_up.png,x,false,3,0,15,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,15,x,x,x,{1}초 동안 {2}만큼 치명 확률 증가,퍼센트+퍼센트 (합연산)
def_up,good,buff,방어력 증가,res/effect/effect_defense_up/effect_defense_up.vrp,res/ui/icon/status_effect/def_up.png,x,false,3,0,15,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,15,x,x,x,{1}초 동안 {2}만큼 방어력 증가,정수x퍼센트 (곱연산)
test_def_up,good,buff,자룡 패시브,res/effect/effect_defense_up/effect_defense_up.vrp,res/ui/icon/status_effect/def_up.png,x,false,3,0,15,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,15,x,x,x,{1}초 동안 {2}만큼 방어력 증가,정수x퍼센트 (곱연산)
hp_up,good,buff,생명력 증가,res/effect/effect_defense_up/effect_defense_up.vrp,res/ui/icon/status_effect/hp_up.png,x,false,3,0,15,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,15,x,x,x,{1}초 동안 {2}만큼 생명력 증가,정수x퍼센트 (곱연산)
cri_avoid_up,good,buff,치명 방어율 증가,res/effect/effect_defense_up/effect_defense_up.vrp,res/ui/icon/status_effect/cri_avoid_up.png,x,false,3,0,15,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,15,x,x,x,{1}초 동안 {2}만큼 치명 방어 증가,퍼센트+퍼센트 (합연산)
avoid_up,good,buff,회피율 증가,res/effect/effect_tactics_up/effect_tactics_up.vrp,res/ui/icon/status_effect/avoid_up.png,x,false,3,0,15,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,,0,,,,,15,x,x,x,{1}초 동안 {2}만큼 회피 증가,퍼센트+퍼센트 (합연산)
hit_rate_up,good,buff,적중률 증가,res/effect/effect_tactics_up/effect_tactics_up.vrp,res/ui/icon/status_effect/hit_rate_up.png,x,false,3,0,15,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,15,x,x,x,{1}초 동안 {2}만큼 적중 증가,퍼센트+퍼센트 (합연산)
cri_dmg_up,good,buff,치명 피해 증가,res/effect/effect_tactics_up/effect_tactics_up.vrp,res/ui/icon/status_effect/cri_dmg_up.png,x,false,3,0,15,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,15,x,x,x,{1}초 동안 {2}만큼 치명 피해 증가,퍼센트+퍼센트 (합연산)
attr_strengthen,good,buff,속성 강화,res/effect/effect_combat_up/effect_combat_up.vrp,res/ui/icon/status_effect/atk_up.png,o,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,,0,,,,,10,x,x,x,{1}초 동안 {2}만큼 회피 증가,x
attr_weaken,bad,buff,속성 약화,res/effect/effect_defense_up/effect_defense_up.vrp,res/ui/icon/status_effect/def_down.png,o,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,,0,,,,,10,x,x,x,{1}초 동안 {2}만큼 회피 증가,x
attr_change,good,buff,속성 변환,res/effect/effect_wedjat/effect_wedjat.vrp,res/ui/icon/status_effect/attr_change.png,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x,,,,x,x,x,x,x,x
attr_change_earth,good,buff,속성 변환:땅,,,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,earth,,,,x,x,x,x,x,x
attr_change_water,good,buff,속성 변환:물,,,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,water,,,,x,x,x,x,x,x
attr_change_fire,good,buff,속성 변환:불,,,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,fire,,,,x,x,x,x,x,x
attr_change_light,good,buff,속성 변환:빛,,,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,light,,,,x,x,x,x,x,x
attr_change_dark,good,buff,속성 변환:어둠,,,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,dark,,,,x,x,x,x,x,x
hp_drain,good,buff,생명력 흡수,,res/ui/icon/status_effect/atk_up.png,x,false,1,0,10,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,
def_up_overlab,good,buff,방어력 증가 오버랩,res/effect/effect_defense_up/effect_defense_up.vrp,res/ui/icon/status_effect/def_up.png,x,false,20,0,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,5,x,x,x,{1}초 동안 {2}만큼 방어력 증가,정수x퍼센트 (곱연산)
atk_up_overlab,good,buff,공격력 증가 오버랩,res/effect/effect_combat_up/effect_combat_up.vrp,res/ui/icon/status_effect/atk_up.png,x,false,20,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,5,x,x,x,{1}초 동안 {2}만큼 공격력 증가,정수x퍼센트 (곱연산)
atk_up_overlab5,good,buff,공격력 증가(5회중첩),res/effect/effect_combat_up/effect_combat_up.vrp,res/ui/icon/status_effect/atk_up.png,x,false,5,1,-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,-1,100,x,x,{1}초 동안 {2}만큼 공격력 증가,정수x퍼센트 (곱연산)
def_up_overlab5,good,buff,방어력 증가,res/effect/effect_defense_up/effect_defense_up.vrp,res/ui/icon/status_effect/def_up.png,x,false,5,1,-1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,-1,x,x,x,{1}초 동안 {2}만큼 방어력 증가,정수x퍼센트 (곱연산)
darknix,good,buff,파멸의 고동,res/effect/effect_combat_up/effect_combat_up.vrp,res/ui/icon/status_effect/atk_up.png,x,false,0,1,-1,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,20,10,x,x,공격력 {1}% 증가. 치명 확률 {2}% 증가,
godium_earth_buff,good,buff,공격력/치명확률 증가,res/effect/effect_combat_up/effect_combat_up.vrp,res/ui/icon/status_effect/atk_up.png,x,false,3,0,15,20,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,15,20,x,x,{1}초 동안 {2}만큼 공격력 증가,정수x퍼센트 (곱연산)
godium_light_buff,good,buff,공격력/회복량 증가,res/effect/effect_combat_up/effect_combat_up.vrp,res/ui/icon/status_effect/atk_up.png,x,false,3,0,15,20,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,,0,,,,,15,20,x,x,{1}초 동안 {2}만큼 공격력 증가,정수x퍼센트 (곱연산)
godium_fire_buff,good,buff,공격력/방어관통 증가,res/effect/effect_combat_up/effect_combat_up.vrp,res/ui/icon/status_effect/atk_up.png,x,false,3,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,0,,,,,15,20,x,x,{1}초 동안 {2}만큼 공격력 증가,정수x퍼센트 (곱연산)
zombie,good,zombie,좀비,,,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,,0,,,,,x,x,x,x,x,x
immortal,good,immortal,불사,,,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,x,x,x,x,x,x
resurrect,good,resurrect,부활,,,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,x,x,x,x,x,x
pierce,good,buff,관통,,,x,false,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,0,,,,,x,x,x,x,x,x
buff_time_increase,good,modify,버프 시간 증가,,,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,category;good,,,,x,x,x,x,x,x
debuff_time_decrease,good,modify,디버프 시간 감소,,,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,category;bad,,,,x,x,x,x,x,x
transfer_dot_dmg,bad,transfer,지속 피해 효과 전이,,,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,type;dot_dmg,,,,x,x,x,x,x,대상의 dot_dmg 타입의 상태효과를 전이
add_mana,good,add_mana,마나 추가,,,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,x,x,x,x,x,
mana_reduce,good,mana_reduce,마나 감소버프,,,x,false,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,x,x,x,x,x,
heal,good,dot_heal,회복,res/effect/effect_tamer_heal/effect_tamer_heal.vrp,res/ui/icon/status_effect/heal.png,x,false,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,atk,,,,x,x,x,x,x,x
