id,cid,category,tamer,r_name,r_desc,price_type,origin_price,sale_price,product_content,mail_content,max_buy_count,start_date,end_date,sale_start_date,sale_end_date
1001,730301,costume,110003,한복,한복 복장입니다. 데데의 귀여움이 더욱 증가하였네요,cash,2700,1890,,,1,2020-01-21 00:00:00,2020-02-05 00:00:00,,
1002,730401,costume,110004,한복,한복 복장입니다. 케사스는 마치 암행어사 처럼 보이네요.,cash,2700,1890,,,1,2020-01-21 00:00:00,2020-02-05 00:00:00,,
1005,730601,costume,110006,스카이블루,모코지의 푸른색 드레스 입니다. 기합을 잔뜩 넣었네요,cash,2700,1890,,,1,2017-12-17 00:00:00,2118-01-04 10:00:00,,
1006,730101,costume,110001,할로윈 캣츠,할로윈 특집! 고양이 싫어하는 사람은 없겠죠,cash,2700,1890,,,1,2022-10-21 00:00:00,2022-11-04 00:00:00,,
1007,730102,costume,110001,할로윈 잭오랜턴,할로윈 특집! 고니가 너무 들떴나봅니다,cash,2700,1890,,,1,2022-10-21 00:00:00,2022-11-04 00:00:00,,
1008,730201,costume,110002,할로윈 데몬,할로윈 특집! 누리는 사실 악마였습니다,cash,2700,1890,,,1,2022-10-21 00:00:00,2022-11-04 00:00:00,,
1009,730202,costume,110002,할로윈 캣우먼,할로윈 특집! 파티엔 도둑고양이가 나타나기 마련이죠,cash,2700,1890,,,1,2022-10-21 00:00:00,2022-11-04 00:00:00,,
1010,730302,costume,110003,할로윈 엔젤,할로윈 특집! 이럴때 천사라니 고리타분하죠,cash,2700,1890,,,1,2022-10-21 00:00:00,2022-11-04 00:00:00,,
1011,730303,costume,110003,할로윈 윗치,"할로윈 특집! 네, 전형적이죠",cash,2700,1890,,,1,2022-10-21 00:00:00,2022-11-04 00:00:00,,
1012,730402,costume,110004,할로윈 모자장수,할로윈 특집! 모자를 열심히 팔아보려 합니다,cash,2700,1890,,,1,2022-10-21 00:00:00,2022-11-04 00:00:00,,
1013,730403,costume,110004,할로윈 데빌,할로윈 특집! 마치 풍신을 쓸듯합니다,cash,2700,1890,,,1,2022-10-21 00:00:00,2022-11-04 00:00:00,,
1014,730501,costume,110005,할로윈 드라큘라,할로윈 특집! 피가 철철 흐르네요,cash,2700,1890,,,1,2022-10-21 00:00:00,2022-11-04 00:00:00,,
1015,730602,costume,110006,할로윈 강시,할로윈 특집! 팔굽히기가 힘들어집니다,cash,2700,1890,,,1,2022-10-21 00:00:00,2022-11-04 00:00:00,,
1016,730404,costume,110004,서릿빛,차가운 카리스마가 넘치는 케사스의 복장입니다.,cash,5400,3780,,,1,2017-12-17 00:00:00,2118-01-04 10:00:00,,
1017,730502,costume,110005,엘리트 마공학자,젊은 시절의 두른도 정말 매력있지 않나요?,cash,2700,1890,,,1,2017-12-17 00:00:00,2118-01-04 10:00:00,,
1018,730103,costume,110001,용맹 코스튬,최강의 테이머에게 주어지는 특별 코스튬 세트,,,,,,1,,,,
1019,730203,costume,110002,용맹 코스튬,최강의 테이머에게 주어지는 특별 코스튬 세트,,,,,,1,,,,
1020,730304,costume,110003,용맹 코스튬,최강의 테이머에게 주어지는 특별 코스튬 세트,,,,,,1,,,,
1021,730405,costume,110004,용맹 코스튬,최강의 테이머에게 주어지는 특별 코스튬 세트,,,,,,1,,,,
1022,730503,costume,110005,용맹 코스튬,최강의 테이머에게 주어지는 특별 코스튬 세트,,,,,,1,,,,
1023,730603,costume,110006,용맹 코스튬,최강의 테이머에게 주어지는 특별 코스튬 세트,,,,,,1,,,,
1024,730204,costume,110002,겨울 여왕,겨울에 어울리는 화사한 드레스입니다.,,,,,,1,2018-12-22 00:00:00,2118-01-04 00:00:00,,
1025,730104,costume,110001,화염 기사,태양과 같이 화끈한 갑옷입니다.,,,,,,1,2019-06-01 00:00:00,2118-01-04 00:00:00,,
1026,730105,costume,110001,3주년 연미복,3주년 기념 코스튬,cash,5000,5000,,,1,2021-01-19 00:00:00,2021-02-11 00:00:00,,
1027,730205,costume,110002,3주년 드레스,3주년 기념 코스튬,cash,5000,5000,,,1,2021-01-19 00:00:00,2021-02-11 00:00:00,,
1028,730504,costume,110005,3주년 제복,3주년 기념 코스튬,cash,5000,5000,,,1,2021-01-19 00:00:00,2021-02-11 00:00:00,,
1029,730305,costume,110003,투사(데데),콜로세움 개편 기념 코스튬,,,,,,1,2021-03-10 00:00:00,2921-03-18 00:00:00,,
1030,730406,costume,110004,집정관(케사스),콜로세움 개편 기념 코스튬,,,,,,1,2021-03-10 00:00:00,2921-03-18 00:00:00,,
1031,730604,costume,110006,신관(모코지),콜로세움 개편 기념 코스튬,,,,,,1,2021-03-10 00:00:00,2921-03-18 00:00:00,,
