sid,skill_form,skill_type,r_tamer,t_name,res_icon,add_val_1,desc_1,desc_2,desc_3,desc_4,desc_5,t_desc,res_1,res_2,res_3,res_scale,res_hit,indicator,animation,motion_type,dmg_type,dir,chance_type,chance_value,game_mode,target_formation,target_type,target_count,casting_time,pre_delay,ignore,cooldown,hit,val_1,val_2,val_3,add_option_type_1,add_option_target_1,add_option_target_count_1,add_option_trigger_1,add_option_time_1,add_option_rate_1,add_option_source_1,add_option_value_1,add_option_type_2,add_option_target_2,add_option_trigger_2,add_option_time_2,add_option_rate_2,add_option_source_2,add_option_value_2,mod_col_1
241101,code,status_effect,goni,방어력 증가,res/ui/icons/skill/801422.png,0.2,add_option_time_1,,,,,아군 5명의 방어력을 {1}초간 증가시킵니다.,res/effect/cutscene_tamer_a_type/cutscene_tamer_a_type_goni.vrp,res/effect/skill_tamer_active/skill_tamer_active_goni.vrp,,,,,,,,,active,,pve,,ally_none,5,0,0,,0,,,,,def_up,target,,none,6.2,100,,100,,,,,,,,add_option_time_1
241201,code,status_effect,goni,적중 증가,res/ui/icons/skill/200933.png,0.2,add_option_value_1,,,,,아군의 적중이 {1}% 증가합니다.,,,,,,,,,,,passive,,,,ally_all,,0,0,,-1,,,,,passive_hit_rate_up,target,,always,-1,100,,6.2,,,,,,,,add_option_value_1
241301,code,status_effect,goni,생명력 증가,res/ui/icons/skill/801421.png,0.2,add_option_value_1,,,,,아군의 생명력이 {1}% 증가합니다.,,,,,,,,,,,passive,,,,ally_all,,0,0,,-1,,,,,passive_hp_up,target,,always,-1,100,,6.2,,,,,,,,add_option_value_1
241401,code,skill_tamer_arena,goni,화염의 낙뢰,res/ui/icons/skill/241401.png,0.05,chance_value,add_option_value_1,1.2,,,"콜로세움에서, {1}초마다 모든 적에게 대상의 최대 생명력의 {2}%만큼 피해를 줍니다. 땅 속성 적에게는 {3}배의 피해를 줍니다.",res/effect/skill_tamer_activeskill/skill_tamer_activeskill.vrp,,,,,,,,,,indie_time,20,pvp,,enemy_all,,0,0,,0,,,,,tamer_add_dmg,target,,skill_hit,0.5,100,target_max_hp,0.55,,,,,,,,add_option_value_1
242101,code,status_effect,nuri,생명력 회복,res/ui/icons/skill/200134.png,0.06,add_option_value_1 * 10,,,,,아군 2명의 생명력을 10초에 걸쳐 {1}% 회복합니다.,res/effect/cutscene_tamer_a_type/cutscene_tamer_a_type_nuri.vrp,res/effect/skill_tamer_active/skill_tamer_active_nuri.vrp,,,,,,,,,active,,pve,,ally_hp_low,2,0,0,,0,,,,,tamer_heal,target,,none,10,100,,1.86,,,,,,,,add_option_value_1
242201,code,status_effect,nuri,회피 증가,res/ui/icons/skill/245201.png,0.2,add_option_value_1,,,,,아군의 회피가 {1}% 증가합니다.,,,,,,,,,,,passive,,,,ally_all,,0,0,,-1,,,,,passive_avoid_up,target,,always,-1,100,,6.2,,,,,,,,add_option_value_1
242301,code,status_effect,nuri,효과 적중 증가,res/ui/icons/skill/200933.png,0.2,add_option_value_1,,,,,아군의 효과 적중이 {1}% 증가합니다.,,,,,,,,,,,passive,,,,ally_all,,0,0,,-1,,,,,passive_accuracy_effect,target,,always,-1,100,,6.2,,,,,,,,add_option_value_1
242401,code,skill_tamer_arena,nuri,대지의 낙뢰,res/ui/icons/skill/242401.png,0.05,chance_value,add_option_value_1,1.2,,,"콜로세움에서, {1}초마다 모든 적에게 대상의 최대 생명력의 {2}%만큼 피해를 줍니다. 물 속성 적에게는 {3}배의 피해를 줍니다.",res/effect/skill_tamer_activeskill/skill_tamer_activeskill.vrp,,,,,,,,,,indie_time,20,pvp,,enemy_all,,0,0,,0,,,,,tamer_add_dmg,target,,skill_hit,0.5,100,target_max_hp,0.55,,,,,,,,add_option_value_1
243101,code,status_effect,dede,생명력 회복,res/ui/icons/skill/201611.png,0.04,add_option_value_1 * 10,,,,,아군 3명의 생명력을 10초에 걸쳐 {1}% 회복합니다.,res/effect/cutscene_tamer_a_type/cutscene_tamer_a_type_dede.vrp,res/effect/skill_tamer_active/skill_tamer_active_dede.vrp,,,,,,,,,active,,pve,,ally_hp_low,3,0,0,,0,,,,,tamer_heal,target,,none,10,100,,1.24,,,,,,,,add_option_value_1
243201,code,status_effect,dede,치명피해 증가,res/ui/icons/skill/201833.png,0.2,add_option_value_1,,,,,아군의 치명 피해가 {1}% 증가합니다.,,,,,,,,,,,passive,,,,ally_all,,0,0,,-1,,,,,passive_cri_dmg_up,target,,always,-1,100,,6.2,,,,,,,,add_option_value_1
243301,code,status_effect,dede,효과저항 증가,res/ui/icons/skill/205143.png,0.2,add_option_value_1,,,,,아군의 효과 저항이 {1}% 증가합니다.,,,,,,,,,,,passive,,,,ally_all,,0,0,,-1,,,,,passive_resistance_effect,target,,always,-1,100,,6.2,,,,,,,,add_option_value_1
243401,code,skill_tamer_arena,dede,빛의 낙뢰,res/ui/icons/skill/243401.png,0.05,chance_value,add_option_value_1,1.2,,,"콜로세움에서, {1}초마다 모든 적에게 대상의 최대 생명력의 {2}%만큼 피해를 줍니다. 어둠 속성 적에게는 {3}배의 피해를 줍니다.",res/effect/skill_tamer_activeskill/skill_tamer_activeskill.vrp,,,,,,,,,,indie_time,20,pvp,,enemy_all,,0,0,,0,,,,,tamer_add_dmg,target,,skill_hit,0.5,100,target_max_hp,0.55,,,,,,,,add_option_value_1
244101,code,status_effect,kesath,공격력 증가,res/ui/icons/skill/201835.png,0.2,add_option_time_1,,,,,아군 5명의 공격력을 {1}초간 증가시킵니다.,res/effect/cutscene_tamer_a_type/cutscene_tamer_a_type_kesath.vrp,res/effect/skill_tamer_active/skill_tamer_active_kesath.vrp,,,,,,,,,active,,pve,,ally_none,5,0,0,,0,,,,,atk_up,target,,none,6.2,100,,100,,,,,,,,add_option_time_1
244201,code,status_effect,kesath,적중 증가,res/ui/icons/skill/200423.png,0.2,add_option_value_1,,,,,아군의 적중이 {1}% 증가합니다.,,,,,,,,,,,passive,,,,ally_all,,0,0,,-1,,,,,passive_hit_rate_up,target,,always,-1,100,,6.2,,,,,,,,add_option_value_1
244301,code,status_effect,kesath,치명확률 증가,res/ui/icons/skill/244301.png,0.2,add_option_value_1,,,,,아군의 치명 확률이 {1}% 증가합니다.,,,,,,,,,,,passive,,,,ally_all,,0,0,,-1,,,,,passive_cri_chance_up,target,,always,-1,100,,6.2,,,,,,,,add_option_value_1
244401,code,skill_tamer_arena,kesath,어둠의 낙뢰,res/ui/icons/skill/244401.png,0.05,chance_value,add_option_value_1,1.2,,,"콜로세움에서, {1}초마다 모든 적에게 대상의 최대 생명력의 {2}%만큼 피해를 줍니다. 빛 속성 적에게는 {3}배의 피해를 줍니다.",res/effect/skill_tamer_activeskill/skill_tamer_activeskill.vrp,,,,,,,,,,indie_time,20,pvp,,enemy_all,,0,0,,0,,,,,tamer_add_dmg,target,,skill_hit,0.5,100,target_max_hp,0.55,,,,,,,,add_option_value_1
245101,code,status_effect,durun,공격력 감소,res/ui/icons/skill/206433.png,0.2,add_option_time_1,,,,,적군 5명의 공격력을 {1}초간 감소시킵니다.,res/effect/cutscene_tamer_a_type/cutscene_tamer_a_type_durun.vrp,res/effect/skill_tamer_active/skill_tamer_active_durun.vrp,,,,,,,,,active,,pve,,enemy_random,5,0,0,,0,,,,,atk_down,target,,none,6.2,100,,100,,,,,,,,add_option_time_1
245201,code,status_effect,durun,치명 회피 증가,res/ui/icons/skill/243301.png,0.2,add_option_value_1,,,,,아군의 치명 회피가 {1}% 증가합니다.,,,,,,,,,,,passive,,,,ally_all,,0,0,,-1,,,,,passive_cri_avoid_up,target,,always,-1,100,,6.2,,,,,,,,add_option_value_1
245301,code,status_effect,durun,공격력 증가,res/ui/icons/skill/201835.png,0.2,add_option_value_1,,,,,아군의 공격력이 {1}% 증가합니다.,,,,,,,,,,,passive,,,,ally_all,,0,0,,-1,,,,,passive_atk_up,target,,always,-1,100,,6.2,,,,,,,,add_option_value_1
245401,code,skill_tamer_arena,durun,어둠의 낙뢰,res/ui/icons/skill/245401.png,0.05,chance_value,add_option_value_1,1.2,,,"콜로세움에서, {1}초마다 모든 적에게 대상의 최대 생명력의 {2}%만큼 피해를 줍니다. 빛 속성 적에게는 {3}배의 피해를 줍니다.",res/effect/skill_tamer_activeskill/skill_tamer_activeskill.vrp,,,,,,,,,,indie_time,20,pvp,,enemy_all,,0,0,,0,,,,,tamer_add_dmg,target,,skill_hit,0.5,100,target_max_hp,0.55,,,,,,,,add_option_value_1
246101,code,status_effect,mokoji,방어력 감소,res/ui/icons/skill/246101.png,0.2,add_option_time_1,,,,,적군 5명의 방어력을 {1}초간 감소시킵니다.,res/effect/cutscene_tamer_a_type/cutscene_tamer_a_type_mokoji.vrp,res/effect/skill_tamer_active/skill_tamer_active_mokoji.vrp,,,,,,,,,active,,pve,,enemy_random,5,0,0,,0,,,,,def_down,target,,none,6.2,100,,100,,,,,,,,add_option_time_1
246201,code,status_effect,mokoji,공격속도 증가,res/ui/icons/skill/202152.png,0.2,add_option_value_1,,,,,아군의 공격 속도가 {1}% 증가합니다.,,,,,,,,,,,passive,,,,ally_all,,0,0,,-1,,,,,passive_aspd_up,target,,always,-1,100,,6.2,,,,,,,,add_option_value_1
246301,code,status_effect,mokoji,방어력 증가,res/ui/icons/skill/801422.png,0.2,add_option_value_1,,,,,아군의 방어력이 {1}% 증가합니다.,,,,,,,,,,,passive,,,,ally_all,,0,0,,-1,,,,,passive_def_up,target,,always,-1,100,,6.2,,,,,,,,add_option_value_1
246401,code,skill_tamer_arena,mokoji,물의 낙뢰,res/ui/icons/skill/246401.png,0.05,chance_value,add_option_value_1,1.2,,,"콜로세움에서, {1}초마다 모든 적에게 대상의 최대 생명력의 {2}%만큼 피해를 줍니다. 불 속성 적에게는 {3}배의 피해를 줍니다.",res/effect/skill_tamer_activeskill/skill_tamer_activeskill.vrp,,,,,,,,,,indie_time,20,pvp,,enemy_all,,0,0,,0,,,,,tamer_add_dmg,target,,skill_hit,0.5,100,target_max_hp,0.55,,,,,,,,add_option_value_1
