id,t_name,condition_type,condition_count,ui_priority,condition_1,condition_2,condition_3,condition_4,condition_5,t_condition_desc,r_desc,skill_type,skill_1,value_1,skill_2,value_2,skill_3,value_3
1,대지의 가호,attr,4,9,earth,earth,earth,earth,earth,땅 속성 드래곤 4마리 이상,"물 속성 적에게 주는 피해가 5% 증가하고, 받는 피해는 5% 감소합니다.",skill,400100,,,,,
2,얼음의 가호,attr,4,8,water,water,water,water,water,물 속성 드래곤 4마리 이상,"불 속성 적에게 주는 피해가 5% 증가하고, 받는 피해는 5% 감소합니다.",skill,400200,,,,,
3,화염의 가호,attr,4,7,fire,fire,fire,fire,fire,불 속성 드래곤 4마리 이상,"땅 속성 적에게 주는 피해가 5% 증가하고, 받는 피해는 5% 감소합니다.",skill,400300,,,,,
4,신성의 가호,attr,4,6,light,light,light,light,light,빛 속성 드래곤 4마리 이상,"어둠 속성 적에게 주는 피해가 5% 증가하고, 받는 피해는 5% 감소합니다.",skill,400400,,,,,
5,암흑의 가호,attr,4,5,dark,dark,dark,dark,dark,어둠 속성 드래곤 4마리 이상,"빛 속성 적에게 주는 피해가 5% 증가하고, 받는 피해는 5% 감소합니다.",skill,400500,,,,,
6,맹수의 진형,role,2,4,dealer,dealer,dealer,dealer,dealer,공격형 드래곤 2마리 이상,생명력 +15%,option,hp_multi,15,,,,
7,수호의 진형,role,2,3,tanker,tanker,tanker,tanker,tanker,방어형 드래곤 2마리 이상,치명회피 +10%,option,cri_avoid_add,10,,,,
8,보호의 진형,role,2,2,supporter,supporter,supporter,supporter,supporter,지원형 드래곤 2마리 이상,효과적중 +10%,option,accuracy_add,10,,,,
9,치유의 진형,role,2,1,healer,healer,healer,healer,healer,회복형 드래곤 2마리 이상,효과저항 +10%,option,resistance_add,10,,,,
10,4대신룡,did_attr,3,50,120290,120220,120100,120010,,3마리 이상,"공격력+15%, 방어력+15%",option,atk_multi,15,def_multi,15,,
11,빛과 어둠,did_attr,2,49,120290,120340,,,,속성 조건 없음,"공격속도+10%, 치명확률+10%",option,aspd_add,10,cri_chance_add,10,,
12,지성의 수호자,did_attr,2,48,120100,120120,,,,속성 조건 없음,회피 +15%,option,avoid_add,15,,,,
13,신의의 수호자,did_attr,2,47,120010,120380,,,,속성 조건 없음,생명력 +15%,option,hp_multi,15,,,,
14,용기의 수호자,did_attr,2,46,120220,120210,,,,속성 조건 없음,치명피해 +10%,option,cri_dmg_add,10,,,,
15,원정대,did,3,45,120231,120223,120161,120384,,3마리 이상,"생명력 +5%, 공격력 +5% 방어력 +5%",option,hp_multi,5,atk_multi,5,def_multi,5
