location_name,r_comment,content_name,type,progress,,,,,,,,,
adventure,모험,adventure,content,done,,,,,,,,,
exploration,탐험,exploration,content,done,,,,,,,,,
colosseum,콜로세움,colosseum,content,done,,,,,,,,,
ancient,고대의 탑,ancient,content,done,,,,,,,,,
nest_evo_stone,[네스트] 거대용 던전,nest_evo_stone,content,done,,,,,,,,,
nest_tree,[네스트] 거목 던전,nest_tree,content,done,,,,,,,,,
nest_nightmare,[네스트] 악몽 던전,nest_nightmare,content,done,,,,,,,,,
secret_relation,[시크릿] 인연 던전,secret_relation,content,,,,,,,,,,
attr_tower,시험의 탑,attr_tower,content,,,,,,,,,,
lobby,로비 (마을),,ui,done,,,,,,,,,
dragon,드래곤 관리 UI,,ui,,,,,,,,,,
dragon_skillup,드래곤 스킬 레벨업 UI,,ui,,,,,,,,,,
dragon_evolution,드래곤 진화 UI,,ui,,,,,,,,,,
dragon_levelup,드래곤 레벨업 UI,,ui,,,,,,,,,, 
dragon_gradeup,드래곤 승급 UI,,ui,,,,,,,,,,
dragon_friendship,드래곤 친밀도 UI,,ui,,,,,,,,,,
friend,친구 UI,,ui,,,,,,,,,,
tamer,테이머 관리 UI,,ui,,,,,,,,,,
hatchery,부화소 UI,,ui,,,,,,,,,,
hatchery_combination,부화소 드래곤 조합 UI,,ui,,,,,,,,,,
rune,룬 관리,,ui,,,,,,,,,,
ancient_ruin,고대유적 던전,ancient_ruin,content,,,,,,,,,,
league_raid,레이드 플레이,league_raid,content,done,,,,,,,,,
lair,동굴,lair,content,done,,,,,,,,,
forest,드래곤의 숲,forest,content,done,,,,,,,,,
clan,클랜,clan,content,done,,,,,,,,,
research,연구,research,content,done,,,,,,,,,
